c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
2.05,5.54,5.54,11586.2,9559.04,7,10,9,35902,965.299,21.9129,87.8718
4.3,5.54,5.54,11586.2,10711,7,10,9,35902,965.299,21.9129,87.8718
1.83,5.54,5.54,11586.2,9446.4,7,10,9,35902,965.299,21.9129,87.8718
0.85,5.54,5.54,11586.2,9379.84,6,10,9,35055,1285.3,31.343,86.3174
0.5,5.54,5.54,11586.2,9021.44,6,10,9,35055,1285.3,31.343,86.3174
2.73,5.54,5.54,11586.2,9907.2,7,10,9,35902,965.299,21.9129,87.8718
5.46,5.54,5.54,11586.2,11305,7,10,9,35902,965.299,21.9129,87.8718
3.64,5.54,5.54,11586.2,10373.1,7,10,9,35902,965.299,21.9129,87.8718
3.13,5.54,5.54,11586.2,10112,7,10,9,35902,965.299,21.9129,87.8718
0.28,5.54,5.54,11586.2,9082.88,5,10,9,34367,1601.55,41.2542,85.1242
1.07,5.54,5.54,11586.2,9605.12,6,10,9,35055,1285.3,31.343,86.3174
3.2,5.54,5.54,11586.2,10147.8,7,10,9,35902,965.299,21.9129,87.8718
5.13,5.54,5.54,11586.2,11136,7,10,9,35902,965.299,21.9129,87.8718
3.57,5.54,5.54,11586.2,10337.3,7,10,9,35902,965.299,21.9129,87.8718
4.06,5.54,5.54,11586.2,10588.2,7,10,9,35902,965.299,21.9129,87.8718
1.38,5.54,5.54,11586.2,9216,7,10,9,35902,965.299,21.9129,87.8718
5.1,5.54,5.54,11586.2,11120.6,7,10,9,35902,965.299,21.9129,87.8718
2.36,5.54,5.54,11586.2,9717.76,7,10,9,35902,965.299,21.9129,87.8718
1.15,5.54,5.54,11586.2,9098.24,7,10,9,35902,965.299,21.9129,87.8718
1.34,5.54,5.54,11586.2,9195.52,7,10,9,35902,965.299,21.9129,87.8718
3.45,5.54,5.54,11586.2,10275.8,7,10,9,35902,965.299,21.9129,87.8718
4.02,5.54,5.54,11586.2,10567.7,7,10,9,35902,965.299,21.9129,87.8718
3.6,5.54,5.54,11586.2,10352.6,7,10,9,35902,965.299,21.9129,87.8718
0.55,5.54,5.54,11586.2,9072.64,6,10,9,35055,1285.3,31.343,86.3174
4.85,5.54,5.54,11586.2,10992.6,7,10,9,35902,965.299,21.9129,87.8718
3.78,5.54,5.54,11586.2,10444.8,7,10,9,35902,965.299,21.9129,87.8718
3.38,5.54,5.54,11586.2,10240,7,10,9,35902,965.299,21.9129,87.8718
2.73,5.54,5.54,11586.2,9907.2,7,10,9,35902,965.299,21.9129,87.8718
3.7,5.54,5.54,11586.2,10403.8,7,10,9,35902,965.299,21.9129,87.8718
1.39,5.54,5.54,11586.2,9221.12,7,10,9,35902,965.299,21.9129,87.8718
5.1,5.54,5.54,11586.2,11120.6,7,10,9,35902,965.299,21.9129,87.8718
0.66,5.54,5.54,11586.2,9185.28,6,10,9,35055,1285.3,31.343,86.3174
4.77,5.54,5.54,11586.2,10951.7,7,10,9,35902,965.299,21.9129,87.8718
4.88,5.54,5.54,11586.2,11008,7,10,9,35902,965.299,21.9129,87.8718
5.37,5.54,5.54,11586.2,11258.9,7,10,9,35902,965.299,21.9129,87.8718
1.65,5.54,5.54,11586.2,9354.24,7,10,9,35902,965.299,21.9129,87.8718
1.14,5.54,5.54,11586.2,9093.12,7,10,9,35902,965.299,21.9129,87.8718
0.85,5.54,5.54,11586.2,9379.84,6,10,9,35055,1285.3,31.343,86.3174
1.12,5.54,5.54,11586.2,9082.88,7,10,9,35902,965.299,21.9129,87.8718
0.41,5.54,5.54,11586.2,9349.12,5,10,9,34367,1601.55,41.2542,85.1242
1.77,5.54,5.54,11586.2,9415.68,7,10,9,35902,965.299,21.9129,87.8718
3.06,5.54,5.54,11586.2,10076.2,7,10,9,35902,965.299,21.9129,87.8718
1.34,5.54,5.54,11586.2,9195.52,7,10,9,35902,965.299,21.9129,87.8718
0.16,5.54,5.54,11586.2,8837.12,5,10,9,34367,1601.55,41.2542,85.1242
5.15,5.54,5.54,11586.2,11146.2,7,10,9,35902,965.299,21.9129,87.8718
0.08,5.54,5.54,11586.2,11509.8,5,9,9,29999,1622.07,45.591,84.69
1.58,5.54,5.54,11586.2,9318.4,7,10,9,35902,965.299,21.9129,87.8718
2.73,5.54,5.54,11586.2,9907.2,7,10,9,35902,965.299,21.9129,87.8718
3.54,5.54,5.54,11586.2,10321.9,7,10,9,35902,965.299,21.9129,87.8718
1.74,5.54,5.54,11586.2,9400.32,7,10,9,35902,965.299,21.9129,87.8718
0.91,5.54,5.54,11586.2,9441.28,6,10,9,35055,1285.3,31.343,86.3174
4.68,5.54,5.54,11586.2,10905.6,7,10,9,35902,965.299,21.9129,87.8718
0.43,5.54,5.54,11586.2,9390.08,5,10,9,34367,1601.55,41.2542,85.1242
5.11,5.54,5.54,11586.2,11125.8,7,10,9,35902,965.299,21.9129,87.8718
0.17,5.54,5.54,11586.2,8857.6,5,10,9,34367,1601.55,41.2542,85.1242
1.47,5.54,5.54,11586.2,9262.08,7,10,9,35902,965.299,21.9129,87.8718
2.79,5.54,5.54,11586.2,9937.92,7,10,9,35902,965.299,21.9129,87.8718
2.88,5.54,5.54,11586.2,9984,7,10,9,35902,965.299,21.9129,87.8718
2.98,5.54,5.54,11586.2,10035.2,7,10,9,35902,965.299,21.9129,87.8718
0.02,5.54,5.54,11586.2,11509.8,3,9,9,29570,4437.91,72.5274,82.6738
4.77,5.54,5.54,11586.2,10951.7,7,10,9,35902,965.299,21.9129,87.8718
2.28,5.54,5.54,11586.2,9676.8,7,10,9,35902,965.299,21.9129,87.8718
2.61,5.54,5.54,11586.2,9845.76,7,10,9,35902,965.299,21.9129,87.8718
