c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
4.54,1.67,0.02,1377,1325.19,8,8,0,53366,6372.86,22.0722,69.3459
5.34,4.88,0.02,1377,1090.31,9,10,0,195671,6360.85,17.5165,70.3498
0.57,2.2,0.46,1377,1180.16,6,8,5,38804,734.673,22.373,69.2871
3.58,5.41,0.68,1377,1269.76,8,9,6,114077,396.654,13.7623,71.3974
1.73,1.14,0.83,1377,1230.08,7,7,6,46335,569.393,20.8814,69.5867
2.37,2.58,5.36,1377,1168,8,9,8,246221,150.868,10.1725,72.71
5.41,1.67,2.93,1377,1350.72,9,8,7,132496,314.285,11.6558,72.1189
4.03,3.83,5.44,1377,1315.52,9,9,8,268808,156.755,8.57063,73.4542
3.19,2.94,2.22,1377,1352.96,7,9,7,123306,263.87,13.926,71.3461
4.98,0.68,4.91,1377,961.92,9,8,8,236589,235.238,10.1804,72.7067
5.54,3.55,1.42,1377,1172.48,8,9,7,142128,216.865,11.6848,72.1081
5.21,4.95,1.78,1377,1256,9,9,7,164715,235.87,10.0747,72.752
3.22,4.77,4.98,1377,1351.04,9,9,8,268808,156.755,8.57063,73.4542
1.36,1.29,0.6,1377,1118.72,7,8,5,42882,736.487,18.886,70.0229
3.72,0.28,1.5,1377,1003.52,7,7,7,74386,463.379,18.725,70.0601
0.22,5.15,1.78,1377,1171.2,6,9,7,119228,342.007,17.4412,70.3685
4.19,1.38,0.03,1377,1221.39,9,9,0,108172,6362.22,18.9749,70.0025
2.85,2.06,3.1,1377,1239.68,8,9,7,142128,216.865,11.6848,72.1081
2.5,0.16,2.82,1377,1205.76,7,6,7,69659,716.47,21.4321,69.4737
3.01,4.86,5.19,1377,1071.68,9,10,8,356307,126.622,7.06195,74.2951
1.64,5.08,1.95,1377,1359.36,7,9,7,123306,263.87,13.926,71.3461
1.71,2.99,3.5,1377,940.16,8,9,8,246221,150.868,10.1725,72.71
0.31,1.85,5.3,1377,954.88,7,9,8,227399,199.953,12.441,71.8358
0.06,0.08,5.18,1377,734.72,5,7,8,171067,617.679,24.5065,68.8915
2.87,0.7,3.91,1377,1363.84,8,8,7,109909,287.267,13.2572,71.5598
3.94,2.47,2.36,1377,1172.48,8,9,7,142128,216.865,11.6848,72.1081
1.36,1.61,5.44,1377,1282.56,7,8,8,195180,299.238,14.074,71.3001
5.45,3.54,1.84,1377,1272.96,8,9,7,142128,216.865,11.6848,72.1081
3.95,3.48,5.21,1377,1365.12,8,9,8,246221,150.868,10.1725,72.71
2.78,3.2,4.84,1377,1207.04,8,9,8,246221,150.868,10.1725,72.71
0.83,5.29,4.11,1377,1309.44,7,9,8,227399,199.953,12.441,71.8358
3.17,3.3,2.05,1377,1352.96,7,9,7,123306,263.87,13.926,71.3461
1.12,1.46,0.38,1377,1280,7,7,5,26181,778.586,21.9592,69.3682
1.57,5.26,1.34,1377,1217.28,7,9,7,123306,263.87,13.926,71.3461
4.51,4.93,4.51,1377,1352.64,9,9,8,268808,156.755,8.57063,73.4542
