c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
3.72,0.28,1.5,478030,477102,9,7,7,78581,160501,8.59E+07,54.2508
1.73,1.14,0.83,478030,371589,9,7,7,78581,160501,8.59E+07,54.2508
5.45,3.54,1.84,478030,415171,10,9,8,374609,70136.2,6.04E+07,55.7807
4.98,0.68,4.91,478030,368640,10,8,9,453095,72927.2,6.05E+07,55.7696
0.84,0.77,1.74,478030,439091,8,7,7,72157,195192,8.99E+07,54.0535
3.01,4.86,5.19,478030,427950,10,9,9,512578,54536.3,6.01E+07,55.8001
3.17,3.3,2.05,478030,450232,9,9,8,240216,82734,8.44E+07,54.3276
4.87,4.39,1.68,478030,413532,10,9,8,374609,70136.2,6.04E+07,55.7807
4.03,3.83,5.44,478030,435814,10,9,9,512578,54536.3,6.01E+07,55.8001
2.37,2.58,5.36,478030,415498,9,9,9,378185,67953.6,8.41E+07,54.3415
5.34,4.88,0.02,478030,421904,11,9,0,391259,1.64E+06,4.78E+07,56.7956
3.06,4.29,3.43,478030,453509,9,9,9,378185,67953.6,8.41E+07,54.3415
1.12,1.46,0.38,478030,463995,9,7,5,44502,438441,8.86E+07,54.1159
3.81,2.51,1.22,478030,411894,9,9,8,240216,82734,8.44E+07,54.3276
4.54,1.67,0.02,478030,432718,10,8,0,194753,1.63E+06,7.10E+07,55.0743
2.13,3.91,1.69,478030,378470,9,9,8,240216,82734,8.44E+07,54.3276
4.19,1.38,0.03,478030,444276,10,9,0,254236,1.64E+06,7.06E+07,55.0992
0.57,2.2,0.46,478030,446300,9,7,6,58098,219771,8.67E+07,54.2098
1.46,3.41,5.44,478030,385679,9,9,9,378185,67953.6,8.41E+07,54.3415
3.19,2.94,2.22,478030,450888,9,9,8,240216,82734,8.44E+07,54.3276
0.31,1.85,5.3,478030,315228,9,8,9,318702,79236,8.45E+07,54.3199
1.57,5.26,1.34,478030,450888,9,9,7,166351,127468,8.49E+07,54.3014
1.79,3.83,4.28,478030,383058,9,9,9,378185,67953.6,8.41E+07,54.3415
0.22,5.15,1.78,478030,430899,8,9,7,159927,184085,8.89E+07,54.1025
1.71,2.99,3.5,478030,439419,9,9,8,240216,82734,8.44E+07,54.3276
2.32,0.88,3.34,478030,428605,9,8,8,180733,111847,8.48E+07,54.3062
1.36,1.61,5.44,478030,372900,9,8,9,318702,79236,8.45E+07,54.3199
3.95,3.48,5.21,478030,414188,10,9,9,512578,54536.3,6.01E+07,55.8001
3.91,5.51,2.77,478030,399442,10,9,9,512578,54536.3,6.01E+07,55.8001
2.39,0.44,2.18,478030,357171,9,7,8,152446,138343,8.54E+07,54.2751
0.06,0.08,5.18,478030,376177,7,6,8,131054,319549,9.62E+07,53.7579
4.29,2.2,4.77,478030,368968,10,9,9,512578,54536.3,6.01E+07,55.8001
4.51,4.93,4.51,478030,457114,10,9,9,512578,54536.3,6.01E+07,55.8001
2.5,0.16,2.82,478030,390595,9,6,8,143756,230447,8.62E+07,54.2328
2.85,2.06,3.1,478030,457441,9,9,8,240216,82734,8.44E+07,54.3276
1.64,5.08,1.95,478030,401736,9,9,8,240216,82734,8.44E+07,54.3276
2.94,0.81,2,478030,376832,9,8,8,180733,111847,8.48E+07,54.3062
3.94,2.47,2.36,478030,364708,10,9,8,374609,70136.2,6.04E+07,55.7807
2.22,5.33,2.33,478030,472842,9,9,8,240216,82734,8.44E+07,54.3276
1.36,1.29,0.6,478030,415498,9,7,6,58098,219771,8.67E+07,54.2098
2.78,3.2,4.84,478030,445645,9,9,9,378185,67953.6,8.41E+07,54.3415
0.83,5.29,4.11,478030,362414,9,9,9,378185,67953.6,8.41E+07,54.3415
3.58,5.41,0.68,478030,383713,10,9,7,300744,140822,6.09E+07,55.744
5.03,0.22,4.92,478030,354877,10,7,9,424808,106511,6.11E+07,55.7268
2.27,4.83,1.94,478030,434176,9,9,8,240216,82734,8.44E+07,54.3276
2.87,0.7,3.91,478030,362086,9,8,9,318702,79236,8.45E+07,54.3199
5.54,3.55,1.42,478030,390922,10,9,8,374609,70136.2,6.04E+07,55.7807
5.41,1.67,2.93,478030,424018,10,9,8,374609,70136.2,6.04E+07,55.7807
4.95,5.46,0.37,478030,389612,10,9,7,300744,140822,6.09E+07,55.744
5.21,4.95,1.78,478030,449577,10,9,8,374609,70136.2,6.04E+07,55.7807
3.22,4.77,4.98,478030,425001,10,9,9,512578,54536.3,6.01E+07,55.8001
1.24,2.68,4.66,478030,474481,9,9,8,240216,82734,8.44E+07,54.3276
2.4,5.46,3.15,478030,439419,9,9,9,378185,67953.6,8.41E+07,54.3415
2.16,2.47,1.98,478030,433193,9,8,8,180733,111847,8.48E+07,54.3062
1.17,4.55,1.83,478030,465633,9,9,7,166351,127468,8.49E+07,54.3014
4.09,1.94,1.36,478030,420741,9,9,8,240216,82734,8.44E+07,54.3276
1.98,4.03,1.5,478030,458424,9,9,7,166351,127468,8.49E+07,54.3014
2.8,5.28,3.42,478030,468582,9,9,9,378185,67953.6,8.41E+07,54.3415
4.02,0.28,1.38,478030,390595,9,7,8,152446,138343,8.54E+07,54.2751
4.15,1.94,2.63,478030,371917,10,9,8,374609,70136.2,6.04E+07,55.7807
0.72,1.23,5.35,478030,303104,9,8,9,318702,79236,8.45E+07,54.3199
5.46,1.52,1.83,478030,398459,10,8,8,315126,79079,6.08E+07,55.7507
3.61,3.87,4.41,478030,389612,10,9,9,512578,54536.3,6.01E+07,55.8001
2.72,4.41,3.21,478030,427950,9,9,9,378185,67953.6,8.41E+07,54.3415
0.62,4.63,2.73,478030,371261,9,9,8,240216,82734,8.44E+07,54.3276
0.13,4.68,3.93,478030,427950,8,9,8,233792,125776,8.83E+07,54.128
4.24,2.96,3.79,478030,360120,10,9,9,512578,54536.3,6.01E+07,55.8001
2.95,4.51,5.21,478030,415171,10,9,9,512578,54536.3,6.01E+07,55.8001
0.87,2.6,3.37,478030,448266,9,8,8,180733,111847,8.48E+07,54.3062
2.94,0.19,0.1,478030,397148,9,5,4,25220,784545,9.43E+07,53.8435
5.31,1.11,4.43,478030,391905,10,8,9,453095,72927.2,6.05E+07,55.7696
3.01,0.85,3.59,478030,370606,9,8,9,318702,79236,8.45E+07,54.3199
5.07,2.64,3.95,478030,382075,10,9,9,512578,54536.3,6.01E+07,55.8001
4.46,1.67,5.49,478030,435487,10,8,9,453095,72927.2,6.05E+07,55.7696
3.85,0.2,3.16,478030,359465,10,7,8,286839,114213,6.14E+07,55.7071
1.83,4.74,5.14,478030,443679,9,9,9,378185,67953.6,8.41E+07,54.3415
0.02,4.96,4.65,478030,472515,7,9,8,227514,200037,9.43E+07,53.8427
