c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
5.54,0.22,5.54,80,69.48,8,5,8,7684,38.3279,1.46881,56.9736
5.54,2.33,5.54,80,74.04,8,8,8,9682,7.18217,0.121081,67.8125
5.54,2.8,5.54,80,77.8,8,8,8,9682,7.18217,0.121081,67.8125
5.54,2.55,5.54,80,75.8,8,8,8,9682,7.18217,0.121081,67.8125
5.54,4.3,5.54,80,72.6,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,2.04,5.54,80,71.72,8,8,8,9682,7.18217,0.121081,67.8125
5.54,3.16,5.54,80,75.14,9,8,8,10192,6.51183,0.113987,68.0747
5.54,3.18,5.54,80,75.3,9,8,8,10192,6.51183,0.113987,68.0747
5.54,0.25,5.54,80,71.4,8,5,8,7684,38.3279,1.46881,56.9736
5.54,0.43,5.54,80,69.16,8,6,8,8149,20.7441,0.632087,60.6355
5.54,4.15,5.54,80,72,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,4.83,5.54,80,74.72,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,1.58,5.54,80,68.04,8,8,8,9682,7.18217,0.121081,67.8125
5.54,0.47,5.54,80,70.44,8,6,8,8149,20.7441,0.632087,60.6355
5.54,5.07,5.54,80,75.68,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,0.27,5.54,80,72.68,8,5,8,7684,38.3279,1.46881,56.9736
5.54,2.49,5.54,80,75.32,8,8,8,9682,7.18217,0.121081,67.8125
5.54,2.93,5.54,80,78.84,8,8,8,9682,7.18217,0.121081,67.8125
5.54,2.08,5.54,80,72.04,8,8,8,9682,7.18217,0.121081,67.8125
5.54,4.96,5.54,80,75.24,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.5,5.54,80,77.4,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,4.74,5.54,80,74.36,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,1.72,5.54,80,69.16,8,8,8,9682,7.18217,0.121081,67.8125
5.54,4.19,5.54,80,72.16,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,0.81,5.54,80,68.36,8,7,8,8829,12.0206,0.20505,65.5246
5.54,4.35,5.54,80,72.8,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,4.35,5.54,80,72.8,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,0.6,5.54,80,74.6,8,6,8,8149,20.7441,0.632087,60.6355
5.54,3.87,5.54,80,70.88,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,2.23,5.54,80,73.24,8,8,8,9682,7.18217,0.121081,67.8125
5.54,3.02,5.54,80,79.56,8,8,8,9682,7.18217,0.121081,67.8125
5.54,1.98,5.54,80,71.24,8,8,8,9682,7.18217,0.121081,67.8125
5.54,3.61,5.54,80,69.84,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5,5.54,80,75.4,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,2.46,5.54,80,75.08,8,8,8,9682,7.18217,0.121081,67.8125
5.54,1.09,5.54,80,72.84,8,7,8,8829,12.0206,0.20505,65.5246
5.54,4.91,5.54,80,75.04,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,2.87,5.54,80,78.36,8,8,8,9682,7.18217,0.121081,67.8125
5.54,1.23,5.54,80,75.08,8,7,8,8829,12.0206,0.20505,65.5246
5.54,3.23,5.54,80,75.7,9,8,8,10192,6.51183,0.113987,68.0747
5.54,0.35,5.54,80,77.8,8,5,8,7684,38.3279,1.46881,56.9736
5.54,0.3,5.54,80,74.6,8,5,8,7684,38.3279,1.46881,56.9736
5.54,0.89,5.54,80,69.64,8,7,8,8829,12.0206,0.20505,65.5246
5.54,3.41,5.54,80,69.04,8,9,8,10881,6.25964,0.0901809,69.0921
