c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
5.54,5.54,1.5,80,57.24,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,4.21,80,66.92,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,4.56,80,69.72,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,1.53,80,79.88,8,8,7,7848,11.1256,0.239732,64.846
5.54,5.54,3.59,80,61.96,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,4.06,80,65.72,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,1.21,80,71.96,8,9,6,7736,20.9719,0.478361,61.8457
5.54,5.54,1.51,80,57.4,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,2.17,80,67.96,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,1.86,80,63,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,3.87,80,64.2,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,0.95,80,63.64,8,9,6,7736,20.9719,0.478361,61.8457
5.54,5.54,4.09,80,65.96,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,1.37,80,77.08,8,9,6,7736,20.9719,0.478361,61.8457
5.54,5.54,3.96,80,64.92,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,2.75,80,77.24,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,5.17,80,74.6,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,3.86,80,64.12,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,4.73,80,71.08,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,1.32,80,75.48,8,9,6,7736,20.9719,0.478361,61.8457
5.54,5.54,0.6,80,74.6,8,8,6,6537,21.2915,0.507782,61.5865
5.54,5.54,3.23,80,59.08,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,2.33,80,70.52,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,0.39,80,58.2,8,9,5,6873,37.9132,1.32963,57.4059
5.54,5.54,3.13,80,58.28,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,2.19,80,68.28,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,3.42,80,60.6,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,1.63,80,59.32,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,5.01,80,73.32,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,1.28,80,74.2,8,9,6,7736,20.9719,0.478361,61.8457
5.54,5.54,0.22,80,69.48,8,8,5,5674,38.2867,1.36121,57.304
5.54,5.54,2.02,80,65.56,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,4.39,80,68.36,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,4.36,80,68.12,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,3.65,80,62.44,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,2,80,65.24,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,3.48,80,61.08,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,4.73,80,71.08,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,4.04,80,65.56,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,1.92,80,63.96,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,2.54,80,73.88,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,4.24,80,67.16,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,4.2,80,66.84,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,0.64,80,75.88,8,8,6,6537,21.2915,0.507782,61.5865
5.54,5.54,2.72,80,76.76,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,3.1,80,58.04,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,3.75,80,63.24,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,2.45,80,72.44,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,2.26,80,69.4,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,5.32,80,75.8,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,4.85,80,72.04,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,3.99,80,65.16,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,2.76,80,77.4,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,2.41,80,71.8,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,2.37,80,71.16,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,3.65,80,62.44,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,0.6,80,74.6,8,8,6,6537,21.2915,0.507782,61.5865
5.54,5.54,0.44,80,61.4,8,9,5,6873,37.9132,1.32963,57.4059
5.54,5.54,5.01,80,73.32,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,2.6,80,74.84,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,3,80,57.24,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,1.2,80,71.64,8,9,6,7736,20.9719,0.478361,61.8457
5.54,5.54,3.25,80,59.24,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,2.98,80,57.08,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,3.09,80,57.96,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,1.23,80,72.6,8,9,6,7736,20.9719,0.478361,61.8457
5.54,5.54,3.27,80,59.4,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,2.38,80,71.32,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,2.81,80,78.2,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,5.44,80,76.76,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,2.38,80,71.32,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,5.04,80,73.56,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,5.19,80,74.76,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,0.75,80,79.4,8,8,6,6537,21.2915,0.507782,61.5865
5.54,5.54,4.26,80,67.32,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,2.46,80,72.6,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,2.66,80,75.8,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,5.14,80,74.36,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,1.92,80,63.96,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,0.03,80,75.3358,8,9,0,5463,293.758,27.1892,44.2993
5.54,5.54,0.86,80,60.76,8,9,6,7736,20.9719,0.478361,61.8457
5.54,5.54,4.68,80,70.68,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,3.76,80,63.32,8,9,8,10881,6.25964,0.0901809,69.0921
5.54,5.54,2.34,80,70.68,8,9,7,9047,9.90498,0.209615,65.429
5.54,5.54,5.42,80,76.6,8,9,8,10881,6.25964,0.0901809,69.0921
