c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
4.56,2.25,1.07,80,79.36,8,7,6,5684,22.3569,0.588073,60.9489
5.31,5.39,2.8,80,76.98,8,9,7,9047,9.90498,0.209615,65.429
3.4,5.16,1.85,80,63.84,7,9,7,8629,11.6803,0.24786,64.7012
0.91,2.43,3.65,80,55.92,6,8,8,8899,10.4096,0.257208,64.5404
2.2,0.01,0.84,80,76.48,6,2,5,2333,312.812,25.5531,44.5688
3.61,0.49,5.04,80,70.44,7,6,8,7731,20.7441,0.670836,60.3771
0.2,5.12,2.02,80,79.68,4,8,7,6603,24.747,1.13526,58.0923
0.85,5.09,4.44,80,62.68,6,9,8,10098,9.42933,0.225063,65.1202
1.61,3.6,3.2,80,60.84,7,8,8,9264,8.51183,0.158791,66.635
3.56,3.81,1.52,80,69.04,7,8,7,7430,12.8756,0.27747,64.2111
4.19,1.4,3.49,80,58.7,8,7,8,8829,12.0206,0.20505,65.5246
0.52,2.92,4.39,80,66.8,5,8,8,8622,14.8499,0.600569,60.8576
2.75,0.63,2.06,80,64.12,7,6,7,5897,23.9312,0.792925,59.6509
1.86,2.38,2.44,80,72.96,6,8,7,7065,13.6134,0.37606,62.8907
3.03,0.71,4.03,80,67.08,7,6,8,7731,20.7441,0.670836,60.3771
0.96,0.74,1.8,80,60.16,6,6,7,5532,27.9312,0.887955,59.1593
0.74,2.37,2.35,80,68.4,5,8,7,6788,18.5974,0.720145,60.069
1.82,1.51,4.59,80,75.44,6,7,8,8046,12.9122,0.342236,63.3
4.67,0.06,3.57,80,74.14,8,4,7,5594,81.2921,2.71535,54.305
0.26,0.5,0.89,80,52.8,4,6,6,3759,38.6405,1.91198,55.8284
3.51,1.36,0.14,80,75.48,7,6,4,3117,81.0557,3.70968,52.9499
4.05,1.62,2.62,80,75.94,8,7,7,6995,12.1082,0.322775,63.5542
