c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
4.76,0.99,1,1.15862,0.821875,22,21,20,11518001,0.501444,0.00254588,127.22
3.41,3,0.7,1.15862,1.12828,22,22,19,10313814,0.945731,0.00425991,124.985
3.76,1.36,3.21,1.15862,1.03125,22,22,21,16914944,0.253799,0.00108063,130.942
0.66,0.61,3.72,1.15862,1.12375,20,21,21,15041432,0.336677,0.00183484,128.643
1.06,2.22,1.48,1.15862,1.08375,20,22,20,12318153,0.443205,0.00219228,127.87
3.71,5.52,1.4,1.15862,1.10297,22,23,20,14550758,0.464952,0.0017976,128.732
1.92,3.19,2.62,1.15862,1.11375,21,22,21,16646604,0.25131,0.00112139,130.781
1.74,2.16,2.27,1.15862,0.891875,21,22,21,16646604,0.25131,0.00112139,130.781
4.58,2.31,2.06,1.15862,0.839531,23,22,21,17183284,0.247939,0.00107084,130.982
4.15,4.1,2.84,1.15862,1.03109,22,23,21,18610869,0.214469,0.000886676,131.801
1.7,0.08,0.79,1.15862,1.05625,20,18,19,6072577,1.98443,0.0149935,119.52
2.52,3.64,5.3,1.15862,0.929375,22,23,22,24334401,0.126214,0.00042061,135.04
2.7,2.41,4.26,1.15862,0.875938,22,22,22,22638476,0.160423,0.000614684,133.392
1.26,0.02,1.31,1.15862,0.81375,20,17,20,8250718,3.1048,0.0298522,116.529
5.27,2.71,4.37,1.15862,0.756797,23,23,22,24602741,0.123284,0.000410449,135.146
2.42,0.51,4.11,1.15862,0.679063,22,21,22,21301644,0.247888,0.0011695,130.599
1.5,0.03,1.72,1.15862,1.07375,20,17,20,8250718,3.1048,0.0298522,116.529
4.82,2.62,3.09,1.15862,1.13766,23,22,21,17183284,0.247939,0.00107084,130.982
2.4,1.83,3.28,1.15862,1.12375,21,22,21,16646604,0.25131,0.00112139,130.781
2.63,2.57,3.2,1.15862,1.00172,22,23,21,18610869,0.214469,0.000886676,131.801
2.21,2.52,4.76,1.15862,0.944531,22,22,22,22638476,0.160423,0.000614684,133.392
1.52,1.9,0.6,1.15862,0.9325,20,22,19,9777134,0.961356,0.00445989,124.786
2.12,2.38,0.2,1.15862,1.1275,20,21,18,6878581,1.63755,0.0093705,121.561
3.05,0.76,2.9,1.15862,1.15266,22,20,21,14497113,0.508422,0.00276094,126.868
2.36,5.54,0.76,1.15862,0.8,21,23,20,14282418,0.472764,0.00183754,128.636
1.81,3.96,3.59,1.15862,0.724531,22,23,22,24334401,0.126214,0.00042061,135.04
5.22,2.46,4.02,1.15862,0.697031,23,23,22,24602741,0.123284,0.000410449,135.146
1.59,3.76,0.84,1.15862,0.939687,21,22,20,12586493,0.45883,0.00203143,128.201
