c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
2.38,4.37,0.01,11586.2,9946.01,6,9,0,7297,61888,257.349,77.1736
2.5,1.81,2.77,11586.2,10659.8,7,8,8,16413,2178.38,36.0526,85.7095
2.93,3.88,0.13,11586.2,11576.3,7,8,5,8440,9383.28,73.1097,82.6391
1.83,1.94,2.29,11586.2,9600,7,8,8,16413,2178.38,36.0526,85.7095
4.74,5.54,3.02,11586.2,11448.3,7,10,8,23484,1452.89,25.5915,87.1979
1.33,2.37,2.76,11586.2,9441.28,6,9,8,18276,1764.58,39.5291,85.3097
2.78,4.04,3.71,11586.2,9359.36,7,9,9,25111,1238.07,26.353,87.0705
1.27,1.96,4.9,11586.2,10332.2,6,8,9,21570,1902.79,41.7819,85.069
4.05,4.74,1.49,11586.2,9978.88,7,9,8,19115,1573.66,30.0478,86.5007
4.12,2.43,2.61,11586.2,9943.04,7,9,8,19115,1573.66,30.0478,86.5007
4.4,4.55,5.02,11586.2,9722.88,7,10,9,29480,965.299,21.9129,87.8718
2.77,4.38,0.73,11586.2,8893.44,7,9,7,14715,2998.88,38.3794,85.4379
0.25,3.54,3.87,11586.2,8099.84,5,9,9,23589,1622.07,45.591,84.69
5.13,2.88,1.41,11586.2,11351,7,9,7,14715,2998.88,38.3794,85.4379
2.14,4.87,3.24,11586.2,10224.6,7,10,8,23484,1452.89,25.5915,87.1979
0.13,4.87,1.58,11586.2,8488.96,5,9,8,17593,2150.84,49.406,84.341
1.24,0.56,0.47,11586.2,8683.52,5,7,6,6907,6108.9,93.5415,81.5688
3.64,0.63,4.06,11586.2,11468.8,7,8,8,16413,2178.38,36.0526,85.7095
4.19,4.27,4.65,11586.2,11279.4,7,9,9,25111,1238.07,26.353,87.0705
5.5,2.01,0.41,11586.2,10291.2,7,8,6,10047,5636.2,60.6405,83.4512
3.95,2.46,2.45,11586.2,9559.04,7,9,8,19115,1573.66,30.0478,86.5007
4.88,4.36,4.42,11586.2,11489.3,7,9,9,25111,1238.07,26.353,87.0705
0.39,0.54,1.68,11586.2,9891.84,5,7,7,8873,3953.95,76.6918,82.4313
1.18,0.44,5.12,11586.2,8253.44,6,7,9,19952,2810.39,55.491,83.8366
1.19,1.07,1.16,11586.2,11571.2,5,7,7,8873,3953.95,76.6918,82.4313
5.01,5.45,3.64,11586.2,9082.88,7,10,9,29480,965.299,21.9129,87.8718
1.2,2.43,2.99,11586.2,9840.64,6,9,8,18276,1764.58,39.5291,85.3097
2.49,3.02,3.23,11586.2,10982.4,7,9,8,19115,1573.66,30.0478,86.5007
4.82,0.57,3.42,11586.2,10639.4,7,8,8,16413,2178.38,36.0526,85.7095
4.8,2.68,2.38,11586.2,10076.2,7,9,8,19115,1573.66,30.0478,86.5007
2.4,0.47,4.69,11586.2,7956.48,7,7,9,20791,2952.31,46.0767,84.644
4.54,0.43,0.77,11586.2,10393.6,7,7,6,8429,5660.9,74.3287,82.5673
2.01,2.64,0.15,11586.2,9922.56,6,8,5,7601,9671.28,82.5627,82.111
3.89,5.25,1.1,11586.2,9185.28,7,10,7,19084,2938.34,33.9611,85.969
1.12,3.97,0.77,11586.2,8366.08,6,9,7,13876,3109.62,47.8989,84.4756
5.16,4.9,3.1,11586.2,11499.5,7,10,8,23484,1452.89,25.5915,87.1979
5.18,3.48,4.91,11586.2,11243.5,7,9,9,25111,1238.07,26.353,87.0705
1.27,5.38,4.66,11586.2,11581.4,6,9,9,24272,1622.07,35.842,85.7349
5.07,0.96,2.35,11586.2,9374.72,7,8,8,16413,2178.38,36.0526,85.7095
3.38,3.95,5.42,11586.2,11325.4,7,9,9,25111,1238.07,26.353,87.0705
0.71,2.37,5.22,11586.2,8499.2,6,9,9,24272,1622.07,35.842,85.7349
3.35,3.28,3.01,11586.2,11238.4,7,9,8,19115,1573.66,30.0478,86.5007
4.79,2.51,4.08,11586.2,9200.64,7,9,9,25111,1238.07,26.353,87.0705
1.09,4.37,3.75,11586.2,8872.96,7,9,9,25111,1238.07,26.353,87.0705
2.35,2.54,0.74,11586.2,10639.4,6,8,7,11174,3966.83,53.6689,83.9816
2.04,3.56,0.2,11586.2,9011.2,6,9,5,10303,9194.71,76.9765,82.4153
2.72,5.49,0.32,11586.2,9635.84,7,9,6,12749,5436.75,54.6248,83.9049
4.21,0.15,4.46,11586.2,7336.96,7,7,9,20791,2952.31,46.0767,84.644
3.3,0.14,4.03,11586.2,11089.9,7,6,8,14117,5485.37,65.7973,83.0968
2.79,2.53,2.54,11586.2,9221.12,7,9,8,19115,1573.66,30.0478,86.5007
2.45,3.05,0.27,11586.2,9712.64,7,8,6,10047,5636.2,60.6405,83.4512
4.83,1.49,4.2,11586.2,9825.28,7,8,9,22409,1596.82,32.3682,86.1776
