c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
3.8,3.38,0.14,3.012e-10,2.99187e-10,32,31,23,113370969,1.79458e-09,1.00338e-19,139.561
5.53,5.36,1.6,3.012e-10,2.45382e-10,32,31,27,142119274,3.49246e-10,4.33836e-22,163.202
3.21,4.09,4.06,3.012e-10,2.7776e-10,32,31,28,149516170,2.8245e-10,1.18387e-22,168.843
2.36,0.05,3.5,3.012e-10,2.58879e-10,32,24,28,140442839,8.05191e-10,1.50113e-20,147.812
3.3,0.14,4.03,3.012e-10,2.79179e-10,32,26,28,143018996,4.65661e-10,1.06209e-21,159.314
4.75,2.72,2.51,3.012e-10,2.02963e-10,32,30,28,148214063,2.8245e-10,1.22025e-22,168.711
0.33,2.85,0.83,3.012e-10,2.44327e-10,29,30,26,132885070,4.65661e-10,1.68484e-21,157.31
1.18,0.44,5.12,3.012e-10,2.04527e-10,32,27,29,151794464,2.91038e-10,2.78857e-22,165.122
3.95,3.3,5.12,3.012e-10,2.11403e-10,32,30,29,155695451,2.8245e-10,4.17317e-23,173.371
1.27,5.38,4.66,3.012e-10,1.79389e-10,32,31,29,156997558,2.8245e-10,3.82242e-23,173.752
0.69,0.83,2.09,3.012e-10,2.96641e-10,31,28,27,138018126,3.49246e-10,4.96893e-22,162.613
2.45,3.05,0.27,3.012e-10,1.79025e-10,32,30,25,126252574,4.94765e-10,6.50986e-21,151.44
4.82,0.57,3.42,3.012e-10,2.82962e-10,32,27,28,144313076,2.91038e-10,3.57317e-22,164.045
2.4,0.47,4.69,3.012e-10,1.72586e-10,32,28,29,153091846,2.91038e-10,9.95497e-23,169.595
1.95,2.95,2.14,3.012e-10,2.99151e-10,32,30,27,140817167,3.49246e-10,4.37086e-22,163.17
3.24,0.36,1.49,3.012e-10,2.27155e-10,32,27,27,136916180,3.49246e-10,6.74134e-22,161.288
5.49,4.95,0.53,3.012e-10,1.79389e-10,32,31,26,134777309,4.65661e-10,1.64787e-21,157.407
3.22,1.65,3.5,3.012e-10,2.63462e-10,32,29,28,146911203,2.8245e-10,1.34363e-22,168.293
5.18,3.48,4.91,3.012e-10,1.87065e-10,32,31,29,156997558,2.8245e-10,3.82242e-23,173.752
1.78,1.34,4.75,3.012e-10,1.83718e-10,32,29,29,154392591,2.8245e-10,5.45663e-23,172.206
5.07,0.96,2.35,3.012e-10,1.83172e-10,32,29,28,146911203,2.8245e-10,1.34363e-22,168.293
2.08,2.38,0.75,3.012e-10,2.16824e-10,32,30,26,133475202,4.65661e-10,1.65185e-21,157.396
5.14,2.12,5.05,3.012e-10,1.96524e-10,32,30,29,155695451,2.8245e-10,4.17317e-23,173.371
3.99,4.82,1.97,3.012e-10,2.78924e-10,32,31,27,142119274,3.49246e-10,4.33836e-22,163.202
1.61,3.2,5.51,3.012e-10,2.12785e-10,32,30,29,155695451,2.8245e-10,4.17317e-23,173.371
0.57,0.74,0.1,3.012e-10,2.37633e-10,30,28,23,109072289,1.81004e-09,1.00388e-19,139.559
1.23,5.34,4.93,3.012e-10,1.8681e-10,32,31,29,156997558,2.8245e-10,3.82242e-23,173.752
1.61,3.83,0.71,3.012e-10,2.26901e-10,32,30,26,133475202,4.65661e-10,1.65185e-21,157.396
4.4,4.55,5.02,3.012e-10,1.95214e-10,32,31,29,156997558,2.8245e-10,3.82242e-23,173.752
1.8,1.5,2.63,3.012e-10,2.0329e-10,32,29,28,146911203,2.8245e-10,1.34363e-22,168.293
4.74,5.54,3.02,3.012e-10,2.3334e-10,32,31,28,149516170,2.8245e-10,1.18387e-22,168.843
1,0.75,2.79,3.012e-10,2.13331e-10,31,28,28,145415022,3.49246e-10,1.82473e-22,166.964
3.47,4.7,0.67,3.012e-10,2.02817e-10,32,31,26,134777309,4.65661e-10,1.64787e-21,157.407
2.01,2.64,0.15,3.012e-10,1.85428e-10,32,30,24,119092108,9.05601e-10,2.52756e-20,145.549
0.16,2.06,0.6,3.012e-10,1.74332e-10,29,30,26,132885070,4.65661e-10,1.68484e-21,157.31
3.07,1.24,0.59,3.012e-10,1.84627e-10,32,29,26,132172342,4.65661e-10,1.66334e-21,157.366
4.8,2.68,2.38,3.012e-10,1.94996e-10,32,30,28,148214063,2.8245e-10,1.22025e-22,168.711
4.12,2.43,2.61,3.012e-10,2.02272e-10,32,30,28,148214063,2.8245e-10,1.22025e-22,168.711
1.33,2.37,2.76,3.012e-10,1.9998e-10,32,30,28,148214063,2.8245e-10,1.22025e-22,168.711
2.35,0.51,1.97,3.012e-10,2.97259e-10,32,27,27,136916180,3.49246e-10,6.74134e-22,161.288
5.5,2.01,0.41,3.012e-10,2.69429e-10,32,29,25,124949714,4.94765e-10,6.5243e-21,151.43
1,0.96,3.17,3.012e-10,2.47674e-10,31,28,28,145415022,3.49246e-10,1.82473e-22,166.964
4.54,0.43,0.77,3.012e-10,2.45855e-10,32,27,26,129574215,4.65661e-10,1.88412e-21,156.825
4.88,4.36,4.42,3.012e-10,1.78115e-10,32,31,29,156997558,2.8245e-10,3.82242e-23,173.752
4.27,1.58,3.2,3.012e-10,2.47783e-10,32,29,28,146911203,2.8245e-10,1.34363e-22,168.293
4.21,0.15,4.46,3.012e-10,1.80044e-10,32,26,29,150500384,3.49246e-10,9.80555e-22,159.661
0.58,4.46,4.85,3.012e-10,1.77824e-10,31,31,29,156802122,2.8245e-10,4.11531e-23,173.432
1.81,3.96,3.59,3.012e-10,2.73176e-10,32,30,28,148214063,2.8245e-10,1.22025e-22,168.711
1.64,0.86,1.56,3.012e-10,2.37633e-10,32,28,27,138213562,3.49246e-10,4.93946e-22,162.639
2.56,3.33,1.85,3.012e-10,2.73139e-10,32,30,27,140817167,3.49246e-10,4.37086e-22,163.17
2.75,2.82,2.15,3.012e-10,1.76187e-10,32,30,28,148214063,2.8245e-10,1.22025e-22,168.711
3.73,2.87,2.14,3.012e-10,1.79898e-10,32,30,28,148214063,2.8245e-10,1.22025e-22,168.711
2.43,4.11,1.01,3.012e-10,2.73903e-10,32,31,26,134777309,4.65661e-10,1.64787e-21,157.407
0.2,5.54,3.89,3.012e-10,2.78378e-10,28,31,28,148729121,2.8245e-10,2.34632e-22,165.872
1.37,0.58,2.44,3.012e-10,1.80771e-10,32,28,28,145610458,3.49246e-10,1.79951e-22,167.024
0.56,0.07,1.47,3.012e-10,2.11876e-10,30,25,27,133939401,5.82077e-10,4.18558e-21,153.358
2.02,0.13,2.5,3.012e-10,1.83136e-10,32,26,28,143018996,4.65661e-10,1.06209e-21,159.314
2.42,1.06,0.33,3.012e-10,1.93322e-10,32,29,25,124949714,4.94765e-10,6.5243e-21,151.43
2.26,0.01,0.82,3.012e-10,2.36396e-10,32,22,26,123146234,3.14982e-09,2.37812e-19,135.813
2.2,1.59,3.46,3.012e-10,2.55677e-10,32,29,28,146911203,2.8245e-10,1.34363e-22,168.293
4.07,0.49,4.75,3.012e-10,1.81572e-10,32,28,29,153091846,2.91038e-10,9.95497e-23,169.595
3.19,3.99,3.82,3.012e-10,2.92021e-10,32,30,28,148214063,2.8245e-10,1.22025e-22,168.711
4.1,0.07,4.61,3.012e-10,1.81681e-10,32,25,29,149210653,4.65661e-10,3.78426e-21,153.796
3.29,4.8,0.84,3.012e-10,2.77396e-10,32,30,26,133475202,4.65661e-10,1.65185e-21,157.396
1.97,3.12,0.41,3.012e-10,2.4349e-10,32,30,25,126252574,4.94765e-10,6.50986e-21,151.44
2.69,4.74,0.44,3.012e-10,2.83653e-10,32,30,25,126252574,4.94765e-10,6.50986e-21,151.44
4.67,3.47,3.87,3.012e-10,2.92748e-10,32,30,28,148214063,2.8245e-10,1.22025e-22,168.711
5.05,1.31,0.67,3.012e-10,2.12494e-10,32,29,26,132172342,4.65661e-10,1.66334e-21,157.366
5.44,3.81,2.86,3.012e-10,2.41707e-10,32,30,28,148214063,2.8245e-10,1.22025e-22,168.711
0.81,3,0.6,3.012e-10,1.89248e-10,31,30,26,133279766,4.65661e-10,1.65407e-21,157.39
4.23,0.53,1.56,3.012e-10,2.58697e-10,32,27,27,136916180,3.49246e-10,6.74134e-22,161.288
4.02,3.15,0.11,3.012e-10,2.65354e-10,32,30,23,112068862,1.79014e-09,1.00338e-19,139.561
5.18,3.72,1.85,3.012e-10,2.88346e-10,32,30,27,140817167,3.49246e-10,4.37086e-22,163.17
4.76,0.24,0.01,3.012e-10,2.22208e-10,32,26,20,86429398,1.54932e-08,5.96124e-18,121.822
3.53,1.41,3.17,3.012e-10,2.38397e-10,32,29,28,146911203,2.8245e-10,1.34363e-22,168.293
0.13,3.98,4.13,3.012e-10,2.76923e-10,28,31,28,148729121,2.8245e-10,2.34632e-22,165.872
0.7,1.21,2.64,3.012e-10,1.93977e-10,31,29,28,146715767,2.8245e-10,1.37204e-22,168.202
4.38,5.42,0.58,3.012e-10,1.90412e-10,32,31,26,134777309,4.65661e-10,1.64787e-21,157.407
0.12,0.2,1.18,3.012e-10,1.90921e-10,28,26,27,134835051,4.65661e-10,1.4903e-21,157.843
1.14,2.41,1.71,3.012e-10,2.77505e-10,31,29,27,139318871,3.49246e-10,4.53366e-22,163.011
1.4,2.77,0.71,3.012e-10,2.10712e-10,32,30,26,133475202,4.65661e-10,1.65185e-21,157.396
1.6,1.14,4.62,3.012e-10,1.73459e-10,32,29,29,154392591,2.8245e-10,5.45663e-23,172.206
4.59,0.18,2.09,3.012e-10,1.80262e-10,32,26,28,143018996,4.65661e-10,1.06209e-21,159.314
1.61,3.52,3.58,3.012e-10,2.65463e-10,32,30,28,148214063,2.8245e-10,1.22025e-22,168.711
3.68,3.98,0.03,3.012e-10,2.94822e-10,32,30,21,98325312,7.19665e-09,1.54267e-18,127.693
3.62,2.73,5.19,3.012e-10,2.03945e-10,32,30,29,155695451,2.8245e-10,4.17317e-23,173.371
2.3,3.38,2.09,3.012e-10,3.00861e-10,32,30,27,140817167,3.49246e-10,4.37086e-22,163.17
0.54,3.77,2.21,3.012e-10,2.92566e-10,30,31,27,141726306,3.49246e-10,4.39211e-22,163.149
4.69,4.5,2.05,3.012e-10,2.88455e-10,32,31,27,142119274,3.49246e-10,4.33836e-22,163.202
0.58,4.16,4.92,3.012e-10,1.77679e-10,31,31,29,156802122,2.8245e-10,4.11531e-23,173.432
4.8,4.8,0.16,3.012e-10,2.01399e-10,32,31,24,120394215,9.01736e-10,2.52702e-20,145.55
4.77,4.86,1.72,3.012e-10,2.8831e-10,32,30,27,140817167,3.49246e-10,4.37086e-22,163.17
0.51,5.39,2.77,3.012e-10,2.07874e-10,30,31,28,149123202,2.8245e-10,1.24178e-22,168.635
2.75,1.51,3.04,3.012e-10,2.30903e-10,32,29,28,146911203,2.8245e-10,1.34363e-22,168.293
3.79,4.54,1.38,3.012e-10,2.07474e-10,32,31,27,142119274,3.49246e-10,4.33836e-22,163.202
3.68,4.03,1.6,3.012e-10,2.58297e-10,32,30,27,140817167,3.49246e-10,4.37086e-22,163.17
3.24,2.15,2.23,3.012e-10,1.72877e-10,32,30,28,148214063,2.8245e-10,1.22025e-22,168.711
2.48,3.47,5.52,3.012e-10,2.2017e-10,32,30,29,155695451,2.8245e-10,4.17317e-23,173.371
3.21,4.34,1.18,3.012e-10,1.80626e-10,32,31,27,142119274,3.49246e-10,4.33836e-22,163.202
2.62,1.49,0.03,3.012e-10,2.76414e-10,32,29,21,97022452,7.19483e-09,1.54271e-18,127.693
2.19,4.12,0.73,3.012e-10,2.37887e-10,32,30,26,133475202,4.65661e-10,1.65185e-21,157.396
1.02,0.45,0.63,3.012e-10,2.06492e-10,31,27,26,129378779,4.65661e-10,1.8868e-21,156.818
4.82,2.88,4.36,3.012e-10,1.86337e-10,32,30,29,155695451,2.8245e-10,4.17317e-23,173.371
1.79,3.93,0.13,3.012e-10,2.7725e-10,32,31,23,113370969,1.79458e-09,1.00338e-19,139.561
4.16,5.54,0.95,3.012e-10,2.76632e-10,32,31,26,134777309,4.65661e-10,1.64787e-21,157.407
4.7,0.1,3.69,3.012e-10,2.78451e-10,32,25,28,141729265,4.65661e-10,3.85949e-21,153.71
5.3,2.56,3.67,3.012e-10,2.70156e-10,32,30,28,148214063,2.8245e-10,1.22025e-22,168.711
4.78,4.19,4.55,3.012e-10,1.80298e-10,32,31,29,156997558,2.8245e-10,3.82242e-23,173.752
3.53,4.65,5.25,3.012e-10,1.9947e-10,32,31,29,156997558,2.8245e-10,3.82242e-23,173.752
3.76,5.4,4.98,3.012e-10,1.97906e-10,32,31,29,156997558,2.8245e-10,3.82242e-23,173.752
4.22,5.31,1.99,3.012e-10,2.85654e-10,32,31,27,142119274,3.49246e-10,4.33836e-22,163.202
4.87,4.81,3.01,3.012e-10,2.27919e-10,32,31,28,149516170,2.8245e-10,1.18387e-22,168.843
