c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
1.92,3.19,2.62,0.000186,0.000185165,29,26,22,22867375,6.34193e-05,7.0066e-11,126.974
3.76,1.36,3.21,0.000186,0.000139689,32,24,23,23335700,4.57764e-05,3.6259e-11,129.835
3.05,0.76,2.9,0.000186,0.000135069,32,23,23,23069389,5.76973e-05,9.12498e-11,125.827
2.22,5.3,4.49,0.000186,0.000185928,26,26,23,23823804,3.48091e-05,2.04412e-11,132.324
5.18,4.98,3.05,0.000186,0.000131382,32,26,23,23872770,3.29018e-05,1.91629e-11,132.604
2.89,0.3,4.26,0.000186,0.00017765,26,22,23,22755602,0.000112534,3.09518e-10,120.522
1.26,0.02,1.31,0.000186,0.000123825,26,18,22,20705504,0.00170898,7.25897e-08,96.8202
0.89,2.98,2.87,0.000186,0.000139847,25,25,23,23511322,3.48091e-05,2.54171e-11,131.378
1.59,3.76,0.84,0.000186,0.000137291,26,26,21,21815738,0.000123024,2.71881e-10,121.085
2.35,0.66,3.75,0.000186,0.000163689,26,23,23,23020423,5.8651e-05,9.26299e-11,125.761
4.82,2.62,3.09,0.000186,0.000134565,32,25,23,23603654,3.62396e-05,2.2621e-11,131.884
1.27,4.94,4.58,0.000186,0.000182304,26,26,23,23823804,3.48091e-05,2.04412e-11,132.324
1.06,2.22,1.48,0.000186,0.00012825,26,25,22,22549474,6.53267e-05,7.5009e-11,126.678
1.7,0.08,0.79,0.000186,0.000141983,26,20,21,20222209,0.000403881,4.8614e-09,108.561
1.97,2.4,0.52,0.000186,0.000171089,26,25,20,20545795,0.000256538,1.0843e-09,115.077
4.76,0.99,1,0.000186,0.000182779,32,23,21,21061323,0.000139236,3.42835e-10,120.078
3.27,5.06,2.94,0.000186,0.000128521,32,26,23,23872770,3.29018e-05,1.91629e-11,132.604
3.2,4.45,3.25,0.000186,0.000133324,32,26,23,23872770,3.29018e-05,1.91629e-11,132.604
5.08,3.34,2.71,0.000186,0.000108488,32,26,23,23872770,3.29018e-05,1.91629e-11,132.604
0.77,0.57,3.78,0.000186,0.000156021,25,23,23,22977057,5.76973e-05,9.40469e-11,125.696
0.18,2.75,0.48,0.000186,0.000164642,23,25,20,20416781,0.000272751,1.17538e-09,114.727
0.29,2.94,4.94,0.000186,0.000177612,24,26,23,23737406,4.05312e-05,3.09074e-11,130.528
3.49,1.6,5.02,0.000186,0.00017782,32,25,23,23603654,3.62396e-05,2.2621e-11,131.884
2.63,2.57,3.2,0.000186,0.000137028,32,25,23,23603654,3.62396e-05,2.2621e-11,131.884
2.02,0.96,3.77,0.000186,0.000181351,26,23,23,23020423,5.8651e-05,9.26299e-11,125.761
1.66,2.44,1.01,0.000186,0.000166855,26,25,21,21546622,0.000125885,2.75478e-10,121.028
3.05,0.54,3.28,0.000186,0.000133238,32,23,23,23069389,5.76973e-05,9.12498e-11,125.827
1.52,1.9,0.6,0.000186,0.000181274,26,25,20,20545795,0.000256538,1.0843e-09,115.077
5.27,2.71,4.37,0.000186,0.000175027,32,25,23,23603654,3.62396e-05,2.2621e-11,131.884
1.5,0.03,1.72,0.000186,0.000139999,26,19,22,20964646,0.000780106,1.83328e-08,102.797
5.25,2.67,1.09,0.000186,0.000174111,32,25,21,21595588,0.000123978,2.74156e-10,121.049
3.41,3,0.7,0.000186,0.000131429,32,25,21,21595588,0.000123978,2.74156e-10,121.049
0.98,3.11,1.46,0.000186,0.000144043,25,25,22,22506108,6.7234e-05,7.62418e-11,126.607
4.17,3.38,2.62,0.000186,0.000185948,32,26,22,22867556,6.34193e-05,7.00661e-11,126.974
5.19,3.27,3.45,0.000186,0.000155491,32,25,23,23603654,3.62396e-05,2.2621e-11,131.884
3.19,3.27,0.14,0.000186,0.000161857,32,26,18,18863043,0.0010314,1.72151e-08,103.07
0.66,0.61,3.72,0.000186,0.000155792,25,23,23,22977057,5.76973e-05,9.40469e-11,125.696
3.01,2.23,1.43,0.000186,0.000121487,32,25,22,22598440,6.7234e-05,7.35501e-11,126.763
4.57,2.39,4.21,0.000186,0.00016522,32,25,23,23603654,3.62396e-05,2.2621e-11,131.884
4.15,4.1,2.84,0.000186,0.000118198,32,26,23,23872770,3.29018e-05,1.91629e-11,132.604
2.68,1.49,0.83,0.000186,0.000146949,32,24,21,21327634,0.000131607,2.87736e-10,120.839
2.21,2.52,4.76,0.000186,0.000185823,28,25,23,23603158,3.62396e-05,2.26208e-11,131.884
1.5,3.81,2.55,0.000186,0.00011261,26,26,23,23823804,3.48091e-05,2.04412e-11,132.324
3.51,3.19,4.82,0.000186,0.000171642,32,26,23,23872770,3.29018e-05,1.91629e-11,132.604
2.4,1.83,3.28,0.000186,0.000128164,32,25,23,23603654,3.62396e-05,2.2621e-11,131.884
2.52,3.64,5.3,0.000186,0.000108793,32,26,24,24882195,1.95503e-05,6.7234e-12,137.153
1.72,3.6,3.39,0.000186,0.000164948,26,25,23,23554688,3.86238e-05,2.40024e-11,131.626
1.81,3.96,3.59,0.000186,0.000146675,26,26,23,23823804,3.48091e-05,2.04412e-11,132.324
2.12,2.38,0.2,0.000186,0.000142059,26,25,19,19544880,0.000505447,4.3134e-09,109.081
2.6,2.58,0.74,0.000186,0.000129855,32,25,21,21595588,0.000123978,2.74156e-10,121.049
0.99,2.9,2.65,0.000186,0.000106773,26,26,23,23823804,3.48091e-05,2.04412e-11,132.324
0.81,2.72,4.54,0.000186,0.000165482,25,26,23,23780438,3.29018e-05,2.1899e-11,132.025
2.52,4.22,4.26,0.000186,0.000171814,26,26,23,23823804,3.48091e-05,2.04412e-11,132.324
1.97,0.46,0.49,0.000186,0.000183296,26,22,20,19746709,0.000293255,1.37032e-09,114.061
0.43,2.59,2.36,0.000186,0.000167084,25,26,22,22775224,6.58035e-05,7.27276e-11,126.812
3.47,3.02,0.05,0.000186,0.000143945,32,25,17,17594841,0.00201607,6.8802e-08,97.053
0.62,2.05,1.77,0.000186,0.000144043,25,25,22,22506108,6.7234e-05,7.62418e-11,126.607
3.86,0.47,3.19,0.000186,0.000126268,32,23,23,23069389,5.76973e-05,9.12498e-11,125.827
2.6,4.96,5.16,0.000186,0.000116732,32,26,24,24882195,1.95503e-05,6.7234e-12,137.153
3.76,5.4,4.98,0.000186,0.000172801,32,27,23,24144280,3.19481e-05,1.83757e-11,132.787
2.8,3.5,2.57,0.000186,0.00018373,32,26,22,22867556,6.34193e-05,7.00661e-11,126.974
2.7,2.41,4.26,0.000186,0.000177078,26,25,23,23554688,3.86238e-05,2.40024e-11,131.626
3.07,3.28,1.68,0.000186,0.000152771,32,25,22,22598440,6.7234e-05,7.35501e-11,126.763
5.26,0.38,1.83,0.000186,0.000158395,32,22,22,21799354,0.000127792,3.59244e-10,119.875
1.39,2.47,3.76,0.000186,0.000157738,26,25,23,23554688,3.86238e-05,2.40024e-11,131.626
2.08,2.24,0.44,0.000186,0.000149536,26,25,20,20545795,0.000256538,1.0843e-09,115.077
4.58,2.31,2.06,0.000186,0.000161253,32,25,22,22598440,6.7234e-05,7.35501e-11,126.763
5.4,2.71,1.7,0.000186,0.000145433,32,25,22,22598440,6.7234e-05,7.35501e-11,126.763
3.17,0.9,1.03,0.000186,0.000180853,32,23,21,21061323,0.000139236,3.42835e-10,120.078
1.54,1.12,3.2,0.000186,0.000137711,26,24,23,23286734,4.57764e-05,3.76526e-11,129.671
1.74,2.16,2.27,0.000186,0.000178146,26,25,22,22549474,6.53267e-05,7.5009e-11,126.678
1.58,2.99,3.32,0.000186,0.000152969,26,25,23,23554688,3.86238e-05,2.40024e-11,131.626
5.07,0.45,3.22,0.000186,0.000126035,32,23,23,23069389,5.76973e-05,9.12498e-11,125.827
2.71,1.73,1.13,0.000186,0.000164499,32,25,21,21595588,0.000123978,2.74156e-10,121.049
2.42,0.51,4.11,0.000186,0.000165787,26,23,23,23020423,5.8651e-05,9.26299e-11,125.761
4.04,5.33,3.08,0.000186,0.0001349,32,26,23,23872770,3.29018e-05,1.91629e-11,132.604
1.84,2.76,3.61,0.000186,0.000159302,26,25,23,23554688,3.86238e-05,2.40024e-11,131.626
4.62,4.33,3.02,0.000186,0.000125474,32,26,23,23872770,3.29018e-05,1.91629e-11,132.604
5.21,4.88,2.13,0.000186,0.000167547,32,26,22,22867556,6.34193e-05,7.00661e-11,126.974
5.35,1.15,4.08,0.000186,0.000159926,32,24,23,23335700,4.57764e-05,3.6259e-11,129.835
2.36,5.54,0.76,0.000186,0.000135181,32,26,21,21864704,0.000123024,2.70617e-10,121.105
5.22,2.46,4.02,0.000186,0.000160528,32,25,23,23603654,3.62396e-05,2.2621e-11,131.884
2.51,0.99,0.22,0.000186,0.000137784,32,24,19,19325892,0.000504017,4.32567e-09,109.068
0.46,0.31,5.53,0.000186,0.000129242,24,22,24,23678629,9.91821e-05,3.07784e-10,120.547
4.33,4.49,3.85,0.000186,0.000152007,32,26,23,23872770,3.29018e-05,1.91629e-11,132.604
0.19,2.73,5.53,0.000186,0.000131836,23,25,24,24435099,3.67165e-05,1.04125e-10,125.253
3,0.36,2.36,0.000186,0.000166194,32,23,22,22064175,9.25064e-05,1.42126e-10,123.902
2.86,5.03,5.19,0.000186,0.000117739,32,26,24,24882195,1.95503e-05,6.7234e-12,137.153
