,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,5.22,2.46,4.02,11586.2,10.44,1,0,0,38,115862,577.68,73.662
1,2.21,2.52,4.76,11586.2,4.42,1,0,0,38,115862,577.68,73.662
2,3.05,0.76,2.9,11586.2,6.1,1,0,0,38,115862,577.68,73.662
3,2.42,0.51,4.11,11586.2,4.84,1,0,0,38,115862,577.68,73.662
4,5.19,3.27,3.45,11586.2,10.38,1,0,0,38,115862,577.68,73.662
5,2.63,2.57,3.2,11586.2,5.26,1,0,0,38,115862,577.68,73.662
6,2.22,5.3,4.49,11586.2,4.44,1,0,0,38,115862,577.68,73.662
7,1.5,3.81,2.55,11586.2,3,1,0,0,38,115862,577.68,73.662
8,0.66,0.61,3.72,11586.2,1.32,1,0,0,38,115862,577.68,73.662
9,3.05,0.54,3.28,11586.2,6.1,1,0,0,38,115862,577.68,73.662
10,2.6,2.58,0.74,11586.2,5.2,1,0,0,38,115862,577.68,73.662
11,4.57,2.39,4.21,11586.2,9.14,1,0,0,38,115862,577.68,73.662
12,5.27,2.71,4.37,11586.2,10.54,1,0,0,38,115862,577.68,73.662
13,1.81,3.96,3.59,11586.2,3.62,1,0,0,38,115862,577.68,73.662
14,2.12,2.38,0.2,11586.2,4.24,1,0,0,38,115862,577.68,73.662
15,4.76,0.99,1,11586.2,9.52,1,0,0,38,115862,577.68,73.662
16,1.26,0.02,1.31,11586.2,2.52,1,0,0,38,115862,577.68,73.662
17,0.43,2.59,2.36,11586.2,0.86,1,0,0,38,115862,577.68,73.662
18,2.35,0.66,3.75,11586.2,4.7,1,0,0,38,115862,577.68,73.662
19,1.66,2.44,1.01,11586.2,3.32,1,0,0,38,115862,577.68,73.662
20,4.15,4.1,2.84,11586.2,8.3,1,0,0,38,115862,577.68,73.662
21,1.5,0.03,1.72,11586.2,3,1,0,0,38,115862,577.68,73.662
22,2.4,1.83,3.28,11586.2,4.8,1,0,0,38,115862,577.68,73.662
23,1.7,0.08,0.79,11586.2,3.4,1,0,0,38,115862,577.68,73.662
24,4.58,2.31,2.06,11586.2,9.16,1,0,0,38,115862,577.68,73.662
25,0.62,2.05,1.77,11586.2,1.24,1,0,0,38,115862,577.68,73.662
26,3.71,5.52,1.4,11586.2,7.42,1,0,0,38,115862,577.68,73.662
27,0.99,2.9,2.65,11586.2,1.98,1,0,0,38,115862,577.68,73.662
28,3.41,3,0.7,11586.2,6.82,1,0,0,38,115862,577.68,73.662
29,2.6,4.96,5.16,11586.2,5.2,1,0,0,38,115862,577.68,73.662
30,4.82,2.62,3.09,11586.2,9.64,1,0,0,38,115862,577.68,73.662
31,1.52,1.9,0.6,11586.2,3.04,1,0,0,38,115862,577.68,73.662
32,1.59,3.76,0.84,11586.2,3.18,1,0,0,38,115862,577.68,73.662
33,2.7,2.41,4.26,11586.2,5.4,1,0,0,38,115862,577.68,73.662
34,3.76,1.36,3.21,11586.2,7.52,1,0,0,38,115862,577.68,73.662
35,2.36,5.54,0.76,11586.2,4.72,1,0,0,38,115862,577.68,73.662
36,5.21,4.88,2.13,11586.2,10.42,1,0,0,38,115862,577.68,73.662
37,5.18,4.98,3.05,11586.2,10.36,1,0,0,38,115862,577.68,73.662
38,0.81,2.72,4.54,11586.2,1.62,1,0,0,38,115862,577.68,73.662
39,1.06,2.22,1.48,11586.2,2.12,1,0,0,38,115862,577.68,73.662
40,2.52,3.64,5.3,11586.2,5.04,1,0,0,38,115862,577.68,73.662
41,1.27,4.94,4.58,11586.2,2.54,1,0,0,38,115862,577.68,73.662
42,1.54,1.12,3.2,11586.2,3.08,1,0,0,38,115862,577.68,73.662
43,2.89,0.3,4.26,11586.2,5.78,1,0,0,38,115862,577.68,73.662
44,0.89,2.98,2.87,11586.2,1.78,1,0,0,38,115862,577.68,73.662
45,4.17,3.38,2.62,11586.2,8.34,1,0,0,38,115862,577.68,73.662
46,5.4,2.71,1.7,11586.2,10.8,1,0,0,38,115862,577.68,73.662
47,1.92,3.19,2.62,11586.2,3.84,1,0,0,38,115862,577.68,73.662
48,0.18,2.75,0.48,11586.2,0.36,1,0,0,38,115862,577.68,73.662
49,1.74,2.16,2.27,11586.2,3.48,1,0,0,38,115862,577.68,73.662
50,3.86,0.47,3.19,11586.2,7.72,1,0,0,38,115862,577.68,73.662
51,0.77,0.77,4.9,11586.2,1.54,1,0,0,38,115862,577.68,73.662
52,5.26,0.38,1.83,11586.2,10.52,1,0,0,38,115862,577.68,73.662
53,2.86,5.03,5.19,11586.2,5.72,1,0,0,38,115862,577.68,73.662
54,3.51,3.19,4.82,11586.2,7.02,1,0,0,38,115862,577.68,73.662
55,2.08,2.24,0.44,11586.2,4.16,1,0,0,38,115862,577.68,73.662
56,2.4,0.24,1.32,11586.2,4.8,1,0,0,38,115862,577.68,73.662
57,0.46,0.31,5.53,11586.2,0.92,1,0,0,38,115862,577.68,73.662
58,4.37,4.26,1.78,11586.2,8.74,1,0,0,38,115862,577.68,73.662
59,5.25,2.67,1.09,11586.2,10.5,1,0,0,38,115862,577.68,73.662
60,3.06,5.51,0.55,11586.2,6.12,1,0,0,38,115862,577.68,73.662
61,2.52,4.22,4.26,11586.2,5.04,1,0,0,38,115862,577.68,73.662
62,2.02,0.96,3.77,11586.2,4.04,1,0,0,38,115862,577.68,73.662
63,3,0.36,2.36,11586.2,6,1,0,0,38,115862,577.68,73.662
64,5.35,1.15,4.08,11586.2,10.7,1,0,0,38,115862,577.68,73.662
65,1.54,1.84,2.06,11586.2,3.08,1,0,0,38,115862,577.68,73.662
66,3.47,3.02,0.05,11586.2,6.94,1,0,0,38,115862,577.68,73.662
67,3.07,3.28,1.68,11586.2,6.14,1,0,0,38,115862,577.68,73.662
68,5,0.27,5.51,11586.2,10,1,0,0,38,115862,577.68,73.662
69,0.98,3.11,1.46,11586.2,1.96,1,0,0,38,115862,577.68,73.662
70,1.72,3.6,3.39,11586.2,3.44,1,0,0,38,115862,577.68,73.662
71,3.76,5.4,4.98,11586.2,7.52,1,0,0,38,115862,577.68,73.662
72,3.19,3.27,0.14,11586.2,6.38,1,0,0,38,115862,577.68,73.662
73,5.08,3.34,2.71,11586.2,10.16,1,0,0,38,115862,577.68,73.662
74,1.18,0.65,2.1,11586.2,2.36,1,0,0,38,115862,577.68,73.662
75,0.81,0.9,0.23,11586.2,1.62,1,0,0,38,115862,577.68,73.662
76,1.84,2.76,3.61,11586.2,3.68,1,0,0,38,115862,577.68,73.662
77,4.84,2.16,2.67,11586.2,9.68,1,0,0,38,115862,577.68,73.662
78,3.2,4.45,3.25,11586.2,6.4,1,0,0,38,115862,577.68,73.662
79,5.13,5.35,2.08,11586.2,10.26,1,0,0,38,115862,577.68,73.662
80,2.68,1.49,0.83,11586.2,5.36,1,0,0,38,115862,577.68,73.662
81,1.97,2.4,0.52,11586.2,3.94,1,0,0,38,115862,577.68,73.662
82,1.3,1.8,4.22,11586.2,2.6,1,0,0,38,115862,577.68,73.662
83,0.51,2.27,2.84,11586.2,1.02,1,0,0,38,115862,577.68,73.662
84,3.17,0.9,1.03,11586.2,6.34,1,0,0,38,115862,577.68,73.662
85,0.19,2.73,5.53,11586.2,0.38,1,0,0,38,115862,577.68,73.662
86,1.15,0.9,2.98,11586.2,2.3,1,0,0,38,115862,577.68,73.662
87,3.9,3.54,5.41,11586.2,7.8,1,0,0,38,115862,577.68,73.662
88,0.77,0.57,3.78,11586.2,1.54,1,0,0,38,115862,577.68,73.662
89,2,0.42,4.79,11586.2,4,1,0,0,38,115862,577.68,73.662
90,2.8,3.5,2.57,11586.2,5.6,1,0,0,38,115862,577.68,73.662
