,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,5.22,2.46,4.02,0.010152,0.00509766,12,0,0,336,12.8407,148.675,-1.59133
1,1.66,2.44,1.01,0.010152,0.00648437,10,0,0,280,12.8407,148.675,-1.59133
2,5.4,2.71,1.7,0.010152,0.00527344,12,0,0,336,12.8407,148.675,-1.59133
3,1.59,3.76,0.84,0.010152,0.00621094,10,0,0,280,12.8407,148.675,-1.59133
4,2.7,2.41,4.26,0.010152,0.00527344,11,0,0,308,12.8407,148.675,-1.59133
5,0.81,2.72,4.54,0.010152,0.00632813,9,0,0,252,12.8407,148.675,-1.59133
6,2.89,0.3,4.26,0.010152,0.00564453,11,0,0,308,12.8407,148.675,-1.59133
7,1.5,0.03,1.72,0.010152,0.00585938,10,0,0,280,12.8407,148.675,-1.59133
8,1.54,1.12,3.2,0.010152,0.00601562,10,0,0,280,12.8407,148.675,-1.59133
9,0.77,0.57,3.78,0.010152,0.00601562,9,0,0,252,12.8407,148.675,-1.59133
10,5.19,3.27,3.45,0.010152,0.0101367,11,0,0,308,12.8407,148.675,-1.59133
11,0.99,2.9,2.65,0.010152,0.00773438,9,0,0,252,12.8407,148.675,-1.59133
12,2.63,2.57,3.2,0.010152,0.00513672,11,0,0,308,12.8407,148.675,-1.59133
13,0.43,2.59,2.36,0.010152,0.00671875,8,0,0,224,12.8407,148.675,-1.59133
14,1.52,1.9,0.6,0.010152,0.0059375,10,0,0,280,12.8407,148.675,-1.59133
15,0.77,0.77,4.9,0.010152,0.00601562,9,0,0,252,12.8407,148.675,-1.59133
16,2.12,2.38,0.2,0.010152,0.00828125,10,0,0,280,12.8407,148.675,-1.59133
17,3.76,1.36,3.21,0.010152,0.00734375,11,0,0,308,12.8407,148.675,-1.59133
18,5.27,2.71,4.37,0.010152,0.00514648,12,0,0,336,12.8407,148.675,-1.59133
19,1.97,2.4,0.52,0.010152,0.00769531,10,0,0,280,12.8407,148.675,-1.59133
20,3.41,3,0.7,0.010152,0.00666016,11,0,0,308,12.8407,148.675,-1.59133
21,0.62,2.05,1.77,0.010152,0.0096875,8,0,0,224,12.8407,148.675,-1.59133
22,5.13,5.35,2.08,0.010152,0.0100195,11,0,0,308,12.8407,148.675,-1.59133
23,4.17,3.38,2.62,0.010152,0.00814453,11,0,0,308,12.8407,148.675,-1.59133
24,5.21,4.88,2.13,0.010152,0.00508789,12,0,0,336,12.8407,148.675,-1.59133
25,1.7,0.08,0.79,0.010152,0.00664063,10,0,0,280,12.8407,148.675,-1.59133
26,2.6,4.96,5.16,0.010152,0.00507812,11,0,0,308,12.8407,148.675,-1.59133
27,3.6,1.48,4.79,0.010152,0.00703125,11,0,0,308,12.8407,148.675,-1.59133
28,1.81,3.96,3.59,0.010152,0.00707031,10,0,0,280,12.8407,148.675,-1.59133
29,2.52,3.64,5.3,0.010152,0.00984375,10,0,0,280,12.8407,148.675,-1.59133
30,3.71,5.52,1.4,0.010152,0.00724609,11,0,0,308,12.8407,148.675,-1.59133
31,4.58,2.31,2.06,0.010152,0.00894531,11,0,0,308,12.8407,148.675,-1.59133
32,1.39,2.47,3.76,0.010152,0.00542969,10,0,0,280,12.8407,148.675,-1.59133
33,1.92,3.19,2.62,0.010152,0.0075,10,0,0,280,12.8407,148.675,-1.59133
34,1.19,5,2.53,0.010152,0.00929688,9,0,0,252,12.8407,148.675,-1.59133
35,4.57,2.39,4.21,0.010152,0.00892578,11,0,0,308,12.8407,148.675,-1.59133
36,1.27,4.94,4.58,0.010152,0.00992187,9,0,0,252,12.8407,148.675,-1.59133
37,3.49,5.18,1.46,0.010152,0.00681641,11,0,0,308,12.8407,148.675,-1.59133
