,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,4.76,0.99,1,5e-06,128,32,32,32,4365,0.571555,0.00595354,17.3934
1,1.26,0.02,1.31,5e-06,167.68,32,32,32,4365,0.571555,0.00595354,17.3934
2,0.62,2.05,1.77,5e-06,226.56,32,32,32,4365,0.571555,0.00595354,17.3934
3,2.12,2.38,0.2,5e-06,25.6,32,32,32,4365,0.571555,0.00595354,17.3934
4,3.41,3,0.7,5e-06,89.6,32,32,32,4365,0.571555,0.00595354,17.3934
5,1.81,3.96,3.59,5e-06,459.52,32,32,32,4365,0.571555,0.00595354,17.3934
6,3.05,0.54,3.28,5e-06,419.84,32,32,32,4365,0.571555,0.00595354,17.3934
7,1.5,3.81,2.55,5e-06,326.4,32,32,32,4365,0.571555,0.00595354,17.3934
8,4.82,2.62,3.09,5e-06,395.52,32,32,32,4365,0.571555,0.00595354,17.3934
9,4.57,2.39,4.21,5e-06,538.88,32,32,32,4365,0.571555,0.00595354,17.3934
10,1.5,0.03,1.72,5e-06,220.16,32,32,32,4365,0.571555,0.00595354,17.3934
11,5.4,2.71,1.7,5e-06,217.6,32,32,32,4365,0.571555,0.00595354,17.3934
12,1.92,3.19,2.62,5e-06,335.36,32,32,32,4365,0.571555,0.00595354,17.3934
13,2.6,4.96,5.16,5e-06,660.48,32,32,32,4365,0.571555,0.00595354,17.3934
14,2.52,3.64,5.3,5e-06,678.4,32,32,32,4365,0.571555,0.00595354,17.3934
15,2.63,2.57,3.2,5e-06,409.6,32,32,32,4365,0.571555,0.00595354,17.3934
16,5.19,3.27,3.45,5e-06,441.6,32,32,32,4365,0.571555,0.00595354,17.3934
17,1.06,2.22,1.48,5e-06,189.44,32,32,32,4365,0.571555,0.00595354,17.3934
18,3.79,4.35,2.02,5e-06,258.56,32,32,32,4365,0.571555,0.00595354,17.3934
19,2.02,0.96,3.77,5e-06,482.56,32,32,32,4365,0.571555,0.00595354,17.3934
20,3.71,5.52,1.4,5e-06,179.2,32,32,32,4365,0.571555,0.00595354,17.3934
21,1.59,3.76,0.84,5e-06,107.52,32,32,32,4365,0.571555,0.00595354,17.3934
22,1.66,2.44,1.01,5e-06,129.28,32,32,32,4365,0.571555,0.00595354,17.3934
23,5.27,2.71,4.37,5e-06,559.36,32,32,32,4365,0.571555,0.00595354,17.3934
24,5.22,2.46,4.02,5e-06,514.56,32,32,32,4365,0.571555,0.00595354,17.3934
25,1.52,1.9,0.6,5e-06,76.8,32,32,32,4365,0.571555,0.00595354,17.3934
26,0.98,3.11,1.46,5e-06,186.88,32,32,32,4365,0.571555,0.00595354,17.3934
27,4.37,4.26,1.78,5e-06,227.84,32,32,32,4365,0.571555,0.00595354,17.3934
28,0.89,2.98,2.87,5e-06,367.36,32,32,32,4365,0.571555,0.00595354,17.3934
29,5.35,1.15,4.08,5e-06,522.24,32,32,32,4365,0.571555,0.00595354,17.3934
30,4.58,2.31,2.06,5e-06,263.68,32,32,32,4365,0.571555,0.00595354,17.3934
31,3.06,5.51,0.55,5e-06,70.4,32,32,32,4365,0.571555,0.00595354,17.3934
32,1.19,5,2.53,5e-06,323.84,32,32,32,4365,0.571555,0.00595354,17.3934
33,2.36,5.54,0.76,5e-06,97.28,32,32,32,4365,0.571555,0.00595354,17.3934
34,4.15,4.1,2.84,5e-06,363.52,32,32,32,4365,0.571555,0.00595354,17.3934
35,2.21,2.52,4.76,5e-06,609.28,32,32,32,4365,0.571555,0.00595354,17.3934
36,0.19,2.73,5.53,5e-06,707.84,32,32,32,4365,0.571555,0.00595354,17.3934
37,1.74,2.16,2.27,5e-06,290.56,32,32,32,4365,0.571555,0.00595354,17.3934
38,3.96,0.17,1.2,5e-06,153.6,32,32,32,4365,0.571555,0.00595354,17.3934
39,2.86,5.03,5.19,5e-06,664.32,32,32,32,4365,0.571555,0.00595354,17.3934
40,4.03,2.59,1.9,5e-06,243.2,32,32,32,4365,0.571555,0.00595354,17.3934
41,2.6,2.58,0.74,5e-06,94.72,32,32,32,4365,0.571555,0.00595354,17.3934
42,0.77,0.57,3.78,5e-06,483.84,32,32,32,4365,0.571555,0.00595354,17.3934
43,0.51,2.27,2.84,5e-06,363.52,32,32,32,4365,0.571555,0.00595354,17.3934
44,2.42,0.51,4.11,5e-06,526.08,32,32,32,4365,0.571555,0.00595354,17.3934
45,3.17,0.9,1.03,5e-06,131.84,32,32,32,4365,0.571555,0.00595354,17.3934
46,5.53,0.85,2.08,5e-06,266.24,32,32,32,4365,0.571555,0.00595354,17.3934
47,1.54,1.12,3.2,5e-06,409.6,32,32,32,4365,0.571555,0.00595354,17.3934
48,3.76,5.4,4.98,5e-06,637.44,32,32,32,4365,0.571555,0.00595354,17.3934
49,1.15,0.9,2.98,5e-06,381.44,32,32,32,4365,0.571555,0.00595354,17.3934
50,5.31,0.18,1.08,5e-06,138.24,32,32,32,4365,0.571555,0.00595354,17.3934
51,3.2,4.45,3.25,5e-06,416,32,32,32,4365,0.571555,0.00595354,17.3934
52,5.21,4.88,2.13,5e-06,272.64,32,32,32,4365,0.571555,0.00595354,17.3934
53,3.51,3.19,4.82,5e-06,616.96,32,32,32,4365,0.571555,0.00595354,17.3934
54,0.81,2.72,4.54,5e-06,581.12,32,32,32,4365,0.571555,0.00595354,17.3934
55,0.77,0.77,4.9,5e-06,627.2,32,32,32,4365,0.571555,0.00595354,17.3934
56,0.66,0.61,3.72,5e-06,476.16,32,32,32,4365,0.571555,0.00595354,17.3934
57,2.52,4.22,4.26,5e-06,545.28,32,32,32,4365,0.571555,0.00595354,17.3934
58,3.3,4.72,3.75,5e-06,480,32,32,32,4365,0.571555,0.00595354,17.3934
59,2.68,1.49,0.83,5e-06,106.24,32,32,32,4365,0.571555,0.00595354,17.3934
60,2.7,2.41,4.26,5e-06,545.28,32,32,32,4365,0.571555,0.00595354,17.3934
61,4.13,4.71,2.9,5e-06,371.2,32,32,32,4365,0.571555,0.00595354,17.3934
62,2.89,0.3,4.26,5e-06,545.28,32,32,32,4365,0.571555,0.00595354,17.3934
63,3.86,0.47,3.19,5e-06,408.32,32,32,32,4365,0.571555,0.00595354,17.3934
64,5.18,4.98,3.05,5e-06,390.4,32,32,32,4365,0.571555,0.00595354,17.3934
65,5,0.27,5.51,5e-06,705.28,32,32,32,4365,0.571555,0.00595354,17.3934
66,1.27,4.94,4.58,5e-06,586.24,32,32,32,4365,0.571555,0.00595354,17.3934
67,0.54,0.53,4.03,5e-06,515.84,32,32,32,4365,0.571555,0.00595354,17.3934
68,4.02,2.76,2.92,5e-06,373.76,32,32,32,4365,0.571555,0.00595354,17.3934
69,0.46,0.31,5.53,5e-06,707.84,32,32,32,4365,0.571555,0.00595354,17.3934
70,0.99,2.9,2.65,5e-06,339.2,32,32,32,4365,0.571555,0.00595354,17.3934
71,2.08,2.24,0.44,5e-06,56.32,32,32,32,4365,0.571555,0.00595354,17.3934
72,0.85,4.14,1.82,5e-06,232.96,32,32,32,4365,0.571555,0.00595354,17.3934
73,0.43,2.59,2.36,5e-06,302.08,32,32,32,4365,0.571555,0.00595354,17.3934
74,4.62,4.33,3.02,5e-06,386.56,32,32,32,4365,0.571555,0.00595354,17.3934
75,1.3,1.8,4.22,5e-06,540.16,32,32,32,4365,0.571555,0.00595354,17.3934
76,5.08,4.87,1.66,5e-06,212.48,32,32,32,4365,0.571555,0.00595354,17.3934
77,2.4,0.24,1.32,5e-06,168.96,32,32,32,4365,0.571555,0.00595354,17.3934
78,5.13,5.35,2.08,5e-06,266.24,32,32,32,4365,0.571555,0.00595354,17.3934
79,4.17,3.38,2.62,5e-06,335.36,32,32,32,4365,0.571555,0.00595354,17.3934
80,3.01,2.23,1.43,5e-06,183.04,32,32,32,4365,0.571555,0.00595354,17.3934
81,4.23,4.07,1.2,5e-06,153.6,32,32,32,4365,0.571555,0.00595354,17.3934
82,1.18,0.65,2.1,5e-06,268.8,32,32,32,4365,0.571555,0.00595354,17.3934
83,3.65,0.21,3.97,5e-06,508.16,32,32,32,4365,0.571555,0.00595354,17.3934
84,3,0.36,2.36,5e-06,302.08,32,32,32,4365,0.571555,0.00595354,17.3934
85,3.05,0.76,2.9,5e-06,371.2,32,32,32,4365,0.571555,0.00595354,17.3934
86,2.05,2.62,0.17,5e-06,21.76,32,32,32,4365,0.571555,0.00595354,17.3934
87,1.5,2.1,0.48,5e-06,61.44,32,32,32,4365,0.571555,0.00595354,17.3934
88,3.07,3.28,1.68,5e-06,215.04,32,32,32,4365,0.571555,0.00595354,17.3934
89,5.24,4.6,4.38,5e-06,560.64,32,32,32,4365,0.571555,0.00595354,17.3934
90,0.18,2.75,0.48,5e-06,61.44,32,32,32,4365,0.571555,0.00595354,17.3934
91,2.4,1.83,3.28,5e-06,419.84,32,32,32,4365,0.571555,0.00595354,17.3934
92,0.35,4.11,4.21,5e-06,538.88,32,32,32,4365,0.571555,0.00595354,17.3934
93,5.54,3.32,0.97,5e-06,124.16,32,32,32,4365,0.571555,0.00595354,17.3934
94,5.35,4.9,1.16,5e-06,148.48,32,32,32,4365,0.571555,0.00595354,17.3934
95,3.26,5.35,3.02,5e-06,386.56,32,32,32,4365,0.571555,0.00595354,17.3934
96,2.22,5.3,4.49,5e-06,574.72,32,32,32,4365,0.571555,0.00595354,17.3934
97,3.6,1.48,4.79,5e-06,613.12,32,32,32,4365,0.571555,0.00595354,17.3934
98,0.21,1.82,1.72,5e-06,220.16,32,32,32,4365,0.571555,0.00595354,17.3934
99,4.84,2.16,2.67,5e-06,341.76,32,32,32,4365,0.571555,0.00595354,17.3934
100,2.92,3.48,2.6,5e-06,332.8,32,32,32,4365,0.571555,0.00595354,17.3934
101,3.76,1.36,3.21,5e-06,410.88,32,32,32,4365,0.571555,0.00595354,17.3934
102,1.97,0.46,0.49,5e-06,62.72,32,32,32,4365,0.571555,0.00595354,17.3934
103,5.26,0.38,1.83,5e-06,234.24,32,32,32,4365,0.571555,0.00595354,17.3934
104,4.4,2.27,3.93,5e-06,503.04,32,32,32,4365,0.571555,0.00595354,17.3934
105,5.07,0.45,3.22,5e-06,412.16,32,32,32,4365,0.571555,0.00595354,17.3934
106,5.15,3.88,1.64,5e-06,209.92,32,32,32,4365,0.571555,0.00595354,17.3934
107,1.86,4.68,0.9,5e-06,115.2,32,32,32,4365,0.571555,0.00595354,17.3934
108,1.54,1.84,2.06,5e-06,263.68,32,32,32,4365,0.571555,0.00595354,17.3934
109,1.39,2.47,3.76,5e-06,481.28,32,32,32,4365,0.571555,0.00595354,17.3934
110,2.35,0.66,3.75,5e-06,480,32,32,32,4365,0.571555,0.00595354,17.3934
111,0.23,2.77,1.39,5e-06,177.92,32,32,32,4365,0.571555,0.00595354,17.3934
112,1.47,3.76,5.52,5e-06,706.56,32,32,32,4365,0.571555,0.00595354,17.3934
113,2.8,3.5,2.57,5e-06,328.96,32,32,32,4365,0.571555,0.00595354,17.3934
114,3.86,3.76,2.7,5e-06,345.6,32,32,32,4365,0.571555,0.00595354,17.3934
115,3.47,3.02,0.05,5e-06,6.4,32,32,32,4365,0.571555,0.00595354,17.3934
116,0.39,1.72,4.71,5e-06,602.88,32,32,32,4365,0.571555,0.00595354,17.3934
117,0.79,2.7,2.91,5e-06,372.48,32,32,32,4365,0.571555,0.00595354,17.3934
118,0.39,0.71,0.47,5e-06,60.16,32,32,32,4365,0.571555,0.00595354,17.3934
119,3.49,1.6,5.02,5e-06,642.56,32,32,32,4365,0.571555,0.00595354,17.3934
120,4.2,4.74,2.6,5e-06,332.8,32,32,32,4365,0.571555,0.00595354,17.3934
121,0.79,3.69,4.04,5e-06,517.12,32,32,32,4365,0.571555,0.00595354,17.3934
122,4.04,0.97,4.11,5e-06,526.08,32,32,32,4365,0.571555,0.00595354,17.3934
123,3.58,3.86,1.28,5e-06,163.84,32,32,32,4365,0.571555,0.00595354,17.3934
124,2.58,3.44,2.34,5e-06,299.52,32,32,32,4365,0.571555,0.00595354,17.3934
125,2.37,3.77,4.05,5e-06,518.4,32,32,32,4365,0.571555,0.00595354,17.3934
126,1.57,4.84,1.19,5e-06,152.32,32,32,32,4365,0.571555,0.00595354,17.3934
127,4.52,3.57,3.04,5e-06,389.12,32,32,32,4365,0.571555,0.00595354,17.3934
128,2,0.42,4.79,5e-06,613.12,32,32,32,4365,0.571555,0.00595354,17.3934
129,0.82,5.06,1,5e-06,128,32,32,32,4365,0.571555,0.00595354,17.3934
130,5.42,1.68,0.81,5e-06,103.68,32,32,32,4365,0.571555,0.00595354,17.3934
131,1.36,1.78,0.94,5e-06,120.32,32,32,32,4365,0.571555,0.00595354,17.3934
132,4.5,3.79,2.9,5e-06,371.2,32,32,32,4365,0.571555,0.00595354,17.3934
133,2.08,0.14,4.41,5e-06,564.48,32,32,32,4365,0.571555,0.00595354,17.3934
134,1.97,2.4,0.52,5e-06,66.56,32,32,32,4365,0.571555,0.00595354,17.3934
135,0.81,0.9,0.23,5e-06,29.44,32,32,32,4365,0.571555,0.00595354,17.3934
136,1.84,2.76,3.61,5e-06,462.08,32,32,32,4365,0.571555,0.00595354,17.3934
137,3.09,2.15,2.24,5e-06,286.72,32,32,32,4365,0.571555,0.00595354,17.3934
138,1.02,0.37,2.49,5e-06,318.72,32,32,32,4365,0.571555,0.00595354,17.3934
139,2.19,0.41,4.26,5e-06,545.28,32,32,32,4365,0.571555,0.00595354,17.3934
140,4.97,3.39,3.54,5e-06,453.12,32,32,32,4365,0.571555,0.00595354,17.3934
141,3.9,3.54,5.41,5e-06,692.48,32,32,32,4365,0.571555,0.00595354,17.3934
142,0.52,5.15,0.52,5e-06,66.56,32,32,32,4365,0.571555,0.00595354,17.3934
143,5.54,5.31,5.48,5e-06,701.44,32,32,32,4365,0.571555,0.00595354,17.3934
144,5.28,1.65,0.45,5e-06,57.6,32,32,32,4365,0.571555,0.00595354,17.3934
145,3.74,2.69,5.01,5e-06,641.28,32,32,32,4365,0.571555,0.00595354,17.3934
146,0.98,2.95,3.8,5e-06,486.4,32,32,32,4365,0.571555,0.00595354,17.3934
147,3.49,5.18,1.46,5e-06,186.88,32,32,32,4365,0.571555,0.00595354,17.3934
148,2.81,5.07,4.36,5e-06,558.08,32,32,32,4365,0.571555,0.00595354,17.3934
149,3.27,5.06,2.94,5e-06,376.32,32,32,32,4365,0.571555,0.00595354,17.3934
150,3.19,3.27,0.14,5e-06,17.92,32,32,32,4365,0.571555,0.00595354,17.3934
