c0,c1,c2,c3,Requested_tolerance,estimated_error,l0,l1,l2,l3,Total_retrieve_size,MaxErr,MSE,PSNR
4.65,4.62,0.11,3.82,11586.2,11234.6,7,7,7,8,16887,3219.93,51.503,84.1605
4.75,4.34,4.62,3.7,11586.2,11349.8,7,7,9,9,27203,1232.9,27.791,86.8398
5.42,5,3.68,3.3,11586.2,10401.3,7,7,9,9,27203,1232.9,27.791,86.8398
2.64,2.51,1.31,3.81,11586.2,8545.28,6,7,8,9,23913,1614.88,36.7337,85.6282
5.13,1.46,3.24,3.07,11586.2,11009.3,7,7,9,8,21207,1467.63,31.4755,86.2991
1.57,0.48,2.26,0.1,11586.2,10675.2,5,4,8,4,6333,20308.6,163.08,79.1548
4.71,3.91,4.43,0.74,11586.2,10775,6,7,9,7,16219,2794.42,42.8156,84.9628
2.83,4.13,0.74,0.48,11586.2,9802.24,6,7,7,6,9933,5732.22,78.7882,82.3142
1.16,5.37,0.45,0.51,11586.2,9364.48,5,7,7,6,9502,5591.1,81.3864,82.1733
4.34,5.34,2.59,1.17,11586.2,11289.6,6,7,9,7,16219,2794.42,42.8156,84.9628
2.2,2.67,1.08,2.89,11586.2,11427.8,6,6,8,8,16620,2145.77,46.3457,84.6187
1.31,1.82,5.45,1.18,11586.2,8890.88,6,7,10,7,20588,2707.75,38.3596,85.4401
3.47,2.09,0.41,3.71,11586.2,11235.8,6,7,7,8,16299,3163.93,54.5056,83.9144
0.83,4.93,2.72,2.97,11586.2,8775.68,5,7,9,9,26184,1232.9,33.3991,86.0415
2.22,5.4,5.21,2.5,11586.2,11120.6,6,7,10,8,24988,1441.18,29.9733,86.5115
4.82,0.49,0.2,2.98,11586.2,9978.88,6,5,6,8,13610,5022.89,87.8364,81.8421
0.01,5.38,4.16,5.14,11586.2,10921,3,8,9,9,28582,1741.11,36.6621,85.6367
1.17,1,1.66,4.64,11586.2,9774.08,5,6,8,9,22185,1712.2,45.3466,84.7134
3.88,0.7,3.73,1.02,11586.2,10424.3,6,5,9,7,14208,3159.11,60.3415,83.4727
0.93,4.65,3.69,5.33,11586.2,10665,6,8,9,9,29265,1197.35,26.6535,87.0213
0.15,2.17,5.4,3.68,11586.2,11566.1,4,7,10,8,24411,1659.42,38.5548,85.4181
5.48,4.27,1.86,1.78,11586.2,10342.4,7,7,8,8,18505,2066.06,37.4279,85.5469
4.73,5.41,1.16,4.21,11586.2,10062.1,7,7,8,9,24501,1578.88,33.7538,85.9956
1.9,2.15,0.41,5.13,11586.2,9620.48,6,6,7,9,20998,2858.37,56.3651,83.7687
2.31,0.55,1.93,5.18,11586.2,10974.7,6,5,8,9,21902,2260.23,54.4708,83.9172
0.5,3.75,1.31,1.64,11586.2,11576.3,5,7,8,7,13086,3499.63,51.2507,84.1818
2.53,1.41,5.29,1.34,11586.2,10252.8,6,6,9,8,19322,1632.33,40.3828,85.2169
5.51,2.59,5.39,5.39,11586.2,10310.4,7,7,10,9,31572,1076.34,23.3232,87.601
2.38,4.95,1.6,5.28,11586.2,10188.8,6,7,9,9,26615,1232.9,30.784,86.3956
3.36,1.85,0.42,1.12,11586.2,9922.56,5,6,7,7,10171,3876.95,70.4987,82.797
0.18,4.03,3.82,2.17,11586.2,10603.5,4,7,9,8,20042,1682.4,43.0353,84.9406
4.14,0.68,0.44,0.99,11586.2,8309.76,6,5,7,7,9888,4179.25,79.5651,82.2716
1.22,2.62,5.04,4.98,11586.2,9333.76,6,7,10,9,30984,1076.34,26.3062,87.0783
4.02,4.87,2.29,1.62,11586.2,8670.72,7,7,9,8,21207,1467.63,31.4755,86.2991
4.67,3.74,3.7,2.38,11586.2,11175.7,7,7,9,8,21207,1467.63,31.4755,86.2991
4.6,0.17,1.1,2.47,11586.2,9185.28,6,4,8,8,15477,2860.47,70.3769,82.8045
1.9,4.71,1.67,4.92,11586.2,11356.2,6,7,8,9,23913,1614.88,36.7337,85.6282
0.95,3.6,5.06,4.11,11586.2,9128.96,5,7,10,9,30553,1076.34,28.9479,86.6627
4.22,4.24,0.78,2.55,11586.2,10071,6,7,8,8,17917,2066.06,40.4065,85.2143
0.66,0.59,0.13,5.46,11586.2,8202.24,5,5,6,9,19175,5653.38,86.7596,81.8957
3.06,4.58,4,5.49,11586.2,10406.4,7,7,10,9,31572,1076.34,23.3232,87.601
0.98,0.48,2.94,0.88,11586.2,11110.4,5,5,8,7,11075,3491.65,68.9287,82.8948
2.59,5.07,2.58,4.19,11586.2,10191.4,6,7,9,9,26615,1232.9,30.784,86.3956
1.68,2.25,0.32,0.44,11586.2,9390.08,5,6,6,6,7527,8252.06,103.014,81.1499
0.87,0.34,2.24,5.5,11586.2,11361.3,5,5,8,9,21471,2324.23,57.1191,83.711
0.55,0.03,1.48,3.83,11586.2,11402.2,5,3,8,8,14859,5132.22,82.9006,82.0933
4.4,4.88,2.05,3.59,11586.2,8837.12,7,7,9,9,27203,1232.9,27.791,86.8398
4.45,2.25,2.84,2.77,11586.2,11454.7,7,6,9,8,19910,1614.92,37.4023,85.5499
2.43,4.24,2.91,3.6,11586.2,9459.2,6,7,9,9,26615,1232.9,30.784,86.3956
0.65,4.58,0.07,4.53,11586.2,7889.92,5,7,6,9,21186,5449.78,69.1902,82.8784
2,4.26,5.01,1.27,11586.2,10424.3,6,7,9,8,20619,1504.38,34.4673,85.9048
1.51,4.78,1.8,5.03,11586.2,9827.84,6,7,9,9,26615,1232.9,30.784,86.3956
3.05,3.16,1.56,2.04,11586.2,9771.52,6,7,8,8,17917,2066.06,40.4065,85.2143
