,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,4.76,0.99,1,0.0115862,0.0100366,30,28,26,82838528,0.0117188,4.20608e-06,155.04
1,2.89,0.3,4.26,0.0115862,0.00966858,30,27,28,110295824,0.0078125,6.68034e-07,163.031
2,4.15,4.1,2.84,0.0115862,0.0066745,31,31,28,117978116,0.00390625,2.68112e-07,166.996
3,3.76,1.36,3.21,0.0115862,0.00782715,30,29,28,114002800,0.00390625,2.9158e-07,166.631
4,1.52,1.9,0.6,0.0115862,0.011416,29,29,25,69997059,0.0143248,1.5522e-05,149.369
5,1.26,0.02,1.31,0.0115862,0.006521,29,23,27,87990945,0.0532901,9.66201e-05,141.428
6,1.81,3.96,3.59,0.0115862,0.00819946,29,31,28,117441436,0.00390625,2.69123e-07,166.979
7,4.82,2.62,3.09,0.0115862,0.00746155,31,30,28,116124628,0.00390625,2.72768e-07,166.921
8,2.36,5.54,0.76,0.0115862,0.00743408,30,31,26,88398992,0.0078125,4.10719e-06,155.143
9,1.06,2.22,1.48,0.0115862,0.00699463,29,30,27,100932556,0.0078125,1.06804e-06,160.993
10,5.27,2.71,4.37,0.0115862,0.0100192,31,30,28,116124628,0.00390625,2.72768e-07,166.921
11,3.41,3,0.7,0.0115862,0.00630524,31,31,26,88667332,0.0078125,4.10713e-06,155.143
12,1.66,2.44,1.01,0.0115862,0.00928467,29,30,26,86277164,0.0078125,4.11274e-06,155.138
13,2.42,0.51,4.11,0.0115862,0.0101672,30,27,28,110295824,0.0078125,6.68034e-07,163.031
14,0.99,2.9,2.65,0.0115862,0.0111804,29,31,27,102786044,0.0078125,1.06348e-06,161.012
15,5.18,4.98,3.05,0.0115862,0.00733093,31,31,28,117978116,0.00390625,2.68112e-07,166.996
16,1.74,2.16,2.27,0.0115862,0.011189,29,29,27,99079068,0.0078125,1.08713e-06,160.916
17,5.19,3.27,3.45,0.0115862,0.00849335,31,30,28,116124628,0.00390625,2.72768e-07,166.921
18,3.05,0.76,2.9,0.0115862,0.00659241,30,29,28,114002800,0.00390625,2.9158e-07,166.631
19,1.5,0.03,1.72,0.0115862,0.00783936,29,24,27,89811628,0.0265914,2.61272e-05,147.108
20,1.54,1.12,3.2,0.0115862,0.00753174,29,29,28,113734460,0.00390625,2.92684e-07,166.615
21,4.57,2.39,4.21,0.0115862,0.00966858,30,30,28,115856288,0.00390625,2.72675e-07,166.922
22,0.43,2.59,2.36,0.0115862,0.0106934,27,30,27,100395876,0.0078125,1.08195e-06,160.937
23,0.81,2.72,4.54,0.0115862,0.0103931,28,30,28,115319608,0.00390625,2.75243e-07,166.882
24,2.21,2.52,4.76,0.0115862,0.0107971,29,30,28,115587948,0.00390625,2.73779e-07,166.905
25,1.27,4.94,4.58,0.0115862,0.0104614,28,31,28,117173096,0.00390625,2.70587e-07,166.956
26,2.6,4.96,5.16,0.0115862,0.0114478,30,31,28,117709776,0.00390625,2.68018e-07,166.997
27,1.7,0.08,0.79,0.0115862,0.00762939,29,25,26,77009724,0.0158855,1.05288e-05,151.055
28,2.4,1.83,3.28,0.0115862,0.00744629,30,30,28,115856288,0.00390625,2.72675e-07,166.922
29,0.89,2.98,2.87,0.0115862,0.00644165,29,31,28,117441436,0.00390625,2.69123e-07,166.979
30,4.17,3.38,2.62,0.0115862,0.0111868,31,31,27,103322724,0.0078125,1.0623e-06,161.016
31,1.5,3.81,2.55,0.0115862,0.0110742,29,31,27,102786044,0.0078125,1.06348e-06,161.012
32,1.92,3.19,2.62,0.0115862,0.0111304,30,31,27,103054384,0.0078125,1.06205e-06,161.017
33,0.18,2.75,0.48,0.0115862,0.00901855,26,30,25,71045527,0.0141755,1.55462e-05,149.363
34,2.12,2.38,0.2,0.0115862,0.0076709,29,30,24,58372467,0.0271279,4.66656e-05,144.589
35,3.71,5.52,1.4,0.0115862,0.00692963,31,31,27,103322724,0.0078125,1.0623e-06,161.016
36,5.22,2.46,4.02,0.0115862,0.00921204,31,30,28,116124628,0.00390625,2.72768e-07,166.921
37,0.62,2.05,1.77,0.0115862,0.00806641,28,30,27,100664216,0.0078125,1.06885e-06,160.99
38,5.21,4.88,2.13,0.0115862,0.00967072,31,31,27,103322724,0.0078125,1.0623e-06,161.016
39,2.35,0.66,3.75,0.0115862,0.00875671,30,28,28,112149312,0.0117188,3.66634e-07,165.637
40,2.22,5.3,4.49,0.0115862,0.0103345,29,31,28,117441436,0.00390625,2.69123e-07,166.979
41,2.6,2.58,0.74,0.0115862,0.00719971,30,30,26,86545504,0.0078125,4.11195e-06,155.138
42,0.66,0.61,3.72,0.0115862,0.00861816,28,28,28,111612632,0.0117188,3.69202e-07,165.606
43,2.7,2.41,4.26,0.0115862,0.00966187,30,30,28,115856288,0.00390625,2.72675e-07,166.922
44,5.4,2.71,1.7,0.0115862,0.00812866,31,30,27,101469236,0.0078125,1.06686e-06,160.998
45,3.05,0.54,3.28,0.0115862,0.00764709,30,28,28,112149312,0.0117188,3.66634e-07,165.637
46,2.52,3.64,5.3,0.0115862,0.011394,30,31,28,117709776,0.00390625,2.68018e-07,166.997
47,2.63,2.57,3.2,0.0115862,0.00766541,30,30,28,115856288,0.00390625,2.72675e-07,166.922
48,1.59,3.76,0.84,0.0115862,0.00767456,29,31,26,88130652,0.0078125,4.10798e-06,155.143
49,4.58,2.31,2.06,0.0115862,0.00945435,30,30,27,101200896,0.0078125,1.06661e-06,160.999
50,1.97,2.4,0.52,0.0115862,0.00953735,29,30,25,71850547,0.0141755,1.55026e-05,149.375
51,3.76,5.4,4.98,0.0115862,0.0112744,30,31,28,117709776,0.00390625,2.68018e-07,166.997
52,5.25,2.67,1.09,0.0115862,0.00997955,31,30,26,86813844,0.0078125,4.11188e-06,155.138
53,0.46,0.31,5.53,0.0115862,0.00672363,28,27,29,124414536,0.00390625,4.74044e-07,164.521
54,2.8,3.5,2.57,0.0115862,0.0110645,30,31,27,103054384,0.0078125,1.06205e-06,161.017
55,0.98,3.11,1.46,0.0115862,0.00658203,29,31,27,102786044,0.0078125,1.06348e-06,161.012
56,0.81,0.9,0.23,0.0115862,0.00914307,28,28,24,54397151,0.0276251,4.67637e-05,144.58
57,2.52,4.22,4.26,0.0115862,0.0105347,30,30,28,115856288,0.00390625,2.72675e-07,166.922
58,3.47,3.02,0.05,0.0115862,0.0096228,29,29,22,37300904,0.102705,0.000311692,136.342
59,2.02,0.96,3.77,0.0115862,0.00854736,29,29,28,113734460,0.00390625,2.92684e-07,166.615
60,2.86,5.03,5.19,0.0115862,0.0115393,30,31,28,117709776,0.00390625,2.68018e-07,166.997
61,0.79,2.7,2.91,0.0115862,0.00719482,28,30,28,115319608,0.00390625,2.75243e-07,166.882
62,2.68,1.49,0.83,0.0115862,0.00810303,30,29,26,84692016,0.0078125,4.13066e-06,155.119
63,3.06,5.51,0.55,0.0115862,0.0101257,30,31,25,73972375,0.0142806,1.54963e-05,149.377
64,3.01,2.23,1.43,0.0115862,0.00685852,30,30,27,101200896,0.0078125,1.06661e-06,160.999
65,3.6,1.48,4.79,0.0115862,0.0110205,30,29,28,114002800,0.00390625,2.9158e-07,166.631
66,0.77,0.77,4.9,0.0115862,0.0112622,28,28,28,111612632,0.0117188,3.69202e-07,165.606
67,3.2,4.45,3.25,0.0115862,0.00762939,30,31,28,117709776,0.00390625,2.68018e-07,166.997
68,3.49,5.18,1.46,0.0115862,0.00707428,31,31,27,103322724,0.0078125,1.0623e-06,161.016
69,3.27,5.06,2.94,0.0115862,0.00717712,30,31,28,117709776,0.00390625,2.68018e-07,166.997
70,0.19,2.73,5.53,0.0115862,0.00691895,26,30,29,129438320,0.00390625,1.24751e-07,170.318
71,3.79,4.35,2.02,0.0115862,0.00918396,30,31,27,103054384,0.0078125,1.06205e-06,161.017
72,1.54,1.84,2.06,0.0115862,0.0100317,29,29,27,99079068,0.0078125,1.08713e-06,160.916
73,3.17,0.9,1.03,0.0115862,0.00999817,30,28,26,82838528,0.0117188,4.20608e-06,155.04
74,5.15,3.88,1.64,0.0115862,0.00751068,31,31,27,103322724,0.0078125,1.0623e-06,161.016
75,3.51,3.19,4.82,0.0115862,0.0111859,30,30,28,115856288,0.00390625,2.72675e-07,166.922
76,1.18,0.65,2.1,0.0115862,0.00976074,28,28,27,96957240,0.0117188,1.16262e-06,160.624
77,5.13,5.35,2.08,0.0115862,0.00958771,31,31,27,103322724,0.0078125,1.0623e-06,161.016
