,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,3.05,0.54,3.28,9e-06,419.84,32,32,32,4365,0.920754,0.0631046,11.2823
1,2.6,2.58,0.74,9e-06,94.72,32,32,32,4365,0.920754,0.0631046,11.2823
2,5.22,2.46,4.02,9e-06,514.56,32,32,32,4365,0.920754,0.0631046,11.2823
3,4.82,2.62,3.09,9e-06,395.52,32,32,32,4365,0.920754,0.0631046,11.2823
4,1.81,3.96,3.59,9e-06,459.52,32,32,32,4365,0.920754,0.0631046,11.2823
5,2.12,2.38,0.2,9e-06,25.6,32,32,32,4365,0.920754,0.0631046,11.2823
6,2.35,0.66,3.75,9e-06,480,32,32,32,4365,0.920754,0.0631046,11.2823
7,1.7,0.08,0.79,9e-06,101.12,32,32,32,4365,0.920754,0.0631046,11.2823
8,5.18,4.98,3.05,9e-06,390.4,32,32,32,4365,0.920754,0.0631046,11.2823
9,5.21,4.88,2.13,9e-06,272.64,32,32,32,4365,0.920754,0.0631046,11.2823
10,1.92,3.19,2.62,9e-06,335.36,32,32,32,4365,0.920754,0.0631046,11.2823
11,1.66,2.44,1.01,9e-06,129.28,32,32,32,4365,0.920754,0.0631046,11.2823
12,5.27,2.71,4.37,9e-06,559.36,32,32,32,4365,0.920754,0.0631046,11.2823
13,4.15,4.1,2.84,9e-06,363.52,32,32,32,4365,0.920754,0.0631046,11.2823
14,0.19,2.73,5.53,9e-06,707.84,32,32,32,4365,0.920754,0.0631046,11.2823
15,5.35,1.15,4.08,9e-06,522.24,32,32,32,4365,0.920754,0.0631046,11.2823
16,0.77,0.77,4.9,9e-06,627.2,32,32,32,4365,0.920754,0.0631046,11.2823
17,1.52,1.9,0.6,9e-06,76.8,32,32,32,4365,0.920754,0.0631046,11.2823
18,4.23,4.07,1.2,9e-06,153.6,32,32,32,4365,0.920754,0.0631046,11.2823
19,0.18,2.75,0.48,9e-06,61.44,32,32,32,4365,0.920754,0.0631046,11.2823
20,3.27,5.06,2.94,9e-06,376.32,32,32,32,4365,0.920754,0.0631046,11.2823
21,4.58,2.31,2.06,9e-06,263.68,32,32,32,4365,0.920754,0.0631046,11.2823
22,0.99,2.9,2.65,9e-06,339.2,32,32,32,4365,0.920754,0.0631046,11.2823
23,4.76,0.99,1,9e-06,128,32,32,32,4365,0.920754,0.0631046,11.2823
24,2.8,3.5,2.57,9e-06,328.96,32,32,32,4365,0.920754,0.0631046,11.2823
25,1.06,2.22,1.48,9e-06,189.44,32,32,32,4365,0.920754,0.0631046,11.2823
26,1.5,0.03,1.72,9e-06,220.16,32,32,32,4365,0.920754,0.0631046,11.2823
