,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,3.76,1.36,3.21,0.000101,7.33185e-05,27,23,23,31100335,2.19345e-05,1.13636e-11,129.576
1,3.71,5.52,1.4,0.000101,6.55508e-05,28,25,22,30488881,3.33786e-05,2.24129e-11,126.626
2,2.21,2.52,4.76,0.000101,9.60732e-05,26,24,23,31369911,1.85966e-05,7.58615e-12,131.331
3,0.66,0.61,3.72,0.000101,7.78961e-05,25,22,23,30676480,3.26633e-05,2.86259e-11,125.563
4,5.21,4.88,2.13,0.000101,8.85868e-05,27,25,22,30437281,3.33786e-05,2.24122e-11,126.626
5,3.41,3,0.7,0.000101,0.000100145,27,25,20,27832929,0.000124931,3.44162e-10,114.763
6,1.74,2.16,2.27,0.000101,8.90732e-05,26,24,22,30063637,3.50475e-05,2.38897e-11,126.349
7,2.7,2.41,4.26,0.000101,8.59642e-05,27,24,23,31421511,1.81198e-05,7.23726e-12,131.535
8,2.36,5.54,0.76,0.000101,6.97708e-05,27,25,21,29133687,6.05583e-05,8.62212e-11,120.775
9,5.4,2.71,1.7,0.000101,7.51305e-05,28,24,22,30166837,3.50475e-05,2.35178e-11,126.417
10,1.52,1.9,0.6,0.000101,9.06372e-05,26,24,20,27459285,0.000125408,3.45686e-10,114.744
11,2.89,0.3,4.26,0.000101,8.60691e-05,27,21,23,30460071,5.29289e-05,9.45291e-11,120.375
12,2.63,2.57,3.2,0.000101,7.09438e-05,27,24,23,31421511,1.81198e-05,7.23726e-12,131.535
13,5.18,4.98,3.05,0.000101,6.80065e-05,28,25,23,31795155,1.62125e-05,6.15448e-12,132.239
14,1.59,3.76,0.84,0.000101,6.86455e-05,26,25,21,29082087,6.1512e-05,8.65855e-11,120.757
15,1.92,3.19,2.62,0.000101,9.5787e-05,26,25,22,30385681,3.24249e-05,2.28308e-11,126.546
16,1.5,3.81,2.55,0.000101,9.52148e-05,26,25,22,30385681,3.24249e-05,2.28308e-11,126.546
17,2.12,2.38,0.2,0.000101,6.90079e-05,27,24,19,26211496,0.000249386,1.36969e-09,108.765
18,1.27,4.94,4.58,0.000101,9.35745e-05,25,25,23,31640355,1.62125e-05,6.69935e-12,131.871
19,3.05,0.76,2.9,0.000101,5.87559e-05,27,23,23,31100335,2.19345e-05,1.13636e-11,129.576
20,4.58,2.31,2.06,0.000101,8.48579e-05,27,24,22,30115237,3.50475e-05,2.35171e-11,126.417
21,1.66,2.44,1.01,0.000101,8.34274e-05,26,24,21,28760043,6.1512e-05,8.76403e-11,120.704
22,2.22,5.3,4.49,0.000101,9.29642e-05,26,25,23,31691955,1.66893e-05,6.56012e-12,131.962
23,5.19,3.27,3.45,0.000101,8.00657e-05,28,24,23,31473111,1.81198e-05,7.23698e-12,131.535
24,4.17,3.38,2.62,0.000101,9.68266e-05,27,25,22,30437281,3.33786e-05,2.24122e-11,126.626
25,0.18,2.75,0.48,0.000101,8.23212e-05,23,24,20,27306769,0.000132084,3.56605e-10,114.609
26,3.05,0.54,3.28,0.000101,6.9437e-05,27,22,23,30779680,3.3617e-05,2.81266e-11,125.64
27,0.62,2.05,1.77,0.000101,7.20215e-05,25,24,22,30012037,3.69549e-05,2.3993e-11,126.33
28,0.89,2.98,2.87,0.000101,5.85556e-05,25,25,23,31640355,1.62125e-05,6.69935e-12,131.871
29,0.99,2.9,2.65,0.000101,9.38225e-05,26,25,22,30385681,3.24249e-05,2.28308e-11,126.546
30,4.76,0.99,1,0.000101,8.06808e-05,27,23,21,28490467,6.4373e-05,9.14783e-11,120.518
