,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,1.7,0.08,0.79,1.0152,0.976563,13,6,7,4639424,2.23334,0.107927,29.7998
1,5.19,3.27,3.45,1.0152,0.655898,15,11,10,9856615,0.153778,0.000445339,53.6441
2,3.76,1.36,3.21,1.0152,1.00188,14,10,9,8233486,0.311397,0.00176349,47.6673
3,4.58,2.31,2.06,1.0152,0.695156,14,11,9,8543685,0.2781,0.00149825,48.3752
4,3.71,5.52,1.4,1.0152,0.901484,14,12,8,7634342,0.54303,0.00566134,42.6019
5,2.36,5.54,0.76,1.0152,0.97,13,12,7,6485407,0.968968,0.0204092,37.0328
6,4.76,0.99,1,1.0152,0.784688,14,9,8,6703176,0.59912,0.00705038,41.6489
7,2.52,3.64,5.3,1.0152,0.929375,13,11,10,9761391,0.161591,0.000457144,53.5305
8,3.05,0.76,2.9,1.0152,0.962656,13,9,9,7876750,0.377427,0.00283234,45.6096
9,0.43,2.59,2.36,1.0152,0.77875,11,11,9,8402621,0.274193,0.00181509,47.5421
10,0.81,2.72,4.54,1.0152,0.762812,12,11,10,9714508,0.147553,0.000494265,53.1915
11,4.82,2.62,3.09,1.0152,0.973906,14,11,9,8543685,0.2781,0.00149825,48.3752
12,1.5,0.03,1.72,1.0152,1.00344,13,5,8,5451520,3.33921,0.34498,24.7531
13,1.26,0.02,1.31,1.0152,0.854375,12,4,8,5155634,6.73335,1.16222,19.4782
14,5.27,2.71,4.37,1.0152,0.736211,15,11,10,9856615,0.153778,0.000445339,53.6441
15,0.62,2.05,1.77,1.0152,0.59,12,11,9,8449190,0.285912,0.00154069,48.2539
16,5.22,2.46,4.02,1.0152,0.676641,15,11,10,9856615,0.153778,0.000445339,53.6441
17,0.99,2.9,2.65,1.0152,0.874688,12,11,9,8449190,0.285912,0.00154069,48.2539
18,1.54,1.12,3.2,1.0152,0.964063,13,10,9,8185874,0.309444,0.00177249,47.6452
19,2.4,1.83,3.28,1.0152,0.953125,14,11,9,8543685,0.2781,0.00149825,48.3752
20,2.35,0.66,3.75,1.0152,0.652109,14,9,10,9189680,0.273089,0.00177397,47.6416
21,2.63,2.57,3.2,1.0152,1.00172,13,11,9,8496073,0.276146,0.00150726,48.3492
22,2.22,5.3,4.49,1.0152,0.761562,13,12,10,10073234,0.137198,0.000390295,54.2171
23,0.18,2.75,0.48,1.0152,0.674375,10,11,7,6033712,1.03624,0.0213371,36.8397
24,5.18,4.98,3.05,1.0152,0.958594,14,12,9,8855528,0.267536,0.00143084,48.5752
25,5.21,4.88,2.13,1.0152,0.725703,14,12,9,8855528,0.267536,0.00143084,48.5752
26,0.89,2.98,2.87,1.0152,0.931562,12,11,9,8449190,0.285912,0.00154069,48.2539
27,2.89,0.3,4.26,1.0152,0.705078,14,8,10,8881615,0.408478,0.00597061,42.3709
28,1.27,4.94,4.58,1.0152,0.766562,12,12,10,10026351,0.135629,0.000427428,53.8224
29,4.17,3.38,2.62,1.0152,0.898828,14,11,9,8543685,0.2781,0.00149825,48.3752
30,3.41,3,0.7,1.0152,0.940781,13,11,7,6173564,0.989365,0.0204774,37.0183
31,0.66,0.61,3.72,1.0152,0.638125,12,9,10,9095185,0.269183,0.00181835,47.5343
32,2.42,0.51,4.11,1.0152,0.679063,13,9,10,9142068,0.276995,0.00178118,47.624
33,1.81,3.96,3.59,1.0152,0.600781,13,12,10,10073234,0.137198,0.000390295,54.2171
34,2.6,4.96,5.16,1.0152,0.995625,13,11,10,9761391,0.161591,0.000457144,53.5305
35,1.59,3.76,0.84,1.0152,0.679844,13,11,8,7274887,0.53868,0.00573284,42.5474
36,5.4,2.71,1.7,1.0152,0.615469,15,11,9,8591297,0.276146,0.00149458,48.3859
37,1.74,2.16,2.27,1.0152,0.864688,13,10,9,8185874,0.309444,0.00177249,47.6452
38,2.7,2.41,4.26,1.0152,0.704219,14,11,10,9809003,0.153778,0.00044991,53.5998
39,5.08,3.34,2.71,1.0152,0.925938,14,11,9,8543685,0.2781,0.00149825,48.3752
40,2.6,2.58,0.74,1.0152,0.941875,13,11,7,6173564,0.989365,0.0204774,37.0183
41,1.54,1.84,2.06,1.0152,0.769062,13,10,9,8185874,0.309444,0.00177249,47.6452
42,2.21,2.52,4.76,1.0152,0.787031,13,11,10,9761391,0.161591,0.000457144,53.5305
43,0.79,2.7,2.91,1.0152,0.945625,11,11,9,8402621,0.274193,0.00181509,47.5421
44,1.92,3.19,2.62,1.0152,0.884375,13,11,9,8496073,0.276146,0.00150726,48.3492
45,3.05,0.54,3.28,1.0152,0.978828,14,9,9,7924362,0.38524,0.00282335,45.6234
46,3.19,3.27,0.14,1.0152,0.814219,13,11,5,4242839,3.67136,0.354385,24.6363
47,1.97,2.4,0.52,1.0152,0.850781,13,10,7,5863365,1.01751,0.0207411,36.9628
48,5.26,0.38,1.83,1.0152,0.668047,15,8,9,7663909,0.50772,0.0070116,41.6729
49,1.06,2.22,1.48,1.0152,0.911875,12,11,8,7228004,0.530868,0.00577399,42.5163
50,5.25,2.67,1.09,1.0152,0.752891,14,11,8,7322499,0.530868,0.00572755,42.5514
51,3.27,5.06,2.94,1.0152,0.918672,14,12,9,8855528,0.267536,0.00143084,48.5752
52,0.98,3.11,1.46,1.0152,0.955,12,11,8,7228004,0.530868,0.00577399,42.5163
53,3.07,3.28,1.68,1.0152,0.648984,14,11,9,8543685,0.2781,0.00149825,48.3752
54,4.57,2.39,4.21,1.0152,0.711328,14,11,10,9809003,0.153778,0.00044991,53.5998
