c0,c1,Requested_tolerance,estimated_error,l0,l1,Total_retrieve_size,MaxErr,MSE,PSNR
1.23,5.34,1.0152,0.975,9,10,8970750,0.289651,0.00710427,41.6159
2.05,5.42,1.0152,0.93375,10,10,9325035,0.168592,0.00136684,48.7739
2.05,2.39,1.0152,0.85375,10,9,8059717,0.326594,0.00240575,46.3186
3.07,1.24,1.0152,1.00375,10,8,6838531,0.52741,0.00665487,41.8997
4.88,4.36,1.0152,0.85,11,10,9679894,0.164651,0.000719574,51.5603
3.38,3.95,1.0152,0.705,11,10,9679894,0.164651,0.000719574,51.5603
4.82,0.57,1.0152,0.87125,11,7,6092067,0.993276,0.0207483,36.9612
2.35,0.51,1.0152,0.80375,10,7,5737208,1.05578,0.0213584,36.8354
1.8,1.5,1.0152,0.975,10,8,6838531,0.52741,0.00665487,41.8997
3.64,1.12,1.0152,0.7875,11,8,7193390,0.567064,0.00599177,42.3555
2.16,3.29,1.0152,0.9575,11,9,8414576,0.264094,0.00177291,47.6442
2.64,1.48,1.0152,0.905,11,8,7193390,0.567064,0.00599177,42.3555
0.25,3.54,1.0152,1.01,8,9,7351506,0.546387,0.0186286,37.4293
1.33,2.37,1.0152,0.925,9,9,7705432,0.328673,0.00817185,41.0079
2.35,2.54,1.0152,0.92875,10,9,8059717,0.326594,0.00240575,46.3186
0.57,0.74,1.0152,0.8825,9,7,5382923,1.05578,0.027168,35.7905
3.64,0.63,1.0152,0.8575,11,7,6092067,0.993276,0.0207483,36.9612
1.27,5.38,1.0152,0.99,9,10,8970750,0.289651,0.00710427,41.6159
1.78,1.34,1.0152,0.8925,10,8,6838531,0.52741,0.00665487,41.8997
2.79,2.53,1.0152,0.98125,10,9,8059717,0.326594,0.00240575,46.3186
3.22,1.65,1.0152,0.61375,11,9,8414576,0.264094,0.00177291,47.6442
4.19,4.27,1.0152,0.795625,11,10,9679894,0.164651,0.000719574,51.5603
1.18,0.44,1.0152,0.735,9,7,5382923,1.05578,0.027168,35.7905
2.08,5.45,1.0152,0.94125,10,10,9325035,0.168592,0.00136684,48.7739
0.01,3.16,1.0152,0.95,3,9,5859288,10.777,16.1073,8.06082
5.2,3.85,1.0152,0.64375,12,10,10035252,0.133401,0.000410897,53.9937
3.89,5.25,1.0152,0.899375,11,10,9679894,0.164651,0.000719574,51.5603
1.12,3.97,1.0152,0.63625,10,10,9325035,0.168592,0.00136684,48.7739
4.54,0.43,1.0152,0.71375,11,7,6092067,0.993276,0.0207483,36.9612
1.19,1.07,1.0152,0.8325,9,8,6484246,0.65241,0.0123607,39.2106
0.16,2.06,1.0152,0.675,7,9,7000311,0.817188,0.0595302,32.3837
5.11,2.08,1.0152,0.679687,12,9,8769934,0.269401,0.00145703,48.4964
0.86,2.97,1.0152,0.9575,9,9,7705432,0.328673,0.00817185,41.0079
1.22,3.9,1.0152,0.64,10,10,9325035,0.168592,0.00136684,48.7739
1.81,3.96,1.0152,0.72125,10,10,9325035,0.168592,0.00136684,48.7739
0.69,0.83,1.0152,1.0025,9,7,5382923,1.05578,0.027168,35.7905
2.49,3.02,1.0152,0.910625,11,9,8414576,0.264094,0.00177291,47.6442
4.12,2.43,1.0152,0.865,11,9,8414576,0.264094,0.00177291,47.6442
3.57,5.08,1.0152,0.858125,11,10,9679894,0.164651,0.000719574,51.5603
1.61,3.83,1.0152,0.68,10,10,9325035,0.168592,0.00136684,48.7739
4.74,5.54,1.0152,0.98875,11,10,9679894,0.164651,0.000719574,51.5603
2.04,3.56,1.0152,0.5725,11,10,9679894,0.164651,0.000719574,51.5603
4.4,4.55,1.0152,0.84375,11,10,9679894,0.164651,0.000719574,51.5603
1.39,0.63,1.0152,0.9775,9,7,5382923,1.05578,0.027168,35.7905
1.64,0.86,1.0152,0.635,10,8,6838531,0.52741,0.00665487,41.8997
3.8,3.38,1.0152,0.96375,12,9,8769934,0.269401,0.00145703,48.4964
2.78,4.04,1.0152,0.67875,11,10,9679894,0.164651,0.000719574,51.5603
0.1,3.75,1.0152,0.66875,6,10,7928962,1.3967,0.344659,24.7572
2.07,4.39,1.0152,0.8075,10,10,9325035,0.168592,0.00136684,48.7739
0.33,2.85,1.0152,0.8775,8,9,7351506,0.546387,0.0186286,37.4293
5.16,4.9,1.0152,0.935,11,10,9679894,0.164651,0.000719574,51.5603
5.5,2.01,1.0152,0.674375,12,9,8769934,0.269401,0.00145703,48.4964
5.47,4.04,1.0152,0.675937,12,10,10035252,0.133401,0.000410897,53.9937
1.09,4.37,1.0152,0.81875,9,10,8970750,0.289651,0.00710427,41.6159
0.58,4.46,1.0152,0.8475,8,10,8616824,0.409134,0.0176195,37.6711
0.42,4.35,1.0152,0.75375,8,10,8616824,0.409134,0.0176195,37.6711
0.33,3.59,1.0152,0.61375,8,10,8616824,0.409134,0.0176195,37.6711
0.18,0.4,1.0152,0.98,7,6,3680109,2.54036,0.125122,29.1577
2.01,2.64,1.0152,0.91125,10,9,8059717,0.326594,0.00240575,46.3186
3.99,4.82,1.0152,0.851875,11,10,9679894,0.164651,0.000719574,51.5603
2.99,2.2,1.0152,0.736875,11,9,8414576,0.264094,0.00177291,47.6442
3.58,0.46,1.0152,0.68375,11,7,6092067,0.993276,0.0207483,36.9612
0.86,0.69,1.0152,0.905,9,7,5382923,1.05578,0.027168,35.7905
4.21,0.15,1.0152,0.863125,11,5,4161342,3.66193,0.354681,24.6327
3.3,0.14,1.0152,0.9725,10,5,3806483,3.66193,0.355178,24.6266
5.53,5.36,1.0152,0.842813,12,10,10035252,0.133401,0.000410897,53.9937
3.61,0.54,1.0152,0.765625,11,7,6092067,0.993276,0.0207483,36.9612
0.17,3.71,1.0152,0.63375,7,10,8265629,0.789651,0.0584071,32.4664
5.09,2.32,1.0152,0.898125,11,9,8414576,0.264094,0.00177291,47.6442
1.61,3.2,1.0152,1.00125,10,9,8059717,0.326594,0.00240575,46.3186
4.05,4.74,1.0152,0.845625,11,10,9679894,0.164651,0.000719574,51.5603
2.5,1.81,1.0152,0.60875,11,9,8414576,0.264094,0.00177291,47.6442
4.27,1.58,1.0152,0.923438,12,8,7548748,0.535814,0.00569089,42.5793
4.79,2.51,1.0152,0.926875,11,9,8414576,0.264094,0.00177291,47.6442
4.75,2.72,1.0152,0.976875,11,9,8414576,0.264094,0.00177291,47.6442
2.36,0.05,1.0152,0.695,10,4,2911967,6.84418,1.03412,19.9854
2.96,0.73,1.0152,0.915,11,7,6092067,0.993276,0.0207483,36.9612
3.63,3.07,1.0152,0.994375,11,9,8414576,0.264094,0.00177291,47.6442
5.18,3.48,1.0152,0.596875,12,10,10035252,0.133401,0.000410897,53.9937
2.93,3.88,1.0152,0.668125,11,10,9679894,0.164651,0.000719574,51.5603
5.29,2.31,1.0152,0.908125,11,9,8414576,0.264094,0.00177291,47.6442
3.87,3.91,1.0152,0.730625,11,10,9679894,0.164651,0.000719574,51.5603
2.57,3.65,1.0152,0.616875,11,10,9679894,0.164651,0.000719574,51.5603
3.35,3.92,1.0152,0.699375,11,10,9679894,0.164651,0.000719574,51.5603
2.86,1.95,1.0152,0.66625,11,9,8414576,0.264094,0.00177291,47.6442
0.52,5.15,1.0152,0.90375,8,10,8616824,0.409134,0.0176195,37.6711
1.95,2.95,1.0152,0.98125,10,9,8059717,0.326594,0.00240575,46.3186
3.35,3.28,1.0152,0.619375,11,10,9679894,0.164651,0.000719574,51.5603
3.95,2.46,1.0152,0.861875,11,9,8414576,0.264094,0.00177291,47.6442
1.32,0.62,1.0152,0.95,9,7,5382923,1.05578,0.027168,35.7905
1.51,1.09,1.0152,0.73375,10,8,6838531,0.52741,0.00665487,41.8997
1.03,4.34,1.0152,0.8,9,10,8970750,0.289651,0.00710427,41.6159
1.24,0.56,1.0152,0.87,9,7,5382923,1.05578,0.027168,35.7905
2.14,4.87,1.0152,0.87625,10,10,9325035,0.168592,0.00136684,48.7739
3.21,4.09,1.0152,0.711875,11,10,9679894,0.164651,0.000719574,51.5603
1,0.75,1.0152,1,9,7,5382923,1.05578,0.027168,35.7905
1.71,4.09,1.0152,0.725,10,10,9325035,0.168592,0.00136684,48.7739
3.24,0.36,1.0152,0.9225,11,6,5094374,2.04954,0.0676599,31.8277
5.49,4.95,1.0152,0.961875,11,10,9679894,0.164651,0.000719574,51.5603
2.77,4.38,1.0152,0.720625,11,10,9679894,0.164651,0.000719574,51.5603
5.14,0.64,1.0152,0.96125,11,7,6092067,0.993276,0.0207483,36.9612
0.71,2.37,1.0152,0.77,9,9,7705432,0.328673,0.00817185,41.0079
2.38,4.37,1.0152,0.84375,10,10,9325035,0.168592,0.00136684,48.7739
3.14,0.85,1.0152,0.62125,11,8,7193390,0.567064,0.00599177,42.3555
4.46,1.52,1.0152,0.899375,12,8,7548748,0.535814,0.00569089,42.5793
3.95,3.3,1.0152,0.948437,12,9,8769934,0.269401,0.00145703,48.4964
5.07,0.96,1.0152,0.638437,12,8,7548748,0.535814,0.00569089,42.5793
1.83,1.94,1.0152,0.71375,10,9,8059717,0.326594,0.00240575,46.3186
1.2,2.43,1.0152,0.9075,9,9,7705432,0.328673,0.00817185,41.0079
1,0.96,1.0152,0.73,9,8,6484246,0.65241,0.0123607,39.2106
1.27,1.96,1.0152,0.64875,10,9,8059717,0.326594,0.00240575,46.3186
5.01,5.45,1.0152,0.994375,11,10,9679894,0.164651,0.000719574,51.5603
3.9,0.55,1.0152,0.79375,11,7,6092067,0.993276,0.0207483,36.9612
3.47,4.7,1.0152,0.804375,11,10,9679894,0.164651,0.000719574,51.5603
2.08,2.38,1.0152,0.855,10,9,8059717,0.326594,0.00240575,46.3186
2.56,3.33,1.0152,0.9925,11,9,8414576,0.264094,0.00177291,47.6442
0.94,3.23,1.0152,0.925,10,9,8059717,0.326594,0.00240575,46.3186
0.39,0.54,1.0152,0.735,8,7,5028997,1.22178,0.0375339,34.3868
2.72,5.49,1.0152,0.85625,11,10,9679894,0.164651,0.000719574,51.5603
