,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,4.17,3.38,2.62,13.7789,8.34,1,0,0,38,13778.9,72.6143,64.1741
1,1.74,2.16,2.27,13.7789,3.48,1,0,0,38,13778.9,72.6143,64.1741
2,4.76,0.99,1,13.7789,9.52,1,0,0,38,13778.9,72.6143,64.1741
3,2.63,2.57,3.2,13.7789,5.26,1,0,0,38,13778.9,72.6143,64.1741
4,0.89,2.98,2.87,13.7789,1.78,1,0,0,38,13778.9,72.6143,64.1741
5,2.89,0.3,4.26,13.7789,5.78,1,0,0,38,13778.9,72.6143,64.1741
6,2.6,2.58,0.74,13.7789,5.2,1,0,0,38,13778.9,72.6143,64.1741
7,4.15,4.1,2.84,13.7789,8.3,1,0,0,38,13778.9,72.6143,64.1741
8,0.43,2.59,2.36,13.7789,0.86,1,0,0,38,13778.9,72.6143,64.1741
9,2.52,3.64,5.3,13.7789,5.04,1,0,0,38,13778.9,72.6143,64.1741
10,3.71,5.52,1.4,13.7789,7.42,1,0,0,38,13778.9,72.6143,64.1741
11,3.76,1.36,3.21,13.7789,7.52,1,0,0,38,13778.9,72.6143,64.1741
12,0.62,2.05,1.77,13.7789,1.24,1,0,0,38,13778.9,72.6143,64.1741
13,2.7,2.41,4.26,13.7789,5.4,1,0,0,38,13778.9,72.6143,64.1741
14,1.52,1.9,0.6,13.7789,3.04,1,0,0,38,13778.9,72.6143,64.1741
15,4.58,2.31,2.06,13.7789,9.16,1,0,0,38,13778.9,72.6143,64.1741
16,0.18,2.75,0.48,13.7789,0.36,1,0,0,38,13778.9,72.6143,64.1741
17,3.05,0.76,2.9,13.7789,6.1,1,0,0,38,13778.9,72.6143,64.1741
18,2.22,5.3,4.49,13.7789,4.44,1,0,0,38,13778.9,72.6143,64.1741
19,1.81,3.96,3.59,13.7789,3.62,1,0,0,38,13778.9,72.6143,64.1741
20,1.27,4.94,4.58,13.7789,2.54,1,0,0,38,13778.9,72.6143,64.1741
21,1.06,2.22,1.48,13.7789,2.12,1,0,0,38,13778.9,72.6143,64.1741
22,1.54,1.12,3.2,13.7789,3.08,1,0,0,38,13778.9,72.6143,64.1741
23,2.12,2.38,0.2,13.7789,4.24,1,0,0,38,13778.9,72.6143,64.1741
24,2.42,0.51,4.11,13.7789,4.84,1,0,0,38,13778.9,72.6143,64.1741
25,0.66,0.61,3.72,13.7789,1.32,1,0,0,38,13778.9,72.6143,64.1741
26,1.66,2.44,1.01,13.7789,3.32,1,0,0,38,13778.9,72.6143,64.1741
27,2.6,4.96,5.16,13.7789,5.2,1,0,0,38,13778.9,72.6143,64.1741
28,1.92,3.19,2.62,13.7789,3.84,1,0,0,38,13778.9,72.6143,64.1741
29,1.15,0.9,2.98,13.7789,2.3,1,0,0,38,13778.9,72.6143,64.1741
30,1.26,0.02,1.31,13.7789,2.52,1,0,0,38,13778.9,72.6143,64.1741
31,5.4,2.71,1.7,13.7789,10.8,1,0,0,38,13778.9,72.6143,64.1741
32,1.5,0.03,1.72,13.7789,3,1,0,0,38,13778.9,72.6143,64.1741
33,0.99,2.9,2.65,13.7789,1.98,1,0,0,38,13778.9,72.6143,64.1741
34,0.81,2.72,4.54,13.7789,1.62,1,0,0,38,13778.9,72.6143,64.1741
35,2.8,3.5,2.57,13.7789,5.6,1,0,0,38,13778.9,72.6143,64.1741
36,3.05,0.54,3.28,13.7789,6.1,1,0,0,38,13778.9,72.6143,64.1741
37,2.21,2.52,4.76,13.7789,4.42,1,0,0,38,13778.9,72.6143,64.1741
38,3.9,3.54,5.41,13.7789,7.8,1,0,0,38,13778.9,72.6143,64.1741
39,2.35,0.66,3.75,13.7789,4.7,1,0,0,38,13778.9,72.6143,64.1741
40,3.41,3,0.7,13.7789,6.82,1,0,0,38,13778.9,72.6143,64.1741
41,1.59,3.76,0.84,13.7789,3.18,1,0,0,38,13778.9,72.6143,64.1741
42,2.4,1.83,3.28,13.7789,4.8,1,0,0,38,13778.9,72.6143,64.1741
43,5.21,4.88,2.13,13.7789,10.42,1,0,0,38,13778.9,72.6143,64.1741
44,5.18,4.98,3.05,13.7789,10.36,1,0,0,38,13778.9,72.6143,64.1741
45,3.47,3.02,0.05,13.7789,6.94,1,0,0,38,13778.9,72.6143,64.1741
46,4.84,2.16,2.67,13.7789,9.68,1,0,0,38,13778.9,72.6143,64.1741
47,4.82,2.62,3.09,13.7789,9.64,1,0,0,38,13778.9,72.6143,64.1741
48,2.36,5.54,0.76,13.7789,4.72,1,0,0,38,13778.9,72.6143,64.1741
49,5.27,2.71,4.37,13.7789,10.54,1,0,0,38,13778.9,72.6143,64.1741
50,3.76,5.4,4.98,13.7789,7.52,1,0,0,38,13778.9,72.6143,64.1741
51,1.5,3.81,2.55,13.7789,3,1,0,0,38,13778.9,72.6143,64.1741
52,3.01,2.23,1.43,13.7789,6.02,1,0,0,38,13778.9,72.6143,64.1741
53,0.81,0.9,0.23,13.7789,1.62,1,0,0,38,13778.9,72.6143,64.1741
54,2.08,2.24,0.44,13.7789,4.16,1,0,0,38,13778.9,72.6143,64.1741
55,0.51,2.27,2.84,13.7789,1.02,1,0,0,38,13778.9,72.6143,64.1741
56,5.22,2.46,4.02,13.7789,10.44,1,0,0,38,13778.9,72.6143,64.1741
57,5.35,1.15,4.08,13.7789,10.7,1,0,0,38,13778.9,72.6143,64.1741
58,2.68,1.49,0.83,13.7789,5.36,1,0,0,38,13778.9,72.6143,64.1741
59,5.13,5.35,2.08,13.7789,10.26,1,0,0,38,13778.9,72.6143,64.1741
60,1.84,2.76,3.61,13.7789,3.68,1,0,0,38,13778.9,72.6143,64.1741
61,4.57,2.39,4.21,13.7789,9.14,1,0,0,38,13778.9,72.6143,64.1741
62,5.25,2.67,1.09,13.7789,10.5,1,0,0,38,13778.9,72.6143,64.1741
63,1.3,1.8,4.22,13.7789,2.6,1,0,0,38,13778.9,72.6143,64.1741
64,1.15,1.96,3.65,13.7789,2.3,1,0,0,38,13778.9,72.6143,64.1741
65,2.52,4.22,4.26,13.7789,5.04,1,0,0,38,13778.9,72.6143,64.1741
66,1.54,1.84,2.06,13.7789,3.08,1,0,0,38,13778.9,72.6143,64.1741
67,1.19,5,2.53,13.7789,2.38,1,0,0,38,13778.9,72.6143,64.1741
68,3,0.36,2.36,13.7789,6,1,0,0,38,13778.9,72.6143,64.1741
