c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
1.59,3.76,0.84,1377.89,1114.88,7,9,6,95255,380.52,16.0048,70.7418
1.74,2.16,2.27,1377.89,1356.8,7,8,7,91087,346.25,15.5304,70.8725
3.05,0.54,3.28,1377.89,1311.36,8,7,7,93208,457.513,16.5084,70.6073
2.42,0.51,4.11,1377.89,1337.6,8,8,7,109909,287.267,13.2572,71.5598
4.76,0.99,1,1377.89,1323.52,8,7,6,65157,522.621,18.6634,70.0744
3.41,3,0.7,1377.89,1178.88,7,9,6,95255,380.52,16.0048,70.7418
2.63,2.57,3.2,1377.89,1316.48,8,9,7,142128,216.865,11.6848,72.1081
1.52,1.9,0.6,1377.89,1295.36,7,8,5,42882,736.487,18.886,70.0229
2.52,3.64,5.3,1377.89,1305.6,8,9,8,246221,150.868,10.1725,72.71
0.89,2.98,2.87,1377.89,1230.08,7,9,7,123306,263.87,13.926,71.3461
4.58,2.31,2.06,1377.89,1116.16,8,9,7,142128,216.865,11.6848,72.1081
1.5,0.03,1.72,1377.89,1134.08,7,5,6,38690,1465.46,27.8933,68.3293
1.06,2.22,1.48,1377.89,1082.88,7,8,7,91087,346.25,15.5304,70.8725
4.57,2.39,4.21,1377.89,991.04,9,9,8,268808,156.755,8.57063,73.4542
2.22,5.3,4.49,1377.89,1056,8,10,8,333720,129.075,8.65054,73.4139
3.71,5.52,1.4,1377.89,1302.4,8,9,7,142128,216.865,11.6848,72.1081
1.54,1.12,3.2,1377.89,1303.04,7,8,7,91087,346.25,15.5304,70.8725
0.99,2.9,2.65,1377.89,1176.32,7,9,7,123306,263.87,13.926,71.3461
1.5,3.81,2.55,1377.89,1332.48,7,9,7,123306,263.87,13.926,71.3461
1.27,4.94,4.58,1377.89,1299.84,8,9,8,246221,150.868,10.1725,72.71
1.81,3.96,3.59,1377.89,1082.24,8,9,8,246221,150.868,10.1725,72.71
4.15,4.1,2.84,1377.89,1021.12,9,9,8,268808,156.755,8.57063,73.4542
5.4,2.71,1.7,1377.89,1127.68,8,9,7,142128,216.865,11.6848,72.1081
1.66,2.44,1.01,1377.89,1354.24,7,8,6,63036,427.457,17.6287,70.3221
5.19,3.27,3.45,1377.89,1026.24,9,9,8,268808,156.755,8.57063,73.4542
4.17,3.38,2.62,1377.89,1370.24,8,9,7,142128,216.865,11.6848,72.1081
2.21,2.52,4.76,1377.89,1073.28,8,9,8,246221,150.868,10.1725,72.71
2.89,0.3,4.26,1377.89,883.84,8,7,8,197301,387.52,15.1441,70.9819
0.81,2.72,4.54,1377.89,1032.96,7,9,8,227399,199.953,12.441,71.8358
2.4,1.83,3.28,1377.89,1227.52,8,9,7,142128,216.865,11.6848,72.1081
0.62,2.05,1.77,1377.89,1057.28,7,8,7,91087,346.25,15.5304,70.8725
2.6,4.96,5.16,1377.89,1061.12,9,10,8,356307,126.622,7.06195,74.2951
1.92,3.19,2.62,1377.89,1324.8,7,9,7,123306,263.87,13.926,71.3461
5.21,4.88,2.13,1377.89,1336.64,9,9,7,164715,235.87,10.0747,72.752
0.43,2.59,2.36,1377.89,1377.28,6,8,7,87009,368.713,18.9894,69.9992
2.35,0.66,3.75,1377.89,1279.36,8,8,7,109909,287.267,13.2572,71.5598
2.36,5.54,0.76,1377.89,1249.28,8,9,6,114077,396.654,13.7623,71.3974
4.82,2.62,3.09,1377.89,1280.64,9,9,7,164715,235.87,10.0747,72.752
1.26,0.02,1.31,1377.89,872.96,7,5,6,38690,1465.46,27.8933,68.3293
2.12,2.38,0.2,1377.89,1085.44,7,8,5,42882,736.487,18.886,70.0229
3.76,1.36,3.21,1377.89,1236.48,8,9,7,142128,216.865,11.6848,72.1081
3.05,0.76,2.9,1377.89,1327.36,7,8,7,91087,346.25,15.5304,70.8725
1.7,0.08,0.79,1377.89,1190.4,7,5,5,18536,1730.06,28.6599,68.2116
0.66,0.61,3.72,1377.89,1349.12,7,7,7,74386,463.379,18.725,70.0601
2.6,2.58,0.74,1377.89,1372.16,7,8,6,63036,427.457,17.6287,70.3221
5.27,2.71,4.37,1377.89,1074.88,9,9,8,268808,156.755,8.57063,73.4542
2.7,2.41,4.26,1377.89,1026.56,8,9,8,246221,150.868,10.1725,72.71
5.18,4.98,3.05,1377.89,1193.6,9,9,8,268808,156.755,8.57063,73.4542
0.18,2.75,0.48,1377.89,1287.68,5,8,5,35470,990.673,26.0035,68.634
5.22,2.46,4.02,1377.89,996.48,9,9,8,268808,156.755,8.57063,73.4542
5.35,1.15,4.08,1377.89,987.84,9,8,8,236589,235.238,10.1804,72.7067
3.01,2.23,1.43,1377.89,1322.24,7,8,7,91087,346.25,15.5304,70.8725
3.17,0.9,1.03,1377.89,1163.52,7,8,6,63036,427.457,17.6287,70.3221
2.08,2.24,0.44,1377.89,1290.24,7,8,5,42882,736.487,18.886,70.0229
1.54,1.84,2.06,1377.89,1195.52,7,8,7,91087,346.25,15.5304,70.8725
3.47,3.02,0.05,1377.89,1319.68,7,8,4,39305,1412.82,21.6148,69.4368
1.15,0.9,2.98,1377.89,1370.88,7,7,7,74386,463.379,18.725,70.0601
0.81,0.9,0.23,1377.89,1346.56,5,7,4,15192,1382.76,31.7423,67.7679
3.19,3.27,0.14,1377.89,970.24,7,9,5,75101,711.629,17.3439,70.3928
2.68,1.49,0.83,1377.89,1149.44,7,8,6,63036,427.457,17.6287,70.3221
3.9,3.54,5.41,1377.89,1270.4,9,9,8,268808,156.755,8.57063,73.4542
2.4,0.24,1.32,1377.89,1228.8,7,6,6,41608,883.049,23.5494,69.0645
3.07,3.28,1.68,1377.89,1242.88,7,9,7,123306,263.87,13.926,71.3461
0.77,0.57,3.78,1377.89,1358.08,7,7,7,74386,463.379,18.725,70.0601
3.49,5.18,1.46,1377.89,1260.16,8,9,7,142128,216.865,11.6848,72.1081
4.37,4.26,1.78,1377.89,1280.64,8,9,7,142128,216.865,11.6848,72.1081
2.52,4.22,4.26,1377.89,1246.72,8,9,8,246221,150.868,10.1725,72.71
2.8,3.5,2.57,1377.89,1285.12,8,9,7,142128,216.865,11.6848,72.1081
3.79,4.35,2.02,1377.89,1316.48,8,9,7,142128,216.865,11.6848,72.1081
3.76,5.4,4.98,1377.89,1103.36,9,10,8,356307,126.622,7.06195,74.2951
1.97,2.4,0.52,1377.89,1132.8,7,8,6,63036,427.457,17.6287,70.3221
1.18,0.65,2.1,1377.89,1021.44,7,7,7,74386,463.379,18.725,70.0601
3.6,1.48,4.79,1377.89,1222.4,8,8,8,214002,249.887,11.7735,72.0753
3.86,0.47,3.19,1377.89,1304.32,8,7,7,93208,457.513,16.5084,70.6073
3.51,3.19,4.82,1377.89,1249.92,8,9,8,246221,150.868,10.1725,72.71
