c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0.18,2.75,0.48,0.137789,0.133555,20,24,17,72157912,0.228428,0.00429545,106.454
1.26,0.02,1.31,0.137789,0.0943359,23,17,19,89401844,0.468447,0.00564338,105.269
5.19,3.27,3.45,0.137789,0.135894,25,23,20,115612300,0.0293055,6.89088e-05,124.402
0.43,2.59,2.36,0.137789,0.0855469,22,24,20,116660768,0.0297268,6.85757e-05,124.423
2.63,2.57,3.2,0.137789,0.122646,24,23,20,115343960,0.0293055,6.8961e-05,124.398
0.81,2.72,4.54,0.137789,0.0831445,23,24,21,131584500,0.014884,1.74771e-05,130.36
2.52,3.64,5.3,0.137789,0.0994922,24,24,21,131852840,0.014884,1.73043e-05,130.403
2.42,0.51,4.11,0.137789,0.0813379,25,21,21,126560716,0.0312315,4.25791e-05,126.492
2.12,2.38,0.2,0.137789,0.120664,24,23,16,56755276,0.474736,0.0154805,100.886
5.21,4.88,2.13,0.137789,0.0773657,26,25,20,119587616,0.0292599,6.74045e-05,124.497
2.6,4.96,5.16,0.137789,0.102539,24,24,21,131852840,0.014884,1.73043e-05,130.403
1.5,3.81,2.55,0.137789,0.0960352,24,24,20,117197448,0.0304592,6.7765e-05,124.474
5.18,4.98,3.05,0.137789,0.117295,25,24,20,117465788,0.0305813,6.77129e-05,124.478
3.05,0.76,2.9,0.137789,0.105479,24,22,20,113490472,0.0344802,7.37929e-05,124.104
4.82,2.62,3.09,0.137789,0.119385,25,23,20,115612300,0.0293055,6.89088e-05,124.402
1.06,2.22,1.48,0.137789,0.111914,23,23,19,100420228,0.0605912,0.00027149,118.447
3.41,3,0.7,0.137789,0.100884,25,24,18,88155004,0.10714,0.00106931,112.493
2.36,5.54,0.76,0.137789,0.118945,24,24,18,87886664,0.106895,0.0010694,112.493
5.22,2.46,4.02,0.137789,0.137783,25,24,20,117465788,0.0305813,6.77129e-05,124.478
1.92,3.19,2.62,0.137789,0.0962109,24,24,20,117197448,0.0304592,6.7765e-05,124.474
1.66,2.44,1.01,0.137789,0.137402,24,24,18,87886664,0.106895,0.0010694,112.493
2.4,1.83,3.28,0.137789,0.119141,24,23,20,115343960,0.0293055,6.8961e-05,124.398
1.5,0.03,1.72,0.137789,0.12543,23,17,19,89401844,0.468447,0.00564338,105.269
3.76,1.36,3.21,0.137789,0.125234,24,22,20,113490472,0.0344802,7.37929e-05,124.104
4.15,4.1,2.84,0.137789,0.106792,25,24,20,117465788,0.0305813,6.77129e-05,124.478
3.71,5.52,1.4,0.137789,0.110874,25,24,19,102810396,0.0563239,0.000270044,118.47
2.35,0.66,3.75,0.137789,0.129795,24,22,20,113490472,0.0344802,7.37929e-05,124.104
0.99,2.9,2.65,0.137789,0.0960742,23,24,20,116929108,0.0307033,6.78959e-05,124.466
5.4,2.71,1.7,0.137789,0.130059,25,23,19,100956908,0.0605912,0.000271264,118.45
2.7,2.41,4.26,0.137789,0.0772949,25,24,21,132121180,0.0145178,1.72729e-05,130.411
4.57,2.39,4.21,0.137789,0.0773486,25,24,21,132121180,0.0145178,1.72729e-05,130.411
3.05,0.54,3.28,0.137789,0.122354,24,21,20,111636984,0.0414758,9.30334e-05,123.098
0.89,2.98,2.87,0.137789,0.103066,23,24,20,116929108,0.0307033,6.78959e-05,124.466
2.6,2.58,0.74,0.137789,0.115195,24,23,18,86033176,0.108252,0.00107057,112.488
1.27,4.94,4.58,0.137789,0.0836914,23,25,21,133437988,0.0146147,1.71782e-05,130.435
1.54,1.12,3.2,0.137789,0.120508,23,22,20,113222132,0.0349685,7.3924e-05,124.096
0.62,2.05,1.77,0.137789,0.129062,22,23,19,100151888,0.0605912,0.000272002,118.439
1.59,3.76,0.84,0.137789,0.122793,23,24,18,87618324,0.107384,0.00106945,112.493
1.7,0.08,0.79,0.137789,0.12207,23,18,18,76497334,0.25928,0.00256891,108.687
4.76,0.99,1,0.137789,0.0791309,26,22,19,99371760,0.0591315,0.000276024,118.375
2.89,0.3,4.26,0.137789,0.0773486,25,21,21,126560716,0.0312315,4.25791e-05,126.492
1.81,3.96,3.59,0.137789,0.131191,23,24,20,116929108,0.0307033,6.78959e-05,124.466
2.21,2.52,4.76,0.137789,0.086377,24,24,21,131852840,0.014884,1.73043e-05,130.403
2.22,5.3,4.49,0.137789,0.0826758,24,25,21,133706328,0.0140697,1.70053e-05,130.478
1.52,1.9,0.6,0.137789,0.0913281,24,23,18,86033176,0.108252,0.00107057,112.488
4.17,3.38,2.62,0.137789,0.0971143,25,24,20,117465788,0.0305813,6.77129e-05,124.478
5.27,2.71,4.37,0.137789,0.0801538,26,24,21,132389520,0.0145178,1.72591e-05,130.414
4.58,2.31,2.06,0.137789,0.0756348,25,24,20,117465788,0.0305813,6.77129e-05,124.478
1.74,2.16,2.27,0.137789,0.0895117,24,23,20,115343960,0.0293055,6.8961e-05,124.398
0.66,0.61,3.72,0.137789,0.128359,22,22,20,112953792,0.034318,7.46036e-05,124.057
5.07,0.45,3.22,0.137789,0.117163,25,21,20,111905324,0.0419641,9.29813e-05,123.1
1.19,5,2.53,0.137789,0.100918,23,24,20,116929108,0.0307033,6.78959e-05,124.466
0.19,2.73,5.53,0.137789,0.110703,20,23,21,128925992,0.025393,3.17698e-05,127.764
0.51,2.27,2.84,0.137789,0.108477,22,23,20,114807280,0.0293055,6.97716e-05,124.348
1.54,1.84,2.06,0.137789,0.0802539,24,23,20,115343960,0.0293055,6.8961e-05,124.398
3.6,1.48,4.79,0.137789,0.0881641,25,23,21,130267692,0.0161157,1.84814e-05,130.117
2.02,0.96,3.77,0.137789,0.136758,23,22,20,113222132,0.0349685,7.3924e-05,124.096
5.26,0.38,1.83,0.137789,0.128818,25,21,19,97249932,0.0652663,0.00029539,118.08
2.4,0.24,1.32,0.137789,0.0998438,24,20,19,95128104,0.0836352,0.000372206,117.076
5.13,5.35,2.08,0.137789,0.0767017,26,25,20,119587616,0.0292599,6.74045e-05,124.497
3.01,2.23,1.43,0.137789,0.109736,24,23,19,100688568,0.0605912,0.000271275,118.45
2.08,2.24,0.44,0.137789,0.129531,24,23,17,71377784,0.224883,0.00428444,106.465
2.86,5.03,5.19,0.137789,0.103535,24,24,21,131852840,0.014884,1.73043e-05,130.403
3.76,5.4,4.98,0.137789,0.0901953,25,25,21,133974668,0.0138822,1.6974e-05,130.486
3.47,3.02,0.05,0.137789,0.130371,23,23,14,33675474,1.70434,0.0846867,93.5062
1.84,2.76,3.61,0.137789,0.136172,24,23,20,115343960,0.0293055,6.8961e-05,124.398
0.79,2.7,2.91,0.137789,0.115117,22,23,20,114807280,0.0293055,6.97716e-05,124.348
4.37,4.26,1.78,0.137789,0.130024,25,24,19,102810396,0.0563239,0.000270044,118.47
3.17,0.9,1.03,0.137789,0.0799853,25,22,19,99103420,0.0593146,0.000276049,118.374
1.18,0.65,2.1,0.137789,0.0780859,23,22,20,113222132,0.0349685,7.3924e-05,124.096
5.25,2.67,1.09,0.137789,0.0798364,26,24,19,103078736,0.0563239,0.000270019,118.47
3.79,4.35,2.02,0.137789,0.136597,25,25,19,104663884,0.0569896,0.000269751,118.475
3.07,3.28,1.68,0.137789,0.133623,24,23,19,100688568,0.0605912,0.000271275,118.45
1.15,0.9,2.98,0.137789,0.109434,23,22,20,113222132,0.0349685,7.3924e-05,124.096
3.19,3.27,0.14,0.137789,0.0843311,25,24,16,58877104,0.47389,0.0154792,100.887
5.15,3.88,1.64,0.137789,0.120171,25,24,19,102810396,0.0563239,0.000270044,118.47
3.2,4.45,3.25,0.137789,0.12207,24,24,20,117197448,0.0304592,6.7765e-05,124.474
4.84,2.16,2.67,0.137789,0.102676,25,23,20,115612300,0.0293055,6.89088e-05,124.402
2,0.42,4.79,0.137789,0.0899219,24,21,21,126292376,0.0314757,4.26104e-05,126.489
2.68,1.49,0.83,0.137789,0.129648,24,22,18,84179688,0.11165,0.00107545,112.468
1.72,3.6,3.39,0.137789,0.123359,23,24,20,116929108,0.0307033,6.78959e-05,124.466
2.8,3.5,2.57,0.137789,0.0967187,24,24,20,117197448,0.0304592,6.7765e-05,124.474
3.49,5.18,1.46,0.137789,0.113188,25,24,19,102810396,0.0563239,0.000270044,118.47
5.35,1.15,4.08,0.137789,0.0740405,26,23,21,130536032,0.0162378,1.84677e-05,130.12
0.77,0.77,4.9,0.137789,0.0900977,23,22,21,127877524,0.0213539,2.34929e-05,129.075
3.51,3.19,4.82,0.137789,0.0894873,25,24,21,132121180,0.0145178,1.72729e-05,130.411
1.3,1.8,4.22,0.137789,0.0812695,24,23,21,129999352,0.0162206,1.85128e-05,130.11
0.98,3.11,1.46,0.137789,0.105313,23,24,19,102273716,0.0563239,0.000270269,118.466
3.27,5.06,2.94,0.137789,0.114834,24,24,20,117197448,0.0304592,6.7765e-05,124.474
0.13,1.76,4.11,0.137789,0.08,20,23,21,128925992,0.025393,3.17698e-05,127.764
0.46,0.31,5.53,0.137789,0.107578,22,20,21,123902208,0.0572395,0.00012028,121.982
