,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,1.5,0.03,1.72,1e-05,220.16,32,32,32,4365,1,0.336029,4.73623
1,4.82,2.62,3.09,1e-05,395.52,32,32,32,4365,1,0.336029,4.73623
2,4.58,2.31,2.06,1e-05,263.68,32,32,32,4365,1,0.336029,4.73623
3,2.12,2.38,0.2,1e-05,25.6,32,32,32,4365,1,0.336029,4.73623
4,2.63,2.57,3.2,1e-05,409.6,32,32,32,4365,1,0.336029,4.73623
5,2.08,2.24,0.44,1e-05,56.32,32,32,32,4365,1,0.336029,4.73623
6,0.62,2.05,1.77,1e-05,226.56,32,32,32,4365,1,0.336029,4.73623
7,3.41,3,0.7,1e-05,89.6,32,32,32,4365,1,0.336029,4.73623
8,0.18,2.75,0.48,1e-05,61.44,32,32,32,4365,1,0.336029,4.73623
9,4.57,2.39,4.21,1e-05,538.88,32,32,32,4365,1,0.336029,4.73623
10,3.71,5.52,1.4,1e-05,179.2,32,32,32,4365,1,0.336029,4.73623
11,1.06,2.22,1.48,1e-05,189.44,32,32,32,4365,1,0.336029,4.73623
12,2.21,2.52,4.76,1e-05,609.28,32,32,32,4365,1,0.336029,4.73623
13,4.15,4.1,2.84,1e-05,363.52,32,32,32,4365,1,0.336029,4.73623
14,3.9,3.54,5.41,1e-05,692.48,32,32,32,4365,1,0.336029,4.73623
15,5.07,0.45,3.22,1e-05,412.16,32,32,32,4365,1,0.336029,4.73623
16,1.54,1.12,3.2,1e-05,409.6,32,32,32,4365,1,0.336029,4.73623
17,5.18,4.98,3.05,1e-05,390.4,32,32,32,4365,1,0.336029,4.73623
18,4.76,0.99,1,1e-05,128,32,32,32,4365,1,0.336029,4.73623
19,1.92,3.19,2.62,1e-05,335.36,32,32,32,4365,1,0.336029,4.73623
20,2.6,2.58,0.74,1e-05,94.72,32,32,32,4365,1,0.336029,4.73623
21,3.07,3.28,1.68,1e-05,215.04,32,32,32,4365,1,0.336029,4.73623
22,5.4,2.71,1.7,1e-05,217.6,32,32,32,4365,1,0.336029,4.73623
23,2.22,5.3,4.49,1e-05,574.72,32,32,32,4365,1,0.336029,4.73623
24,3.49,5.18,1.46,1e-05,186.88,32,32,32,4365,1,0.336029,4.73623
25,1.74,2.16,2.27,1e-05,290.56,32,32,32,4365,1,0.336029,4.73623
26,5.19,3.27,3.45,1e-05,441.6,32,32,32,4365,1,0.336029,4.73623
27,5.35,4.9,1.16,1e-05,148.48,32,32,32,4365,1,0.336029,4.73623
28,1.7,0.08,0.79,1e-05,101.12,32,32,32,4365,1,0.336029,4.73623
29,0.99,2.9,2.65,1e-05,339.2,32,32,32,4365,1,0.336029,4.73623
30,3.01,2.23,1.43,1e-05,183.04,32,32,32,4365,1,0.336029,4.73623
31,2.52,3.64,5.3,1e-05,678.4,32,32,32,4365,1,0.336029,4.73623
32,2.4,0.24,1.32,1e-05,168.96,32,32,32,4365,1,0.336029,4.73623
33,0.89,2.98,2.87,1e-05,367.36,32,32,32,4365,1,0.336029,4.73623
34,1.52,1.9,0.6,1e-05,76.8,32,32,32,4365,1,0.336029,4.73623
35,5.21,4.88,2.13,1e-05,272.64,32,32,32,4365,1,0.336029,4.73623
36,2.4,1.83,3.28,1e-05,419.84,32,32,32,4365,1,0.336029,4.73623
37,0.81,2.72,4.54,1e-05,581.12,32,32,32,4365,1,0.336029,4.73623
38,0.66,0.61,3.72,1e-05,476.16,32,32,32,4365,1,0.336029,4.73623
39,3.05,0.54,3.28,1e-05,419.84,32,32,32,4365,1,0.336029,4.73623
40,3.47,3.02,0.05,1e-05,6.4,32,32,32,4365,1,0.336029,4.73623
41,1.5,3.81,2.55,1e-05,326.4,32,32,32,4365,1,0.336029,4.73623
42,4.36,0.69,1.38,1e-05,176.64,32,32,32,4365,1,0.336029,4.73623
43,2.86,5.03,5.19,1e-05,664.32,32,32,32,4365,1,0.336029,4.73623
44,0.46,0.31,5.53,1e-05,707.84,32,32,32,4365,1,0.336029,4.73623
45,2,0.42,4.79,1e-05,613.12,32,32,32,4365,1,0.336029,4.73623
46,5.13,5.35,2.08,1e-05,266.24,32,32,32,4365,1,0.336029,4.73623
47,3.76,1.36,3.21,1e-05,410.88,32,32,32,4365,1,0.336029,4.73623
48,3.86,0.47,3.19,1e-05,408.32,32,32,32,4365,1,0.336029,4.73623
49,3,0.36,2.36,1e-05,302.08,32,32,32,4365,1,0.336029,4.73623
50,3.05,0.76,2.9,1e-05,371.2,32,32,32,4365,1,0.336029,4.73623
51,5.35,1.15,4.08,1e-05,522.24,32,32,32,4365,1,0.336029,4.73623
52,1.84,2.76,3.61,1e-05,462.08,32,32,32,4365,1,0.336029,4.73623
53,1.26,0.02,1.31,1e-05,167.68,32,32,32,4365,1,0.336029,4.73623
54,2.36,5.54,0.76,1e-05,97.28,32,32,32,4365,1,0.336029,4.73623
55,0.98,3.11,1.46,1e-05,186.88,32,32,32,4365,1,0.336029,4.73623
56,3.2,4.45,3.25,1e-05,416,32,32,32,4365,1,0.336029,4.73623
57,0.19,2.73,5.53,1e-05,707.84,32,32,32,4365,1,0.336029,4.73623
58,1.19,5,2.53,1e-05,323.84,32,32,32,4365,1,0.336029,4.73623
59,2.6,4.96,5.16,1e-05,660.48,32,32,32,4365,1,0.336029,4.73623
60,5.22,2.46,4.02,1e-05,514.56,32,32,32,4365,1,0.336029,4.73623
61,2.7,2.41,4.26,1e-05,545.28,32,32,32,4365,1,0.336029,4.73623
62,1.15,0.9,2.98,1e-05,381.44,32,32,32,4365,1,0.336029,4.73623
63,2.24,2.64,2.16,1e-05,276.48,32,32,32,4365,1,0.336029,4.73623
64,1.59,3.76,0.84,1e-05,107.52,32,32,32,4365,1,0.336029,4.73623
65,3.38,5.23,3.8,1e-05,486.4,32,32,32,4365,1,0.336029,4.73623
