,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,1.54,1.12,3.2,0.000358,0.000187988,15,0,0,420,37.926,101.519,11.0125
1,0.62,2.05,1.77,0.000358,0.000302734,13,0,0,364,37.926,101.519,11.0125
2,4.76,0.99,1,0.000358,0.000290527,16,0,0,448,37.926,101.519,11.0125
3,2.12,2.38,0.2,0.000358,0.000258789,15,0,0,420,37.926,101.519,11.0125
4,4.58,2.31,2.06,0.000358,0.000279541,16,0,0,448,37.926,101.519,11.0125
5,3.05,0.54,3.28,0.000358,0.000186157,16,0,0,448,37.926,101.519,11.0125
6,2.7,2.41,4.26,0.000358,0.00032959,15,0,0,420,37.926,101.519,11.0125
7,5.4,2.71,1.7,0.000358,0.00032959,16,0,0,448,37.926,101.519,11.0125
8,0.18,2.75,0.48,0.000358,0.000351563,11,0,0,308,37.926,101.519,11.0125
9,2.52,3.64,5.3,0.000358,0.000307617,15,0,0,420,37.926,101.519,11.0125
10,2.89,0.3,4.26,0.000358,0.000352783,15,0,0,420,37.926,101.519,11.0125
11,2.42,0.51,4.11,0.000358,0.00029541,15,0,0,420,37.926,101.519,11.0125
12,0.66,0.61,3.72,0.000358,0.000322266,13,0,0,364,37.926,101.519,11.0125
13,4.15,4.1,2.84,0.000358,0.000253296,16,0,0,448,37.926,101.519,11.0125
14,2.22,5.3,4.49,0.000358,0.000270996,15,0,0,420,37.926,101.519,11.0125
15,1.81,3.96,3.59,0.000358,0.000220947,15,0,0,420,37.926,101.519,11.0125
16,2.21,2.52,4.76,0.000358,0.000269775,15,0,0,420,37.926,101.519,11.0125
17,2.63,2.57,3.2,0.000358,0.000321045,15,0,0,420,37.926,101.519,11.0125
18,1.06,2.22,1.48,0.000358,0.000258789,14,0,0,392,37.926,101.519,11.0125
19,3.05,0.76,2.9,0.000358,0.000186157,16,0,0,448,37.926,101.519,11.0125
20,1.7,0.08,0.79,0.000358,0.00020752,15,0,0,420,37.926,101.519,11.0125
21,2.68,1.49,0.83,0.000358,0.000327148,15,0,0,420,37.926,101.519,11.0125
22,5.27,2.71,4.37,0.000358,0.000321655,16,0,0,448,37.926,101.519,11.0125
23,5.22,2.46,4.02,0.000358,0.000318604,16,0,0,448,37.926,101.519,11.0125
24,4.17,3.38,2.62,0.000358,0.000254517,16,0,0,448,37.926,101.519,11.0125
25,1.74,2.16,2.27,0.000358,0.000212402,15,0,0,420,37.926,101.519,11.0125
