c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
2.42,0.51,4.11,99.5348,84.5,19,12,12,76793271,35.3955,43.5319,83.5714
5.21,4.88,2.13,99.5348,90.285,20,15,11,69548750,33.3359,64.3158,81.8763
1.54,1.12,3.2,99.5348,61.7,19,14,12,80546035,16.6367,18.2362,87.3501
0.89,2.98,2.87,99.5348,59.62,18,15,12,82214635,14.6289,17.1282,87.6224
1.27,4.94,4.58,99.5348,95.58,18,15,12,82214635,14.6289,17.1282,87.6224
0.99,2.9,2.65,99.5348,98.38,18,15,11,68959838,33.3359,64.4894,81.8646
3.41,3,0.7,99.5348,58.505,20,15,10,57344966,54.7407,243.357,76.0971
2.6,4.96,5.16,99.5348,95.08,19,16,12,84472147,14.4609,16.6447,87.7467
2.89,0.3,4.26,99.5348,80.65,19,12,12,76793271,35.3955,43.5319,83.5714
3.76,1.36,3.21,99.5348,64.12,20,14,12,80840491,16.2617,18.2167,87.3548
2.36,5.54,0.76,99.5348,62.08,19,16,10,59013566,53.8594,243.109,76.1015
1.59,3.76,0.84,99.5348,70.39,19,15,10,57050510,54.647,243.346,76.0972
2.63,2.57,3.2,99.5348,62.795,20,15,12,82803547,14.7812,16.9108,87.6779
2.12,2.38,0.2,99.5348,72.36,19,14,8,35083978,219.527,3252.85,64.8369
1.74,2.16,2.27,99.5348,93.4,18,14,11,66996782,34.3516,65.6744,81.7855
1.7,0.08,0.79,99.5348,62.5,19,10,10,47961795,125.691,662.611,71.7469
0.66,0.61,3.72,99.5348,71.92,17,13,12,78050796,22.7656,24.0228,86.1533
4.57,2.39,4.21,99.5348,88.765,20,14,12,80840491,16.2617,18.2167,87.3548
1.26,0.02,1.31,99.5348,96.6,18,8,10,45002943,425.027,6198.13,62.0369
0.81,2.72,4.54,99.5348,85.14,18,15,12,82214635,14.6289,17.1282,87.6224
2.6,2.58,0.74,99.5348,58.98,20,15,10,57344966,54.7407,243.357,76.0971
4.15,4.1,2.84,99.5348,54.6775,21,16,12,85061059,14.4609,16.6015,87.758
5.4,2.71,1.7,99.5348,66.59,21,15,11,69843206,33.3359,64.322,81.8759
4.76,0.99,1,99.5348,82.22,20,13,10,53475583,59.5312,249.488,75.989
1.66,2.44,1.01,99.5348,87.48,18,14,10,54792998,54.8914,245.049,76.067
5.19,3.27,3.45,99.5348,69.5775,21,15,12,83098003,14.8438,16.8949,87.6819
3.05,0.76,2.9,99.5348,60.085,20,13,12,78934164,21.2656,23.1589,86.3123
