,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,2.6,4.96,5.16,9953.48,5.2,1,0,0,38,101820,2.88723e+09,5.35468
1,4.82,2.62,3.09,9953.48,9.64,1,0,0,38,101820,2.88723e+09,5.35468
2,1.06,2.22,1.48,9953.48,2.12,1,0,0,38,101820,2.88723e+09,5.35468
3,4.17,3.38,2.62,9953.48,8.34,1,0,0,38,101820,2.88723e+09,5.35468
4,1.5,0.03,1.72,9953.48,3,1,0,0,38,101820,2.88723e+09,5.35468
5,2.52,3.64,5.3,9953.48,5.04,1,0,0,38,101820,2.88723e+09,5.35468
6,5.21,4.88,2.13,9953.48,10.42,1,0,0,38,101820,2.88723e+09,5.35468
7,2.63,2.57,3.2,9953.48,5.26,1,0,0,38,101820,2.88723e+09,5.35468
8,1.74,2.16,2.27,9953.48,3.48,1,0,0,38,101820,2.88723e+09,5.35468
9,0.81,2.72,4.54,9953.48,1.62,1,0,0,38,101820,2.88723e+09,5.35468
10,3.71,5.52,1.4,9953.48,7.42,1,0,0,38,101820,2.88723e+09,5.35468
11,2.42,0.51,4.11,9953.48,4.84,1,0,0,38,101820,2.88723e+09,5.35468
12,1.52,1.9,0.6,9953.48,3.04,1,0,0,38,101820,2.88723e+09,5.35468
13,3.41,3,0.7,9953.48,6.82,1,0,0,38,101820,2.88723e+09,5.35468
14,5.18,4.98,3.05,9953.48,10.36,1,0,0,38,101820,2.88723e+09,5.35468
15,5.22,2.46,4.02,9953.48,10.44,1,0,0,38,101820,2.88723e+09,5.35468
16,2.35,0.66,3.75,9953.48,4.7,1,0,0,38,101820,2.88723e+09,5.35468
17,1.59,3.76,0.84,9953.48,3.18,1,0,0,38,101820,2.88723e+09,5.35468
18,2.7,2.41,4.26,9953.48,5.4,1,0,0,38,101820,2.88723e+09,5.35468
19,2.6,2.58,0.74,9953.48,5.2,1,0,0,38,101820,2.88723e+09,5.35468
20,1.26,0.02,1.31,9953.48,2.52,1,0,0,38,101820,2.88723e+09,5.35468
21,1.7,0.08,0.79,9953.48,3.4,1,0,0,38,101820,2.88723e+09,5.35468
22,3.05,0.54,3.28,9953.48,6.1,1,0,0,38,101820,2.88723e+09,5.35468
23,2.36,5.54,0.76,9953.48,4.72,1,0,0,38,101820,2.88723e+09,5.35468
24,0.62,2.05,1.77,9953.48,1.24,1,0,0,38,101820,2.88723e+09,5.35468
25,5.19,3.27,3.45,9953.48,10.38,1,0,0,38,101820,2.88723e+09,5.35468
26,5.4,2.71,1.7,9953.48,10.8,1,0,0,38,101820,2.88723e+09,5.35468
27,0.51,2.27,2.84,9953.48,1.02,1,0,0,38,101820,2.88723e+09,5.35468
28,2.89,0.3,4.26,9953.48,5.78,1,0,0,38,101820,2.88723e+09,5.35468
29,0.66,0.61,3.72,9953.48,1.32,1,0,0,38,101820,2.88723e+09,5.35468
30,3.05,0.76,2.9,9953.48,6.1,1,0,0,38,101820,2.88723e+09,5.35468
31,0.43,2.59,2.36,9953.48,0.86,1,0,0,38,101820,2.88723e+09,5.35468
32,3.01,2.23,1.43,9953.48,6.02,1,0,0,38,101820,2.88723e+09,5.35468
33,1.5,3.81,2.55,9953.48,3,1,0,0,38,101820,2.88723e+09,5.35468
34,5.27,2.71,4.37,9953.48,10.54,1,0,0,38,101820,2.88723e+09,5.35468
35,4.58,2.31,2.06,9953.48,9.16,1,0,0,38,101820,2.88723e+09,5.35468
36,3.07,3.28,1.68,9953.48,6.14,1,0,0,38,101820,2.88723e+09,5.35468
37,4.15,4.1,2.84,9953.48,8.3,1,0,0,38,101820,2.88723e+09,5.35468
38,2.52,4.22,4.26,9953.48,5.04,1,0,0,38,101820,2.88723e+09,5.35468
39,0.81,0.9,0.23,9953.48,1.62,1,0,0,38,101820,2.88723e+09,5.35468
40,2.4,1.83,3.28,9953.48,4.8,1,0,0,38,101820,2.88723e+09,5.35468
41,0.18,2.75,0.48,9953.48,0.36,1,0,0,38,101820,2.88723e+09,5.35468
42,3.27,5.06,2.94,9953.48,6.54,1,0,0,38,101820,2.88723e+09,5.35468
43,0.89,2.98,2.87,9953.48,1.78,1,0,0,38,101820,2.88723e+09,5.35468
44,1.66,2.44,1.01,9953.48,3.32,1,0,0,38,101820,2.88723e+09,5.35468
45,3.76,1.36,3.21,9953.48,7.52,1,0,0,38,101820,2.88723e+09,5.35468
46,1.27,4.94,4.58,9953.48,2.54,1,0,0,38,101820,2.88723e+09,5.35468
47,1.81,3.96,3.59,9953.48,3.62,1,0,0,38,101820,2.88723e+09,5.35468
48,5.13,5.35,2.08,9953.48,10.26,1,0,0,38,101820,2.88723e+09,5.35468
49,4.57,2.39,4.21,9953.48,9.14,1,0,0,38,101820,2.88723e+09,5.35468
50,4.76,0.99,1,9953.48,9.52,1,0,0,38,101820,2.88723e+09,5.35468
51,2.12,2.38,0.2,9953.48,4.24,1,0,0,38,101820,2.88723e+09,5.35468
52,1.54,1.12,3.2,9953.48,3.08,1,0,0,38,101820,2.88723e+09,5.35468
53,1.92,3.19,2.62,9953.48,3.84,1,0,0,38,101820,2.88723e+09,5.35468
54,1.15,0.9,2.98,9953.48,2.3,1,0,0,38,101820,2.88723e+09,5.35468
55,1.54,1.84,2.06,9953.48,3.08,1,0,0,38,101820,2.88723e+09,5.35468
56,0.77,0.57,3.78,9953.48,1.54,1,0,0,38,101820,2.88723e+09,5.35468
57,2.08,2.24,0.44,9953.48,4.16,1,0,0,38,101820,2.88723e+09,5.35468
