c0,c1,c2,c3,Requested_tolerance,estimated_error,l0,l1,l2,l3,Total_retrieve_size,MaxErr,MSE,PSNR
2.36,1.05,1.54,1.09,9953.48,8995.84,12,7,6,4,2569884,4323.28,444983,43.4761
4.43,1.41,3.46,1.67,9953.48,9114.56,14,9,8,4,4655766,3646.42,359579,44.4015
0.81,2.39,0.56,1.31,9953.48,9090.56,11,8,5,4,2240614,5885.91,571875,42.3865
4.71,3.91,4.43,0.74,9953.48,8719.04,14,9,7,4,3678082,3793.02,374187,44.2286
5.21,5.49,5.19,0.11,9953.48,8596.05,14,10,8,0,3504893,11138.9,506633,42.9126
0.83,4.93,2.72,2.97,9953.48,9605.12,12,10,7,5,6008936,2159.55,143235,48.399
0.87,0.34,2.24,5.5,9953.48,8329.6,13,7,7,6,9178208,1675.65,77748.4,51.0526
4.21,3.65,3.99,2.08,9953.48,6904.64,14,10,8,5,7061079,1818.39,127171,48.9156
3.92,1.26,5.4,3.05,9953.48,9781.76,14,8,8,5,6664831,1857.87,131533,48.7692
2.43,4.24,2.91,3.6,9953.48,9483.2,14,10,8,5,7061079,1818.39,127171,48.9156
4.52,5,3.88,2.18,9953.48,9222.4,14,10,7,5,6083395,2152.43,142464,48.4225
3.71,5.18,4.66,0.94,9953.48,9522.56,13,10,7,4,3850178,3848.68,373374,44.238
0.15,2.17,5.4,3.68,9953.48,9235.2,11,10,9,5,8177697,1853.98,127035,48.9203
3.65,2.21,2.84,1.31,9953.48,9639.04,13,8,7,4,3453930,3833.64,377764,44.1873
2.89,4.69,0.65,2.61,9953.48,7461.76,13,10,6,5,5351163,2791.67,196261,47.0312
1.38,3.33,5.35,3.34,9953.48,8680.32,14,10,9,5,8285040,1800.38,122984,49.061
2.59,5.46,2.93,3.81,9953.48,9735.36,14,11,8,5,7292511,1814.7,126951,48.9231
2.78,1.85,0.44,1.55,9953.48,9454.08,12,8,5,4,2273498,5757.91,568791,42.41
2.31,0.55,1.93,5.18,9953.48,7636.16,14,8,7,6,9370430,1472.87,65526.8,51.7953
3.63,5.16,5.33,2.7,9953.48,9035.2,14,10,8,5,7061079,1818.39,127171,48.9156
4.48,0.02,2.45,3.86,9953.48,9313.28,15,5,8,5,6342541,3793.49,307461,45.0816
