,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,3.76,1.36,3.21,0.995347,0.987188,27,20,18,184426513,0.268066,0.00472891,123.212
1,1.26,0.02,1.31,0.995347,0.834687,25,14,17,156676769,6.69141,1.69437,97.6694
2,1.66,2.44,1.01,0.995347,0.594219,26,22,17,172675673,0.453125,0.0171219,117.624
3,1.5,0.03,1.72,0.995347,0.991719,26,15,17,158934281,3.85938,0.437872,103.546
4,1.52,1.9,0.6,0.995347,0.730625,26,21,16,155330121,0.931641,0.0679865,111.635
5,0.62,2.05,1.77,0.995347,0.95875,25,22,17,172381217,0.453125,0.0171416,117.619
6,1.81,3.96,3.59,0.995347,0.973516,26,23,18,190021225,0.234375,0.00431726,123.607
7,2.6,2.58,0.74,0.995347,0.921563,26,21,16,155330121,0.931641,0.0679865,111.635
8,1.27,4.94,4.58,0.995347,0.669531,25,23,19,205109265,0.113281,0.00110924,129.509
9,4.15,4.1,2.84,0.995347,0.854336,27,22,18,188352625,0.234375,0.0043358,123.589
10,1.59,3.76,0.84,0.995347,0.982344,25,22,16,156998721,0.955078,0.0679282,111.639
11,2.36,5.54,0.76,0.995347,0.951562,26,22,16,157293177,0.951172,0.0679304,111.639
12,5.4,2.71,1.7,0.995347,0.955781,27,22,17,172970129,0.453125,0.0171222,117.624
13,2.35,0.66,3.75,0.995347,0.56043,27,20,19,199809009,0.171875,0.00149646,128.209
14,5.19,3.27,3.45,0.995347,0.984961,27,22,18,188352625,0.234375,0.0043358,123.589
15,5.27,2.71,4.37,0.995347,0.651523,27,22,19,203735121,0.125,0.00111149,129.5
16,2.21,2.52,4.76,0.995347,0.691016,26,22,19,203440665,0.125,0.00111311,129.494
17,0.99,2.9,2.65,0.995347,0.768594,25,22,18,187763713,0.242188,0.00434813,123.576
18,4.17,3.38,2.62,0.995347,0.776914,27,22,18,188352625,0.234375,0.0043358,123.589
19,3.05,0.76,2.9,0.995347,0.843828,26,20,18,184132057,0.266113,0.00473289,123.208
20,1.7,0.08,0.79,0.995347,0.976563,25,16,16,145220385,2.08203,0.173843,107.558
21,2.63,2.57,3.2,0.995347,0.981172,26,21,18,186095113,0.235352,0.00441199,123.513
22,2.22,5.3,4.49,0.995347,0.661406,26,23,19,205403721,0.113281,0.00109509,129.565
23,4.58,2.31,2.06,0.995347,0.605078,27,22,18,188352625,0.234375,0.0043358,123.589
24,4.82,2.62,3.09,0.995347,0.955078,27,21,18,186389569,0.238281,0.00440884,123.516
25,3.71,5.52,1.4,0.995347,0.886992,27,22,17,172970129,0.453125,0.0171222,117.624
26,4.76,0.99,1,0.995347,0.642344,27,20,17,169044017,0.5,0.017499,117.529
27,2.6,4.96,5.16,0.995347,0.820312,26,22,19,203440665,0.125,0.00111311,129.494
28,2.89,0.3,4.26,0.995347,0.618789,27,19,19,197845953,0.25,0.0027493,125.567
29,2.12,2.38,0.2,0.995347,0.965313,26,21,14,124992253,3.51953,1.06191,99.6986
30,1.54,1.12,3.2,0.995347,0.964063,25,20,18,183837601,0.27002,0.00473989,123.202
31,0.43,2.59,2.36,0.995347,0.684375,24,22,18,187469257,0.234375,0.00439186,123.533
