c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
5.5,2.01,0.41,0.0099534,0.00805908,32,28,22,263133225,0.03125,2.30548e-05,146.332
1.23,5.34,4.93,0.0099534,0.00561645,32,30,26,328589321,0.03125,3.56482e-07,164.439
0.16,2.06,0.6,0.0099534,0.00584961,29,28,23,277632353,0.03125,4.36905e-06,153.556
2.77,4.38,0.73,0.0099534,0.0071106,32,29,23,280478777,0.03125,4.34976e-06,153.575
0.25,3.54,3.87,0.0099534,0.00953125,29,28,25,308397345,0.03125,4.77521e-07,163.17
5.49,4.95,0.53,0.0099534,0.00955566,32,30,22,267059337,0.03125,2.30531e-05,146.332
3.57,5.08,0.44,0.0099534,0.00855103,32,29,22,265096281,0.03125,2.30531e-05,146.332
0.33,2.85,0.83,0.0099534,0.00803711,30,28,23,277926809,0.03125,4.35235e-06,153.572
2.64,1.48,2.83,0.0099534,0.00657227,32,28,25,309280713,0.03125,4.6064e-07,163.326
5.16,4.9,3.1,0.0099534,0.00788086,32,29,25,311243769,0.03125,4.59204e-07,163.339
1.27,5.38,4.66,0.0099534,0.00991333,32,30,25,313206825,0.03125,4.59204e-07,163.339
0.86,2.97,2.14,0.0099534,0.00929443,31,29,24,295566817,0.03125,9.95345e-07,159.98
3.99,4.82,1.97,0.0099534,0.00935913,32,29,24,295861273,0.03125,9.95345e-07,159.98
3.95,2.46,2.45,0.0099534,0.00646851,32,28,25,309280713,0.03125,4.6064e-07,163.326
3.89,5.25,1.1,0.0099534,0.00970947,32,30,23,282441833,0.03125,4.34976e-06,153.575
3.07,1.24,0.59,0.0099534,0.0055896,32,28,23,278515721,0.03125,4.35111e-06,153.573
3.3,0.14,4.03,0.0099534,0.00936768,32,24,25,301428489,0.03125,3.17561e-06,154.941
2.45,3.05,0.27,0.0099534,0.0094812,32,29,21,249713785,0.0390625,7.3487e-05,141.297
4.05,4.74,1.49,0.0099534,0.00747192,32,29,24,295861273,0.03125,9.95345e-07,159.98
0.01,3.16,1.14,0.0099534,0.00983398,25,29,23,278417585,0.0390625,2.62648e-05,145.766
2.16,3.29,2.82,0.0099534,0.00657471,32,29,25,311243769,0.03125,4.59204e-07,163.339
2.04,3.56,0.2,0.0099534,0.00736816,32,29,21,249713785,0.0390625,7.3487e-05,141.297
1.33,2.37,2.76,0.0099534,0.00671021,32,28,25,309280713,0.03125,4.6064e-07,163.326
4.82,0.57,3.42,0.0099534,0.00838135,32,26,25,305354601,0.03125,5.21982e-07,162.783
2.35,0.51,1.97,0.0099534,0.00897827,32,26,24,289972105,0.03125,1.05387e-06,159.732
2.79,2.53,2.54,0.0099534,0.00653687,32,28,25,309280713,0.03125,4.6064e-07,163.326
2.56,3.33,1.85,0.0099534,0.00916504,32,28,24,293898217,0.03125,9.96902e-07,159.973
4.12,2.43,2.61,0.0099534,0.00678711,32,28,25,309280713,0.03125,4.6064e-07,163.326
4.21,0.15,4.46,0.0099534,0.00981079,32,25,25,303391545,0.03125,8.69975e-07,160.564
0.86,0.69,0.39,0.0099534,0.00765137,31,26,22,258912657,0.03125,2.31111e-05,146.321
2.05,5.42,3.85,0.0099534,0.00909302,32,29,25,311243769,0.03125,4.59204e-07,163.339
2.08,2.38,0.75,0.0099534,0.00727539,32,28,23,278515721,0.03125,4.35111e-06,153.573
5.2,3.85,0.77,0.0099534,0.00759033,32,29,23,280478777,0.03125,4.34976e-06,153.575
0.33,3.59,4.79,0.0099534,0.00571533,30,29,26,326037353,0.03125,3.59075e-07,164.408
1.64,0.86,1.56,0.0099534,0.00713379,32,27,24,291935161,0.03125,1.00566e-06,159.935
1.81,3.96,3.59,0.0099534,0.00819946,32,29,25,311243769,0.03125,4.59204e-07,163.339
1.61,3.83,0.71,0.0099534,0.00667847,32,29,23,280478777,0.03125,4.34976e-06,153.575
2.08,5.45,2.2,0.0099534,0.00951294,32,30,24,297824329,0.03125,9.95345e-07,159.98
4.88,4.36,4.42,0.0099534,0.00597656,32,29,26,326626265,0.03125,3.56482e-07,164.439
2.35,2.54,0.74,0.0099534,0.00730835,32,28,23,278515721,0.03125,4.35111e-06,153.573
1.22,3.9,2.49,0.0099534,0.00596436,32,29,25,311243769,0.03125,4.59204e-07,163.339
0.42,4.35,3.33,0.0099534,0.007771,30,29,25,310654857,0.03125,4.61585e-07,163.317
4.19,4.27,4.65,0.0099534,0.00609497,32,29,26,326626265,0.03125,3.56482e-07,164.439
1.39,0.63,1.9,0.0099534,0.00882202,32,26,24,289972105,0.03125,1.05387e-06,159.732
1.78,1.34,4.75,0.0099534,0.00551025,32,28,26,324663209,0.03125,3.58117e-07,164.419
1.09,4.37,3.75,0.0099534,0.00865723,31,29,25,310949313,0.03125,4.59204e-07,163.339
1.8,1.5,2.63,0.0099534,0.00608887,32,28,25,309280713,0.03125,4.6064e-07,163.326
