,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,2.42,0.51,4.11,0,2.56114e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
1,4.17,3.38,2.62,0,3.69982e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
2,1.5,0.03,1.72,0,1.18234e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
3,1.7,0.08,0.79,0,9.34961e-12,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
4,5.4,2.71,1.7,0,3.56886e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
5,2.12,2.38,0.2,0,1.70985e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
6,5.22,2.46,4.02,0,4.25644e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
7,1.54,1.12,3.2,0,2.13186e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
8,2.22,5.3,4.49,0,4.36921e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
9,2.7,2.41,4.26,0,3.40879e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
10,1.92,3.19,2.62,0,2.81216e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
11,1.5,3.81,2.55,0,2.85945e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
12,1.54,1.84,2.06,0,1.97906e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
13,4.15,4.1,2.84,0,4.03452e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
14,2.6,4.96,5.16,0,4.62751e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
15,1.66,2.44,1.01,0,1.85901e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
16,1.52,1.9,0.6,0,1.46247e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
17,3.05,0.76,2.9,0,2.44108e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
18,1.59,3.76,0.84,0,2.25191e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
19,1.06,2.22,1.48,0,1.73168e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
20,2.63,2.57,3.2,0,3.0559e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
21,3.05,0.54,3.28,0,2.49929e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
22,1.81,3.96,3.59,0,3.40515e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
23,3.76,1.36,3.21,0,3.03044e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
24,0.81,2.72,4.54,0,2.93585e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
25,4.58,2.31,2.06,0,3.25599e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
26,0.89,2.98,2.87,0,2.452e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
27,0.18,2.75,0.48,0,1.24055e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
28,3.71,5.52,1.4,0,3.86717e-11,32,32,32,180526238,2.8245e-10,6.97828e-24,181.138
