,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,2.22,5.3,4.49,3e-06,2.90513e-06,18,17,15,41669066,5.03457e-07,5.64805e-15,92.0568
1,2.63,2.57,3.2,3e-06,2.21699e-06,19,16,15,40646355,5.4575e-07,6.23214e-15,91.6294
2,4.57,2.39,4.21,3e-06,2.7135e-06,19,16,15,40646355,5.4575e-07,6.23214e-15,91.6294
3,1.27,4.94,4.58,3e-06,2.9242e-06,17,17,15,41481551,5.03457e-07,6.03519e-15,91.7688
4,0.62,2.05,1.77,3e-06,2.25067e-06,17,16,14,34905251,1.00997e-06,2.06606e-14,86.4243
5,3.05,0.54,3.28,3e-06,2.16991e-06,19,14,15,38304103,9.66317e-07,1.923e-14,86.736
6,5.21,4.88,2.13,3e-06,2.76834e-06,19,17,14,36493193,9.73018e-07,1.9528e-14,86.6692
7,5.22,2.46,4.02,3e-06,2.58118e-06,20,16,15,40836547,5.60651e-07,6.20837e-15,91.646
8,3.71,5.52,1.4,3e-06,2.04846e-06,20,17,14,36683385,9.61842e-07,1.95116e-14,86.6728
9,4.82,2.62,3.09,3e-06,2.16991e-06,20,16,15,40836547,5.60651e-07,6.20837e-15,91.646
10,3.76,1.36,3.21,3e-06,2.23517e-06,20,15,15,39650212,7.15359e-07,8.89125e-15,90.0861
11,0.18,2.75,0.48,3e-06,2.57254e-06,15,16,12,25170016,3.84182e-06,2.63759e-13,75.3637
12,1.59,3.76,0.84,3e-06,2.14517e-06,18,17,13,31432112,1.87019e-06,7.4764e-14,80.8388
13,5.4,2.71,1.7,3e-06,2.34783e-06,20,16,14,35471816,9.76444e-07,2.02207e-14,86.5178
14,3.41,3,0.7,3e-06,2.15203e-06,19,16,13,30409401,1.8402e-06,7.53368e-14,80.8057
15,1.7,0.08,0.79,3e-06,2.21848e-06,18,11,13,24708456,8.70488e-06,8.46895e-13,70.2974
16,1.52,1.9,0.6,3e-06,2.83241e-06,18,16,12,25726460,3.6801e-06,2.56723e-13,75.4811
17,1.92,3.19,2.62,3e-06,2.99335e-06,18,17,14,36304335,9.58117e-07,1.96331e-14,86.6459
18,1.5,3.81,2.55,3e-06,2.97546e-06,18,17,14,36304335,9.58117e-07,1.96331e-14,86.6459
19,2.89,0.3,4.26,3e-06,2.68966e-06,19,13,15,37184636,1.91976e-06,5.93581e-14,81.8409
20,1.26,0.02,1.31,3e-06,2.95401e-06,17,10,13,23641752,1.24053e-05,2.85361e-12,65.0218
21,2.4,0.24,1.32,3e-06,1.78814e-06,19,13,14,31819905,1.88768e-06,7.31279e-14,80.9349
22,0.77,0.77,4.9,3e-06,2.79546e-06,17,15,15,39083647,7.45162e-07,9.40295e-15,89.8431
23,2.6,4.96,5.16,3e-06,2.8336e-06,19,18,15,43084218,4.66822e-07,5.38757e-15,92.2618
24,0.77,0.57,3.78,3e-06,2.43783e-06,17,14,15,37927730,9.39427e-07,1.96645e-14,86.6389
25,4.76,0.99,1,3e-06,2.99335e-06,19,14,13,28067149,2.15214e-06,8.82677e-14,80.1177
26,2.7,2.41,4.26,3e-06,2.68638e-06,19,16,15,40646355,5.4575e-07,6.23214e-15,91.6294
27,0.66,0.61,3.72,3e-06,2.43425e-06,17,14,15,37927730,9.39427e-07,1.96645e-14,86.6389
28,3.47,3.02,0.05,3e-06,2.45273e-06,18,16,9,15825940,2.9177e-05,1.11472e-11,59.1041
29,0.46,0.31,5.53,3e-06,2.98738e-06,17,14,15,37927730,9.39427e-07,1.96645e-14,86.6389
30,2.21,2.52,4.76,3e-06,2.93642e-06,19,16,15,40646355,5.4575e-07,6.23214e-15,91.6294
31,0.81,2.72,4.54,3e-06,2.9099e-06,17,16,15,40269982,5.60651e-07,6.68742e-15,91.3232
32,3.05,0.76,2.9,3e-06,1.83612e-06,19,15,15,39460020,7.15359e-07,8.92591e-15,90.0692
33,2.36,5.54,0.76,3e-06,2.18034e-06,19,17,13,31620970,1.84039e-06,7.4705e-14,80.8422
34,5.27,2.71,4.37,3e-06,2.80842e-06,20,16,15,40836547,5.60651e-07,6.20837e-15,91.646
35,5.19,3.27,3.45,3e-06,2.11224e-06,20,17,15,42048116,5.03457e-07,5.53947e-15,92.1411
36,1.54,1.12,3.2,3e-06,2.15173e-06,18,15,15,39271162,7.45162e-07,8.99457e-15,90.0359
37,5.07,0.45,3.22,3e-06,2.04012e-06,20,14,15,38494295,9.71092e-07,1.92167e-14,86.739
38,5.15,3.88,1.64,3e-06,2.1033e-06,20,17,14,36683385,9.61842e-07,1.95116e-14,86.6728
39,1.06,2.22,1.48,3e-06,2.00391e-06,18,16,14,35092766,9.8017e-07,2.03476e-14,86.4906
40,1.66,2.44,1.01,3e-06,2.60711e-06,18,16,13,30220543,1.87e-06,7.54068e-14,80.8016
41,1.81,3.96,3.59,3e-06,2.2918e-06,18,17,15,41669066,5.03457e-07,5.64805e-15,92.0568
42,5.35,1.15,4.08,3e-06,2.57358e-06,20,15,15,39650212,7.15359e-07,8.89125e-15,90.0861
43,5.26,0.38,1.83,3e-06,2.5484e-06,20,13,14,32010097,1.87976e-06,7.30864e-14,80.9374
44,2.6,2.58,0.74,3e-06,2.10404e-06,19,16,13,30409401,1.8402e-06,7.53368e-14,80.8057
45,2.4,1.83,3.28,3e-06,2.07186e-06,19,16,15,40646355,5.4575e-07,6.23214e-15,91.6294
46,3.01,2.23,1.43,3e-06,1.98513e-06,19,16,14,35281624,9.8762e-07,2.02314e-14,86.5155
47,0.89,2.98,2.87,3e-06,1.77681e-06,18,17,15,41669066,5.03457e-07,5.64805e-15,92.0568
48,0.79,2.7,2.91,3e-06,1.80364e-06,17,17,15,41481551,5.03457e-07,6.03519e-15,91.7688
49,2.52,4.22,4.26,3e-06,2.60949e-06,19,17,15,41857924,4.88556e-07,5.56883e-15,92.1181
50,3.17,0.9,1.03,3e-06,2.91735e-06,19,14,13,28067149,2.15214e-06,8.82677e-14,80.1177
51,3.09,2.15,2.24,3e-06,2.74092e-06,19,16,14,35281624,9.8762e-07,2.02314e-14,86.5155
52,0.13,1.76,4.11,3e-06,2.92301e-06,14,15,15,38535561,1.18119e-06,3.81449e-14,83.7614
53,5.08,3.34,2.71,3e-06,1.76609e-06,20,17,15,42048116,5.03457e-07,5.53947e-15,92.1411
54,5.18,4.98,3.05,3e-06,2.1252e-06,20,17,15,42048116,5.03457e-07,5.53947e-15,92.1411
55,1.5,0.03,1.72,3e-06,2.18749e-06,18,10,14,28701490,1.22006e-05,2.80165e-12,65.1016
56,0.99,2.9,2.65,3e-06,2.93195e-06,18,17,14,36304335,9.58117e-07,1.96331e-14,86.6459
57,2.35,0.66,3.75,3e-06,2.4876e-06,19,14,15,38304103,9.66317e-07,1.923e-14,86.736
58,4.37,4.26,1.78,3e-06,2.33561e-06,19,17,14,36493193,9.73018e-07,1.9528e-14,86.6692
59,0.8,2.42,0.07,3e-06,2.80857e-06,17,16,9,15638425,2.91397e-05,1.1148e-11,59.1038
60,0.98,3.11,1.46,3e-06,1.82152e-06,18,17,14,36304335,9.58117e-07,1.96331e-14,86.6459
61,2.12,2.38,0.2,3e-06,2.21968e-06,18,16,11,21863335,7.38859e-06,9.64148e-13,69.7343
62,4.84,2.16,2.67,3e-06,1.86026e-06,20,16,15,40836547,5.60651e-07,6.20837e-15,91.646
63,0.43,2.59,2.36,3e-06,2.9707e-06,16,16,14,34718879,9.50367e-07,2.21903e-14,86.1141
64,0.51,2.27,2.84,3e-06,1.95622e-06,17,16,15,40269982,5.60651e-07,6.68742e-15,91.3232
65,4.15,4.1,2.84,3e-06,1.90482e-06,20,17,15,42048116,5.03457e-07,5.53947e-15,92.1411
66,2.08,2.24,0.44,3e-06,2.3365e-06,18,16,12,25726460,3.6801e-06,2.56723e-13,75.4811
67,1.97,2.4,0.52,3e-06,2.67327e-06,18,16,12,25726460,3.6801e-06,2.56723e-13,75.4811
68,4.17,3.38,2.62,3e-06,2.96369e-06,20,17,14,36683385,9.61842e-07,1.95116e-14,86.6728
69,2,0.42,4.79,3e-06,2.8038e-06,18,14,15,38115245,9.88057e-07,1.93411e-14,86.7109
70,3.65,0.21,3.97,3e-06,2.40237e-06,19,13,15,37184636,1.91976e-06,5.93581e-14,81.8409
71,2.52,3.64,5.3,3e-06,1.77264e-06,19,17,16,47488545,2.93722e-07,1.6094e-15,97.5091
72,3.79,4.35,2.02,3e-06,2.55793e-06,19,17,14,36493193,9.73018e-07,1.9528e-14,86.6692
73,4.02,2.76,2.92,3e-06,1.78128e-06,20,17,15,42048116,5.03457e-07,5.53947e-15,92.1411
74,5.13,5.35,2.08,3e-06,2.7743e-06,19,17,14,36493193,9.73018e-07,1.9528e-14,86.6692
75,3.2,4.45,3.25,3e-06,2.17557e-06,19,17,15,41857924,4.88556e-07,5.56883e-15,92.1181
76,3.86,3.76,2.7,3e-06,1.79321e-06,20,17,15,42048116,5.03457e-07,5.53947e-15,92.1411
77,1.74,2.16,2.27,3e-06,2.78354e-06,18,16,14,35092766,9.8017e-07,2.03476e-14,86.4906
78,2.19,0.41,4.26,3e-06,2.94387e-06,18,13,15,36995778,1.91976e-06,5.93872e-14,81.8388
79,4.58,2.31,2.06,3e-06,2.65181e-06,19,16,14,35281624,9.8762e-07,2.02314e-14,86.5155
80,3.76,5.4,4.98,3e-06,2.75254e-06,20,18,15,43274410,4.81723e-07,5.36102e-15,92.2833
81,0.39,1.72,4.71,3e-06,2.74897e-06,16,16,15,40083610,6.20256e-07,8.11356e-15,90.4836
82,3,0.36,2.36,3e-06,2.6834e-06,19,14,14,32939372,1.45491e-06,3.33096e-14,84.3501
83,5,0.27,5.51,3e-06,1.90318e-06,20,13,16,43005449,1.77112e-06,5.5255e-14,82.152
84,0.19,2.73,5.53,3e-06,1.6892e-06,16,17,16,46925800,3.52979e-07,3.4973e-15,94.1384
85,2.42,0.51,4.11,3e-06,2.5183e-06,19,14,15,38304103,9.66317e-07,1.923e-14,86.736
86,1.81,0.24,2.22,3e-06,2.68281e-06,18,13,14,31631047,1.88023e-06,7.3183e-14,80.9316
87,1.18,0.65,2.1,3e-06,2.76327e-06,17,14,14,32562999,1.42511e-06,3.3718e-14,84.2971
88,3.9,3.54,5.41,3e-06,1.76996e-06,20,17,16,47678737,2.86271e-07,1.58666e-15,97.5709
89,2.05,2.62,0.17,3e-06,2.04384e-06,18,16,11,21863335,7.38859e-06,9.64148e-13,69.7343
90,2.04,4.59,4.53,3e-06,2.82884e-06,18,17,15,41669066,5.03457e-07,5.64805e-15,92.0568
91,1.72,3.6,3.39,3e-06,2.14815e-06,18,17,15,41669066,5.03457e-07,5.64805e-15,92.0568
92,1.19,5,2.53,3e-06,2.78175e-06,18,18,14,37530629,9.36463e-07,1.94774e-14,86.6804
93,3.49,1.6,5.02,3e-06,2.8792e-06,19,16,15,40646355,5.4575e-07,6.23214e-15,91.6294
94,3.6,1.48,4.79,3e-06,2.7442e-06,19,16,15,40646355,5.4575e-07,6.23214e-15,91.6294
95,1.86,4.68,0.9,3e-06,2.38538e-06,18,17,13,31432112,1.87019e-06,7.4764e-14,80.8388
96,2.02,0.96,3.77,3e-06,2.37584e-06,18,15,15,39271162,7.45162e-07,8.99457e-15,90.0359
97,1.15,0.9,2.98,3e-06,1.91867e-06,18,15,15,39271162,7.45162e-07,8.99457e-15,90.0359
98,5.25,2.67,1.09,3e-06,2.87205e-06,19,16,13,30409401,1.8402e-06,7.53368e-14,80.8057
99,0.57,3.53,3.49,3e-06,2.15292e-06,17,17,15,41481551,5.03457e-07,6.03519e-15,91.7688
100,1.5,2.1,0.48,3e-06,2.92182e-06,18,15,12,24540125,3.60643e-06,2.59184e-13,75.4397
101,1.39,2.47,3.76,3e-06,2.46465e-06,18,16,15,40457497,5.60651e-07,6.32244e-15,91.5669
102,5.28,1.65,0.45,3e-06,2.66075e-06,19,15,12,24728983,3.62505e-06,2.59046e-13,75.442
103,0.08,2.65,5.37,3e-06,2.95281e-06,14,17,15,40933465,1.08243e-06,3.48989e-14,84.1476
104,1.3,1.8,4.22,3e-06,2.94805e-06,18,15,15,39271162,7.45162e-07,8.99457e-15,90.0359
105,3.19,3.27,0.14,3e-06,2.62111e-06,19,17,10,19879357,1.46449e-05,3.08009e-12,64.6901
106,2.8,3.5,2.57,3e-06,2.95162e-06,19,17,14,36493193,9.73018e-07,1.9528e-14,86.6692
107,3.51,3.19,4.82,3e-06,2.78324e-06,19,17,15,41857924,4.88556e-07,5.56883e-15,92.1181
108,0.81,0.9,0.23,3e-06,2.80619e-06,16,14,11,19147196,7.40333e-06,9.7858e-13,69.6698
109,3.58,3.86,1.28,3e-06,2.9549e-06,20,17,13,31811162,1.85529e-06,7.46655e-14,80.8445
110,0.39,0.71,0.47,3e-06,2.563e-06,16,14,12,23010321,3.74925e-06,2.71925e-13,75.2313
111,0.26,2.44,2.82,3e-06,1.98841e-06,16,16,15,40083610,6.20256e-07,8.11356e-15,90.4836
112,3.86,0.47,3.19,3e-06,2.02686e-06,20,14,15,38494295,9.71092e-07,1.92167e-14,86.739
113,3.06,5.51,0.55,3e-06,2.93732e-06,18,17,12,26938029,3.66435e-06,2.55941e-13,75.4943
114,1.58,2.99,3.32,3e-06,2.39015e-06,18,16,15,40457497,5.60651e-07,6.32244e-15,91.5669
115,5.08,4.87,1.66,3e-06,2.23935e-06,20,17,14,36683385,9.61842e-07,1.95116e-14,86.6728
116,3.27,5.06,2.94,3e-06,2.10255e-06,19,17,15,41857924,4.88556e-07,5.56883e-15,92.1181
117,2.68,1.49,0.83,3e-06,2.37346e-06,19,15,13,29223066,1.9286e-06,7.80918e-14,80.6497
118,0.82,5.06,1,3e-06,2.6083e-06,17,17,13,31244597,1.81058e-06,7.5192e-14,80.814
119,1.02,0.37,2.49,3e-06,2.78831e-06,18,14,14,32750514,1.42511e-06,3.34466e-14,84.3322
120,5.06,1.83,0.4,3e-06,2.47389e-06,20,15,12,24919175,3.62133e-06,2.59046e-13,75.442
121,3.15,1.42,5.24,3e-06,2.93106e-06,19,16,15,40646355,5.4575e-07,6.23214e-15,91.6294
122,4.98,4.65,3.7,3e-06,2.39283e-06,20,17,15,42048116,5.03457e-07,5.53947e-15,92.1411
123,4.23,4.07,1.2,3e-06,2.90006e-06,19,17,13,31620970,1.84039e-06,7.4705e-14,80.8422
124,5.35,4.9,1.16,3e-06,2.95609e-06,19,17,13,31620970,1.84039e-06,7.4705e-14,80.8422
125,0.74,0.27,1.04,3e-06,2.58684e-06,17,13,13,26571309,2.6043e-06,1.29182e-13,78.4637
126,0.79,3.69,4.04,3e-06,2.46048e-06,17,17,15,41481551,5.03457e-07,6.03519e-15,91.7688
127,4.62,4.33,3.02,3e-06,2.02507e-06,20,17,15,42048116,5.03457e-07,5.53947e-15,92.1411
128,1.92,4.53,4.56,3e-06,2.82884e-06,18,17,15,41669066,5.03457e-07,5.64805e-15,92.0568
129,2.86,5.03,5.19,3e-06,2.85983e-06,19,18,15,43084218,4.66822e-07,5.38757e-15,92.2618
130,1.54,1.84,2.06,3e-06,2.93374e-06,18,15,14,33906431,1.10288e-06,2.29402e-14,85.9698
131,4.51,3.05,0.67,3e-06,2.98664e-06,20,17,12,27317079,3.67925e-06,2.55798e-13,75.4968
132,1.82,1.46,1.67,3e-06,2.3973e-06,18,15,14,33906431,1.10288e-06,2.29402e-14,85.9698
133,1.23,2.91,1.03,3e-06,2.80499e-06,17,16,13,30033028,1.83131e-06,7.58127e-14,80.7783
134,2.24,2.64,2.16,3e-06,2.82288e-06,18,16,14,35092766,9.8017e-07,2.03476e-14,86.4906
135,5.54,3.32,0.97,3e-06,2.72423e-06,20,16,13,30599593,1.8551e-06,7.53028e-14,80.8076
136,1.17,1.02,5.49,3e-06,1.86503e-06,18,15,16,44901783,4.90184e-07,5.02833e-15,92.5615
137,1.28,5.23,4.76,3e-06,2.9695e-06,18,17,15,41669066,5.03457e-07,5.64805e-15,92.0568
138,4.8,4.83,3.57,3e-06,2.34962e-06,20,17,15,42048116,5.03457e-07,5.53947e-15,92.1411
139,3.26,5.35,3.02,3e-06,2.17497e-06,19,17,15,41857924,4.88556e-07,5.56883e-15,92.1181
140,1.15,1.96,3.65,3e-06,2.2763e-06,18,16,15,40457497,5.60651e-07,6.32244e-15,91.5669
141,1.84,2.76,3.61,3e-06,2.48909e-06,18,16,15,40457497,5.60651e-07,6.32244e-15,91.5669
142,4.98,3.36,3.43,3e-06,2.1103e-06,20,17,15,42048116,5.03457e-07,5.53947e-15,92.1411
143,1.14,1.24,2.05,3e-06,2.68221e-06,17,15,14,33718916,1.12452e-06,2.32966e-14,85.9028
144,2.81,5.07,4.36,3e-06,2.76715e-06,19,17,15,41857924,4.88556e-07,5.56883e-15,92.1181
145,4.03,2.59,1.9,3e-06,2.54959e-06,19,16,14,35281624,9.8762e-07,2.02314e-14,86.5155
146,5.24,4.6,4.38,3e-06,2.71499e-06,20,17,15,42048116,5.03457e-07,5.53947e-15,92.1411
147,0.29,2.94,4.94,3e-06,2.77519e-06,16,17,15,41295179,6.05591e-07,7.41747e-15,90.8732
148,5.31,0.18,1.08,3e-06,2.90483e-06,19,12,13,25881419,3.97942e-06,2.80027e-13,75.1038
149,5.09,1.02,0.05,3e-06,2.65032e-06,19,14,9,13672546,2.9284e-05,1.11596e-11,59.0993
150,1.54,1.56,4.71,3e-06,2.70963e-06,18,16,15,40457497,5.60651e-07,6.32244e-15,91.5669
151,2.71,1.73,1.13,3e-06,2.64853e-06,19,16,13,30409401,1.8402e-06,7.53368e-14,80.8057
152,0.39,5.25,0.26,3e-06,2.79546e-06,15,17,11,22518460,7.41151e-06,9.71591e-13,69.7009
153,4.52,3.06,2.19,3e-06,2.95281e-06,19,16,14,35281624,9.8762e-07,2.02314e-14,86.5155
154,0.52,5.15,0.52,3e-06,2.72155e-06,16,17,12,26564142,3.61964e-06,2.57849e-13,75.4621
155,3.07,3.28,1.68,3e-06,2.47568e-06,19,16,14,35281624,9.8762e-07,2.02314e-14,86.5155
156,3.44,5.38,1.83,3e-06,2.48909e-06,19,17,14,36493193,9.73018e-07,1.9528e-14,86.6692
157,0.85,4.14,1.82,3e-06,2.33054e-06,17,17,14,36116820,9.73018e-07,1.99683e-14,86.5723
158,4.77,2.47,5.21,3e-06,2.84985e-06,20,17,15,42048116,5.03457e-07,5.53947e-15,92.1411
159,3.3,4.72,3.75,3e-06,2.44915e-06,19,17,15,41857924,4.88556e-07,5.56883e-15,92.1181
160,3.96,0.17,1.2,3e-06,2.99633e-06,20,12,13,26071611,3.97942e-06,2.8004e-13,75.1035
161,0.21,1.82,1.72,3e-06,2.17438e-06,15,16,14,34536322,1.18332e-06,2.76416e-14,85.1601
162,5.33,3.99,1.16,3e-06,2.76759e-06,20,17,13,31811162,1.85529e-06,7.46655e-14,80.8445
163,4.27,4.02,4.46,3e-06,2.73317e-06,19,17,15,41857924,4.88556e-07,5.56883e-15,92.1181
164,4.09,1.27,1.81,3e-06,2.45363e-06,19,15,14,34095289,1.11778e-06,2.28456e-14,85.9877
