c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0.89,2.98,2.87,0.000301,0.000293274,9,9,8,5063551,7.56653e-05,5.91326e-11,51.8575
2.12,2.38,0.2,0.000301,0.000275269,10,8,5,1631212,0.000455956,6.48623e-10,41.4558
4.82,2.62,3.09,0.000301,0.000286942,12,9,8,5480284,6.96013e-05,4.05452e-11,53.4964
1.59,3.76,0.84,0.000301,0.000241547,10,9,7,3748455,0.000123126,1.12114e-10,49.0791
4.15,4.1,2.84,0.000301,0.000251732,12,10,8,6232383,6.2388e-05,3.37933e-11,54.2874
1.5,3.81,2.55,0.000301,0.0002948,10,9,8,5181427,6.57866e-05,4.58534e-11,52.962
5.19,3.27,3.45,0.000301,0.000280266,12,10,8,6232383,6.2388e-05,3.37933e-11,54.2874
0.43,2.59,2.36,0.000301,0.000236206,9,9,8,5063551,7.56653e-05,5.91326e-11,51.8575
2.52,3.64,5.3,0.000301,0.000292053,11,9,9,7445026,4.6088e-05,2.2533e-11,56.0476
5.22,2.46,4.02,0.000301,0.00020771,13,9,9,7771492,4.6088e-05,2.09658e-11,56.3606
2.7,2.41,4.26,0.000301,0.000213852,12,9,9,7603270,4.6088e-05,2.12426e-11,56.3037
4.57,2.39,4.21,0.000301,0.000218849,12,9,9,7603270,4.6088e-05,2.12426e-11,56.3037
0.66,0.61,3.72,0.000301,0.000284424,9,8,8,4464282,0.00010052,8.08507e-11,50.4989
0.18,2.75,0.48,0.000301,0.000296021,8,8,6,1958646,0.000247027,3.1416e-10,44.6042
1.7,0.08,0.79,0.000301,0.000283813,9,5,6,1212617,0.000504299,6.1509e-10,41.6864
2.35,0.66,3.75,0.000301,0.000287094,11,8,8,4722771,8.52614e-05,6.36456e-11,51.5381
0.81,2.72,4.54,0.000301,0.000233917,10,9,9,7304413,5.37174e-05,2.64755e-11,55.3473
3.76,1.36,3.21,0.000301,0.000293274,12,8,8,4881015,8.15675e-05,6.26215e-11,51.6085
2.89,0.3,4.26,0.000301,0.00017765,12,7,9,6576194,0.000113726,1.03199e-10,49.439
1.74,2.16,2.27,0.000301,0.000231018,10,9,8,5181427,6.57866e-05,4.58534e-11,52.962
2.36,5.54,0.76,0.000301,0.000288086,11,10,6,3656294,0.000236114,2.29569e-10,45.9666
5.21,4.88,2.13,0.000301,0.000224342,12,10,8,6232383,6.2388e-05,3.37933e-11,54.2874
2.4,1.83,3.28,0.000301,0.000274353,11,9,8,5322040,6.96013e-05,4.17413e-11,53.3701
0.62,2.05,1.77,0.000301,0.000297546,9,9,7,3630579,0.000123126,1.25767e-10,48.5801
2.21,2.52,4.76,0.000301,0.000239029,11,9,9,7445026,4.6088e-05,2.2533e-11,56.0476
2.6,4.96,5.16,0.000301,0.000252991,11,10,9,8197125,3.23818e-05,1.55381e-11,57.6618
3.41,3,0.7,0.000301,0.000288467,11,9,6,2904195,0.000230677,2.36256e-10,45.8419
1.92,3.19,2.62,0.000301,0.00028656,10,9,8,5181427,6.57866e-05,4.58534e-11,52.962
1.27,4.94,4.58,0.000301,0.000224838,11,10,9,8197125,3.23818e-05,1.55381e-11,57.6618
2.22,5.3,4.49,0.000301,0.000234833,11,10,9,8197125,3.23818e-05,1.55381e-11,57.6618
1.06,2.22,1.48,0.000301,0.000264587,10,9,7,3748455,0.000123126,1.12114e-10,49.0791
2.42,0.51,4.11,0.000301,0.000300446,11,8,8,4722771,8.52614e-05,6.36456e-11,51.5381
2.63,2.57,3.2,0.000301,0.000293808,11,9,8,5322040,6.96013e-05,4.17413e-11,53.3701
1.26,0.02,1.31,0.000301,0.000188904,10,5,7,2315366,0.000448621,4.66079e-10,42.8912
4.17,3.38,2.62,0.000301,0.000294876,11,9,8,5322040,6.96013e-05,4.17413e-11,53.3701
1.5,0.03,1.72,0.000301,0.000270386,9,5,7,2197490,0.000448621,4.79779e-10,42.7653
3.05,0.54,3.28,0.000301,0.000289383,11,7,8,4294964,0.000120015,1.24012e-10,48.6411
5.18,4.98,3.05,0.000301,0.000281906,12,10,8,6232383,6.2388e-05,3.37933e-11,54.2874
5.27,2.71,4.37,0.000301,0.000236168,12,9,9,7603270,4.6088e-05,2.12426e-11,56.3037
2.6,2.58,0.74,0.000301,0.000279236,11,9,6,2904195,0.000230677,2.36256e-10,45.8419
3.71,5.52,1.4,0.000301,0.000283432,11,10,7,4641167,0.000112297,1.01201e-10,49.5239
1.52,1.9,0.6,0.000301,0.000285645,10,8,6,2164313,0.000254661,2.63034e-10,45.3756
1.81,3.96,3.59,0.000301,0.00029335,11,10,8,6074139,6.32616e-05,3.48863e-11,54.1492
0.99,2.9,2.65,0.000301,0.00026535,10,9,8,5181427,6.57866e-05,4.58534e-11,52.962
5.4,2.71,1.7,0.000301,0.000207062,12,9,8,5480284,6.96013e-05,4.05452e-11,53.4964
4.58,2.31,2.06,0.000301,0.000213699,12,9,8,5480284,6.96013e-05,4.05452e-11,53.4964
0.77,0.57,3.78,0.000301,0.000277252,10,8,8,4582158,8.52614e-05,6.80721e-11,51.2461
0.19,2.73,5.53,0.000301,0.000263672,8,9,9,7098746,8.4235e-05,7.72995e-11,50.694
1.54,1.12,3.2,0.000301,0.00028717,10,8,8,4582158,8.52614e-05,6.80721e-11,51.2461
3.05,0.76,2.9,0.000301,0.000293045,11,7,8,4294964,0.000120015,1.24012e-10,48.6411
5.25,2.67,1.09,0.000301,0.000254593,11,9,7,3889068,0.000115902,1.08223e-10,49.2326
3.6,1.48,4.79,0.000301,0.000205078,12,9,9,7603270,4.6088e-05,2.12426e-11,56.3037
5.07,0.45,3.22,0.000301,0.000290146,11,7,8,4294964,0.000120015,1.24012e-10,48.6411
0.79,2.7,2.91,0.000301,0.000284119,9,9,8,5063551,7.56653e-05,5.91326e-11,51.8575
