,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,1.5,3.81,2.55,0,7.3202e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
1,4.76,0.99,1,0,6.28643e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
2,4.58,2.31,2.06,0,8.33534e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
3,4.15,4.1,2.84,0,1.03284e-08,32,32,32,19936,0.0148813,4.18231e-08,37.2387
4,2.89,0.3,4.26,0,6.93835e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
5,1.74,2.16,2.27,0,5.74626e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
6,2.6,4.96,5.16,0,1.18464e-08,32,32,32,19936,0.0148813,4.18231e-08,37.2387
7,1.54,1.12,3.2,0,5.45755e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
8,2.35,0.66,3.75,0,6.29574e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
9,4.17,3.38,2.62,0,9.47155e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
10,5.21,4.88,2.13,0,1.13808e-08,32,32,32,19936,0.0148813,4.18231e-08,37.2387
11,1.7,0.08,0.79,0,2.3935e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
12,1.26,0.02,1.31,0,2.41213e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
13,2.4,1.83,3.28,0,6.99423e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
14,3.05,0.76,2.9,0,6.24917e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
15,2.7,2.41,4.26,0,8.72649e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
16,3.05,0.54,3.28,0,6.39819e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
17,3.41,3,0.7,0,6.6217e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
18,2.36,5.54,0.76,0,8.06525e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
19,3.9,3.54,5.41,0,1.19675e-08,32,32,32,19936,0.0148813,4.18231e-08,37.2387
20,0.81,0.9,0.23,0,1.80677e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
21,1.52,1.9,0.6,0,3.74392e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
22,1.59,3.76,0.84,0,5.76489e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
23,1.97,2.4,0.52,0,4.55417e-09,32,32,32,19936,0.0148813,4.18231e-08,37.2387
