,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,4.15,4.1,2.84,0.001488,0.00144714,11,10,8,2622120,0.000267728,3.95738e-10,57.4787
1,2.52,3.64,5.3,0.001488,0.00124512,11,10,9,3399451,0.000176344,2.74253e-10,59.0713
2,0.18,2.75,0.48,0.001488,0.00122803,8,9,6,1116007,0.00103579,3.54165e-09,47.9608
3,4.76,0.99,1,0.001488,0.00126221,11,8,7,1408814,0.000662169,1.68437e-09,51.1885
4,2.36,5.54,0.76,0.001488,0.00119141,11,10,7,2095267,0.000452615,8.13535e-10,54.3491
5,3.76,1.36,3.21,0.001488,0.00134521,11,9,8,2216628,0.000364117,6.42674e-10,55.3729
6,2.22,5.3,4.49,0.001488,0.00133057,11,10,9,3399451,0.000176344,2.74253e-10,59.0713
7,1.5,3.81,2.55,0.001488,0.00127075,10,10,8,2530825,0.000267957,5.7641e-10,55.8455
8,3.05,0.54,3.28,0.001488,0.00125061,11,8,8,1935667,0.000615792,1.27189e-09,52.4083
9,0.43,2.59,2.36,0.001488,0.00131348,9,9,8,2059533,0.000420311,1.26625e-09,52.4276
10,5.19,3.27,3.45,0.001488,0.00139984,12,10,8,2734991,0.00024794,3.39269e-10,58.1474
11,2.63,2.57,3.2,0.001488,0.00125549,11,10,8,2622120,0.000267728,3.95738e-10,57.4787
12,5.4,2.71,1.7,0.001488,0.00132568,12,10,7,2208138,0.000452615,7.55773e-10,54.6689
13,1.26,0.02,1.31,0.001488,0.000871582,10,5,7,1011365,0.0029501,8.75072e-09,44.0324
14,0.99,2.9,2.65,0.001488,0.00147583,10,9,8,2125333,0.000364117,8.1857e-10,54.3223
15,0.81,2.72,4.54,0.001488,0.000985107,10,10,9,3308156,0.000206995,4.53514e-10,56.8869
16,1.7,0.08,0.79,0.001488,0.00134277,9,6,6,609287,0.0020293,6.92046e-09,45.0515
17,2.42,0.51,4.11,0.001488,0.00140015,11,8,8,1935667,0.000615792,1.27189e-09,52.4083
18,3.41,3,0.7,0.001488,0.00117828,12,9,7,1802646,0.000531696,1.00285e-09,53.4404
19,4.58,2.31,2.06,0.001488,0.00120667,12,9,8,2329499,0.000341229,5.83049e-10,55.7958
20,2.12,2.38,0.2,0.001488,0.00123047,10,9,5,998983,0.00194869,5.21532e-09,46.28
21,2.6,4.96,5.16,0.001488,0.00139404,11,10,9,3399451,0.000176344,2.74253e-10,59.0713
22,1.66,2.44,1.01,0.001488,0.0012915,10,9,7,1598480,0.000592731,1.23785e-09,52.5262
23,3.47,3.02,0.05,0.001488,0.0013562,10,9,4,858893,0.00341592,1.02736e-08,43.3356
24,1.5,0.03,1.72,0.001488,0.00114014,10,5,7,1011365,0.0029501,8.75072e-09,44.0324
25,1.92,3.19,2.62,0.001488,0.00114624,11,10,8,2622120,0.000267728,3.95738e-10,57.4787
26,1.74,2.16,2.27,0.001488,0.00118774,11,9,8,2216628,0.000364117,6.42674e-10,55.3729
27,3.71,5.52,1.4,0.001488,0.00147064,12,10,7,2208138,0.000452615,7.55773e-10,54.6689
28,5.22,2.46,4.02,0.001488,0.00144104,12,10,8,2734991,0.00024794,3.39269e-10,58.1474
29,1.81,3.96,3.59,0.001488,0.00147034,11,10,8,2622120,0.000267728,3.95738e-10,57.4787
30,2.68,1.49,0.83,0.001488,0.00133789,11,9,6,1314847,0.000913716,1.96352e-09,50.5225
31,2.89,0.3,4.26,0.001488,0.00136292,11,8,8,1935667,0.000615792,1.27189e-09,52.4083
32,4.82,2.62,3.09,0.001488,0.00122131,12,10,8,2734991,0.00024794,3.39269e-10,58.1474
