c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
1.7,0.08,0.79,0.000357,0.000238419,27,21,22,46709137,0.000460625,1.03422e-08,110.923
2.22,5.3,4.49,0.000357,0.000322952,27,27,24,54256097,5.43594e-05,2.59186e-10,126.933
1.5,0.03,1.72,0.000357,0.00024498,27,20,23,49082473,0.000861168,2.6034e-08,106.914
5.21,4.88,2.13,0.000357,0.00030221,29,27,23,51635925,0.000112534,1.02801e-09,120.949
4.57,2.39,4.21,0.000357,0.000302143,28,26,24,53957661,5.91278e-05,2.63531e-10,126.861
1.5,3.81,2.55,0.000357,0.000346069,27,27,23,51532725,0.000112534,1.02901e-09,120.945
1.59,3.76,0.84,0.000357,0.00023983,27,27,22,48809353,0.000214577,4.10006e-09,114.941
0.43,2.59,2.36,0.000357,0.000334167,25,26,23,51079489,0.000104904,1.04638e-09,120.872
4.15,4.1,2.84,0.000357,0.000208578,29,27,24,54359297,5.34058e-05,2.58615e-10,126.943
1.54,1.12,3.2,0.000357,0.000235367,27,25,24,53556025,6.38962e-05,2.82085e-10,126.566
4.76,0.99,1,0.000357,0.000313644,28,24,22,47810845,0.000227928,4.19746e-09,114.839
5.22,2.46,4.02,0.000357,0.000287876,29,26,24,54009261,5.91278e-05,2.63293e-10,126.865
3.76,1.36,3.21,0.000357,0.000244598,28,25,24,53607625,6.38962e-05,2.81753e-10,126.571
5.27,2.71,4.37,0.000357,0.000318127,28,26,24,53957661,5.91278e-05,2.63531e-10,126.861
0.81,2.72,4.54,0.000357,0.000324783,26,26,24,53854461,5.81741e-05,2.66873e-10,126.806
0.18,2.75,0.48,0.000357,0.00028183,24,26,21,45581145,0.000415802,1.64518e-08,108.907
2.21,2.52,4.76,0.000357,0.00033741,27,26,24,53906061,6.00815e-05,2.63875e-10,126.855
3.05,0.76,2.9,0.000357,0.000206013,28,25,24,53607625,6.38962e-05,2.81753e-10,126.571
