c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0.99,2.9,2.65,0,1.89721e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
0.43,2.59,2.36,0,1.52795e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
1.81,3.96,3.59,0,2.75213e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
3.05,0.54,3.28,0,1.90266e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
2.7,2.41,4.26,0,2.6339e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
1.52,1.9,0.6,0,1.35333e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
2.42,0.51,4.11,0,1.81353e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
4.17,3.38,2.62,0,3.22325e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
2.6,4.96,5.16,0,3.68891e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
4.57,2.39,4.21,0,3.29783e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
1.27,4.94,4.58,0,3.09228e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
5.27,2.71,4.37,0,3.69801e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
3.05,0.76,2.9,0,1.91358e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
2.36,5.54,0.76,0,3.01225e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
1.7,0.08,0.79,0,7.9126e-12,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
1.5,3.81,2.55,0,2.39561e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
0.89,2.98,2.87,0,1.92995e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
2.21,2.52,4.76,0,2.5866e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
1.54,1.12,3.2,0,1.54978e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
4.15,4.1,2.84,0,3.51793e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
5.4,2.71,1.7,0,3.25963e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
5.19,3.27,3.45,0,3.70528e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
1.92,3.19,2.62,0,2.33558e-11,32,32,32,145145637,1.43473e-10,3.02886e-24,179.272
