,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,1.59,3.76,0.84,0.00016,0.000120773,11,10,7,2275496,5.58153e-05,2.62694e-11,49.8906
1,2.36,5.54,0.76,0.00016,0.000144043,12,11,6,2319451,0.000102622,4.99053e-11,47.1037
2,1.92,3.19,2.62,0.00016,0.00014328,11,10,8,3167211,3.42771e-05,1.03874e-11,53.9201
3,4.76,0.99,1,0.00016,0.000109406,12,9,7,1981478,6.88984e-05,2.96217e-11,49.369
4,2.21,2.52,4.76,0.00016,0.000119514,12,10,9,4626549,2.19377e-05,4.65617e-12,57.4048
5,1.06,2.22,1.48,0.00016,0.000132294,11,10,7,2275496,5.58153e-05,2.62694e-11,49.8906
6,3.76,1.36,3.21,0.00016,0.000153809,12,9,8,2873193,4.38728e-05,1.37081e-11,52.7153
7,1.5,3.81,2.55,0.00016,0.0001474,11,10,8,3167211,3.42771e-05,1.03874e-11,53.9201
8,2.6,2.58,0.74,0.00016,0.000149536,11,10,6,1700258,0.000106815,5.20762e-11,46.9187
9,4.15,4.1,2.84,0.00016,0.000157146,13,10,8,3385872,3.26666e-05,9.30599e-12,54.3975
10,3.05,0.76,2.9,0.00016,0.000146523,12,8,8,2592066,5.67993e-05,2.59912e-11,49.9369
11,5.21,4.88,2.13,0.00016,0.000149403,13,10,8,3385872,3.26666e-05,9.30599e-12,54.3975
12,5.4,2.71,1.7,0.00016,0.000155411,13,10,7,2494157,5.50753e-05,2.5161e-11,50.0778
13,2.22,5.3,4.49,0.00016,0.000117416,12,11,9,5143160,1.97696e-05,3.3383e-12,58.8499
14,0.43,2.59,2.36,0.00016,0.000118103,10,10,8,3083691,3.53316e-05,1.3337e-11,52.8345
15,2.7,2.41,4.26,0.00016,0.000112076,12,10,9,4626549,2.19377e-05,4.65617e-12,57.4048
16,4.82,2.62,3.09,0.00016,0.000152664,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
17,2.68,1.49,0.83,0.00016,0.000157013,12,9,6,1406240,0.000109545,5.53554e-11,46.6535
18,0.66,0.61,3.72,0.00016,0.000142212,10,9,8,2687091,4.63422e-05,1.74246e-11,51.6735
19,3.86,0.47,3.19,0.00016,0.000140762,12,8,8,2592066,5.67993e-05,2.59912e-11,49.9369
20,1.7,0.08,0.79,0.00016,0.000141907,10,6,6,679806,0.000246307,1.36726e-10,42.7266
21,1.74,2.16,2.27,0.00016,0.000115509,11,10,8,3167211,3.42771e-05,1.03874e-11,53.9201
22,0.81,2.72,4.54,0.00016,0.000116959,11,10,9,4523967,2.04951e-05,5.51286e-12,56.6713
23,2.52,3.64,5.3,0.00016,0.000146027,12,10,9,4626549,2.19377e-05,4.65617e-12,57.4048
24,3.71,5.52,1.4,0.00016,0.000141716,12,11,7,2894689,5.38433e-05,2.40999e-11,50.265
25,5.22,2.46,4.02,0.00016,0.000108833,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
26,2.8,3.5,2.57,0.00016,0.000142517,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
27,0.62,2.05,1.77,0.00016,0.000148773,10,10,7,2191976,5.90885e-05,2.9117e-11,49.4437
28,4.57,2.39,4.21,0.00016,0.000109425,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
29,2.35,0.66,3.75,0.00016,0.000143547,12,9,8,2873193,4.38728e-05,1.37081e-11,52.7153
30,2.63,2.57,3.2,0.00016,0.000156937,11,10,8,3167211,3.42771e-05,1.03874e-11,53.9201
31,3.2,4.45,3.25,0.00016,0.00014534,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
32,0.79,2.7,2.91,0.00016,0.000142059,10,10,8,3083691,3.53316e-05,1.3337e-11,52.8345
33,2.89,0.3,4.26,0.00016,0.00015934,12,8,8,2592066,5.67993e-05,2.59912e-11,49.9369
34,2.6,4.96,5.16,0.00016,0.000126495,12,11,9,5143160,1.97696e-05,3.3383e-12,58.8499
35,1.52,1.9,0.6,0.00016,0.000154419,10,9,6,1220138,0.000105781,5.90873e-11,46.3702
36,4.58,2.31,2.06,0.00016,0.00010685,13,10,8,3385872,3.26666e-05,9.30599e-12,54.3975
37,4.33,4.49,3.85,0.00016,0.000101261,13,11,9,5259239,1.78623e-05,3.11491e-12,59.1507
38,5.25,2.67,1.09,0.00016,0.000127296,12,10,7,2378078,5.50753e-05,2.53984e-11,50.037
39,5.18,4.98,3.05,0.00016,0.000140953,13,11,8,3902483,3.10205e-05,7.96986e-12,55.0706
40,4.17,3.38,2.62,0.00016,0.000147438,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
41,5.13,5.35,2.08,0.00016,0.000114079,13,11,8,3902483,3.10205e-05,7.96986e-12,55.0706
42,0.89,2.98,2.87,0.00016,0.000146637,10,10,8,3083691,3.53316e-05,1.3337e-11,52.8345
43,2.12,2.38,0.2,0.00016,0.000153809,10,9,5,932476,0.000217224,1.1399e-10,43.5165
44,1.81,3.96,3.59,0.00016,0.000146675,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
45,3.01,2.23,1.43,0.00016,0.00013279,12,10,7,2378078,5.50753e-05,2.53984e-11,50.037
46,5,0.27,5.51,0.00016,0.000110092,13,8,9,4064901,5.17424e-05,2.07547e-11,50.9139
47,1.66,2.44,1.01,0.00016,0.000148773,11,9,7,1878896,6.50837e-05,3.05504e-11,49.2349
48,0.18,2.75,0.48,0.00016,0.000153503,8,9,6,1121739,0.000131258,9.36434e-11,44.3703
49,2.4,1.83,3.28,0.00016,0.000137177,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
50,1.54,1.12,3.2,0.00016,0.000143585,11,9,8,2770611,4.63422e-05,1.45803e-11,52.4474
51,2.08,2.24,0.44,0.00016,0.000137939,11,9,6,1303658,0.000111452,5.62046e-11,46.5874
52,1.58,2.99,3.32,0.00016,0.000158997,11,10,8,3167211,3.42771e-05,1.03874e-11,53.9201
53,3.79,4.35,2.02,0.00016,0.000142479,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
54,4.37,4.26,1.78,0.00016,0.000149479,13,11,7,3010768,5.19359e-05,2.38831e-11,50.3042
55,1.26,0.02,1.31,0.00016,0.000108948,10,5,7,1218451,0.00036609,1.47966e-10,42.3835
56,2.4,0.24,1.32,0.00016,0.000128174,11,7,7,1427341,0.000116517,6.96477e-11,45.656
57,3.01,2.75,5.37,0.00016,0.000135384,12,10,9,4626549,2.19377e-05,4.65617e-12,57.4048
58,4.84,2.16,2.67,0.00016,0.000132904,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
59,1.72,3.6,3.39,0.00016,0.000137482,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
60,0.77,0.57,3.78,0.00016,0.000156021,11,8,8,2489484,5.8898e-05,2.67705e-11,49.8085
61,0.19,2.73,5.53,0.00016,0.000131836,9,10,9,4379977,3.42469e-05,1.6961e-11,51.7906
62,5.08,3.34,2.71,0.00016,0.000153046,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
63,3.27,5.06,2.94,0.00016,0.0001408,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
64,1.15,1.96,3.65,0.00016,0.00015007,11,10,8,3167211,3.42771e-05,1.03874e-11,53.9201
65,3.41,3,0.7,0.00016,0.000144234,12,10,6,1802840,0.000106815,5.12848e-11,46.9852
66,5.26,0.38,1.83,0.00016,0.000154953,12,8,7,1700351,8.23999e-05,4.17013e-11,47.8836
67,0.39,5.25,0.26,0.00016,0.000155487,9,10,5,1268606,0.00021212,1.18457e-10,43.3495
68,0.98,3.11,1.46,0.00016,0.00015152,10,10,7,2191976,5.90885e-05,2.9117e-11,49.4437
69,5.35,4.9,1.16,0.00016,0.000155773,13,10,7,2494157,5.50753e-05,2.5161e-11,50.0778
70,0.99,2.9,2.65,0.00016,0.000140228,10,10,8,3083691,3.53316e-05,1.3337e-11,52.8345
71,3.6,1.48,4.79,0.00016,0.000102539,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
72,0.77,0.77,4.9,0.00016,0.000104141,11,9,9,4127367,3.61627e-05,9.76564e-12,54.1881
73,1.5,0.03,1.72,0.00016,0.000135193,10,6,7,1255044,0.000221,1.10145e-10,43.6655
74,2.02,0.96,3.77,0.00016,0.00015976,11,9,8,2770611,4.63422e-05,1.45803e-11,52.4474
75,5.09,1.02,0.05,0.00016,0.000125504,11,8,4,613035,0.000429134,1.88423e-10,41.3338
76,2.92,3.48,2.6,0.00016,0.000143585,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
77,3.47,3.02,0.05,0.00016,0.000143051,11,9,4,894162,0.000426105,1.76101e-10,41.6275
78,2.52,4.22,4.26,0.00016,0.000106812,12,11,9,5143160,1.97696e-05,3.3383e-12,58.8499
79,4.98,4.65,3.7,0.00016,0.00015789,13,11,8,3902483,3.10205e-05,7.96986e-12,55.0706
80,1.27,4.94,4.58,0.00016,0.000117264,11,11,9,5040578,1.72549e-05,4.23036e-12,57.8213
81,1.97,2.4,0.52,0.00016,0.000151749,11,9,6,1303658,0.000111452,5.62046e-11,46.5874
82,0.79,3.69,4.04,0.00016,0.000157471,11,11,8,3683822,3.29279e-05,9.06603e-12,54.5109
83,1.15,0.9,2.98,0.00016,0.000154648,11,8,8,2489484,5.8898e-05,2.67705e-11,49.8085
84,2.24,2.64,2.16,0.00016,0.000114746,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
85,3.05,0.54,3.28,0.00016,0.000144691,12,8,8,2592066,5.67993e-05,2.59912e-11,49.9369
86,1.84,2.76,3.61,0.00016,0.000159302,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
87,1.39,2.47,3.76,0.00016,0.000157738,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
88,0.85,4.14,1.82,0.00016,0.000125198,11,10,8,3167211,3.42771e-05,1.03874e-11,53.9201
89,3.9,3.54,5.41,0.00016,0.000144005,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
90,0.91,3.67,4.05,0.00016,0.000158539,11,11,8,3683822,3.29279e-05,9.06603e-12,54.5109
91,0.51,2.27,2.84,0.00016,0.000129089,10,10,8,3083691,3.53316e-05,1.3337e-11,52.8345
92,2.42,0.51,4.11,0.00016,0.000150223,12,9,8,2873193,4.38728e-05,1.37081e-11,52.7153
93,0.26,2.44,2.82,0.00016,0.000131226,9,10,8,3023221,4.76444e-05,2.1769e-11,50.7067
94,0.69,0.26,3.11,0.00016,0.000137177,10,7,8,2235536,0.000104979,5.67512e-11,46.5454
95,3.76,5.4,4.98,0.00016,0.000124359,13,11,9,5259239,1.78623e-05,3.11491e-12,59.1507
96,3.26,5.35,3.02,0.00016,0.000145416,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
97,3,0.36,2.36,0.00016,0.000105438,12,8,8,2592066,5.67993e-05,2.59912e-11,49.9369
98,0.98,2.95,3.8,0.00016,0.00014595,11,11,8,3683822,3.29279e-05,9.06603e-12,54.5109
99,1.97,0.46,0.49,0.00016,0.000146027,10,7,6,768583,0.000167092,9.85355e-11,44.1492
100,3.19,3.27,0.14,0.00016,0.00015831,11,9,5,1015996,0.000214691,1.11225e-10,43.6231
101,1.57,4.84,1.19,0.00016,0.000158463,11,10,7,2275496,5.58153e-05,2.62694e-11,49.8906
102,4.62,4.33,3.02,0.00016,0.00013401,13,11,8,3902483,3.10205e-05,7.96986e-12,55.0706
103,3.07,3.28,1.68,0.00016,0.000113029,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
104,1.19,5,2.53,0.00016,0.000124435,11,11,8,3683822,3.29279e-05,9.06603e-12,54.5109
105,3.51,3.19,4.82,0.00016,0.000128918,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
106,5.26,1.33,4.32,0.00016,9.62448e-05,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
107,0.81,0.9,0.23,0.00016,0.000135803,9,8,5,590879,0.000228445,1.34503e-10,42.7978
108,3.49,1.6,5.02,0.00016,0.00010767,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
109,0.29,2.94,4.94,0.00016,0.000124664,10,10,9,4440447,2.7663e-05,8.38373e-12,54.8507
110,2.37,3.77,4.05,0.00016,9.96017e-05,12,11,9,5143160,1.97696e-05,3.3383e-12,58.8499
111,5.07,0.45,3.22,0.00016,0.000145073,12,8,8,2592066,5.67993e-05,2.59912e-11,49.9369
112,5.27,2.71,4.37,0.00016,0.000118084,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
113,5.08,4.87,1.66,0.00016,0.000148163,13,11,7,3010768,5.19359e-05,2.38831e-11,50.3042
114,2,0.42,4.79,0.00016,0.000106354,12,8,9,3948822,5.3173e-05,2.1016e-11,50.8596
115,5.15,3.88,1.64,0.00016,0.000139523,13,11,7,3010768,5.19359e-05,2.38831e-11,50.3042
116,2.51,0.99,0.22,0.00016,0.000152435,10,8,5,651349,0.000236074,1.2599e-10,43.0817
117,0.21,1.82,1.72,0.00016,0.00013916,9,10,7,2131506,6.72594e-05,3.77295e-11,48.3183
118,4.77,2.47,5.21,0.00016,0.000126286,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
119,3.74,2.69,5.01,0.00016,0.000124626,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
