c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
1.61,3.83,0.71,1.601e-08,1.45216e-08,26,24,19,56369958,1.48225e-08,5.09491e-18,117.014
0.58,4.46,4.85,1.601e-08,1.13808e-08,25,25,22,73888889,1.99574e-09,9.32514e-20,134.389
0.69,0.83,2.09,1.601e-08,9.65316e-09,25,23,21,66121648,4.20722e-09,3.87492e-19,128.202
1.18,0.44,5.12,1.601e-08,1.33645e-08,25,21,22,69792809,6.98492e-09,8.11424e-19,124.993
3.95,3.3,5.12,1.601e-08,1.30699e-08,27,24,22,73167828,2.06819e-09,9.64476e-20,134.242
2.08,2.38,0.75,1.601e-08,1.38767e-08,26,24,19,56369958,1.48225e-08,5.09491e-18,117.014
1.33,2.37,2.76,1.601e-08,1.31084e-08,25,24,21,67155611,3.96734e-09,3.51273e-19,128.629
3.99,4.82,1.97,1.601e-08,1.00478e-08,27,25,21,68557796,3.75985e-09,3.3665e-19,128.813
0.33,2.85,0.83,1.601e-08,1.56369e-08,23,24,19,55879821,1.45897e-08,5.19615e-18,116.928
1.64,0.86,1.56,1.601e-08,1.52085e-08,26,22,20,59708886,8.01718e-09,1.47339e-18,122.402
1.78,1.34,4.75,1.601e-08,1.17579e-08,26,23,22,71961040,2.52004e-09,1.32257e-19,132.871
5.5,2.01,0.41,1.601e-08,1.47312e-08,27,24,18,51294983,2.95031e-08,1.94234e-17,111.202
3.53,1.41,3.17,1.601e-08,1.48464e-08,27,23,21,66462210,4.20722e-09,3.81059e-19,128.275
4.21,0.15,4.46,1.601e-08,1.10327e-08,27,20,22,69162494,1.33173e-08,2.92022e-18,119.431
3.22,1.65,3.5,1.601e-08,1.49501e-08,27,24,21,67496173,3.96734e-09,3.45118e-19,128.705
2.4,0.47,4.69,1.601e-08,1.07661e-08,27,22,22,71121570,3.72925e-09,2.68547e-19,129.795
4.88,4.36,4.42,1.601e-08,1.05472e-08,28,25,22,74407787,1.81556e-09,8.70639e-20,134.687
0.2,5.54,3.89,1.601e-08,1.0198e-08,23,25,22,73566489,2.80856e-09,1.83762e-19,131.443
0.12,0.2,1.18,1.601e-08,1.2219e-08,22,20,20,57105211,1.58605e-08,4.5301e-18,117.524
4.67,3.47,3.87,1.601e-08,9.09611e-09,28,25,22,74407787,1.81556e-09,8.70639e-20,134.687
2.01,2.64,0.15,1.601e-08,1.18674e-08,26,24,17,46118774,5.67362e-08,7.62392e-17,105.263
3.24,0.36,1.49,1.601e-08,1.41608e-08,27,21,20,58893512,1.04872e-08,2.00276e-18,121.069
4.75,2.72,2.51,1.601e-08,1.24366e-08,27,24,21,67496173,3.96734e-09,3.45118e-19,128.705
5.49,4.95,0.53,1.601e-08,1.05222e-08,28,25,19,57782742,1.48248e-08,5.08648e-18,117.021
4.27,1.58,3.2,1.601e-08,1.5361e-08,27,23,21,66462210,4.20722e-09,3.81059e-19,128.275
3.68,4.03,1.6,1.601e-08,1.4226e-08,27,25,20,62989592,6.86235e-09,1.28827e-18,122.985
0.57,0.74,0.1,1.601e-08,1.52085e-08,24,22,16,38936203,1.14429e-07,2.85931e-16,99.5225
1.96,2.02,5.5,1.601e-08,1.25822e-08,26,24,22,72995003,2.01288e-09,9.785e-20,134.18
4.74,5.54,3.02,1.601e-08,1.43819e-08,27,25,21,68557796,3.75985e-09,3.3665e-19,128.813
4.02,3.15,0.11,1.601e-08,1.50478e-08,27,25,16,42548126,1.14691e-07,2.85666e-16,99.5265
4.12,2.43,2.61,1.601e-08,1.24658e-08,27,24,21,67496173,3.96734e-09,3.45118e-19,128.705
5.07,0.96,2.35,1.601e-08,1.08377e-08,28,23,21,66640546,4.20722e-09,3.80498e-19,128.282
3.62,2.73,5.19,1.601e-08,1.26311e-08,27,24,22,73167828,2.06819e-09,9.64476e-20,134.242
1,0.75,2.79,1.601e-08,1.36532e-08,25,22,21,65109353,5.38388e-09,5.21846e-19,126.91
4.54,0.43,0.77,1.601e-08,1.52062e-08,27,21,19,53508326,1.78043e-08,5.81368e-18,116.441
5.44,3.81,2.86,1.601e-08,1.4836e-08,27,24,21,67496173,3.96734e-09,3.45118e-19,128.705
4.82,0.57,3.42,1.601e-08,1.5425e-08,27,22,21,65449915,5.38388e-09,5.15959e-19,126.959
2.3,3.38,2.09,1.601e-08,9.62755e-09,27,25,21,68557796,3.75985e-09,3.3665e-19,128.813
4.69,4.5,2.05,1.601e-08,1.00053e-08,28,25,21,68736132,3.78895e-09,3.36159e-19,128.82
4.8,2.68,2.38,1.601e-08,1.19209e-08,27,24,21,67496173,3.96734e-09,3.45118e-19,128.705
2.36,0.05,3.5,1.601e-08,1.50781e-08,26,19,21,62365801,2.5126e-08,1.14926e-17,113.481
5.3,2.56,3.67,1.601e-08,9.52859e-09,28,24,22,73346164,2.03909e-09,9.62285e-20,134.252
4.76,0.24,0.01,1.601e-08,1.36672e-08,27,20,13,25123025,8.42229e-07,1.57079e-14,82.1239
1,0.96,3.17,1.601e-08,1.58511e-08,25,22,21,65109353,5.38388e-09,5.21846e-19,126.91
