,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,5.19,3.27,3.45,1.8e-06,1.52171e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
1,0.89,2.98,2.87,1.8e-06,1.77681e-06,32,32,29,29455510,5.72205e-06,5.56559e-13,147.974
2,1.54,1.12,3.2,1.8e-06,1.75118e-06,32,32,29,29455510,5.72205e-06,5.56559e-13,147.974
3,2.21,2.52,4.76,1.8e-06,1.56701e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
4,3.76,1.36,3.21,1.8e-06,1.15156e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
5,1.5,3.81,2.55,1.8e-06,1.75953e-06,32,32,29,29455510,5.72205e-06,5.56559e-13,147.974
6,0.81,2.72,4.54,1.8e-06,1.45495e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
7,1.74,2.16,2.27,1.8e-06,1.44362e-06,32,32,29,29455510,5.72205e-06,5.56559e-13,147.974
8,5.18,4.98,3.05,1.8e-06,1.62959e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
9,2.6,4.96,5.16,1.8e-06,1.36137e-06,32,32,31,29471368,5.72205e-06,5.55341e-13,147.983
10,1.92,3.19,2.62,1.8e-06,1.74403e-06,32,32,29,29455510,5.72205e-06,5.56559e-13,147.974
11,3.05,0.76,2.9,1.8e-06,1.65522e-06,32,32,29,29455510,5.72205e-06,5.56559e-13,147.974
12,4.58,2.31,2.06,1.8e-06,1.53065e-06,32,32,29,29455510,5.72205e-06,5.56559e-13,147.974
13,2.35,0.66,3.75,1.8e-06,1.62244e-06,32,28,32,29350037,6.67572e-06,8.4005e-13,146.186
14,5.22,2.46,4.02,1.8e-06,1.56283e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
15,5.4,2.71,1.7,1.8e-06,1.45555e-06,32,32,29,29455510,5.72205e-06,5.56559e-13,147.974
16,3.71,5.52,1.4,1.8e-06,1.54674e-06,32,32,29,29455510,5.72205e-06,5.56559e-13,147.974
17,2.86,5.03,5.19,1.8e-06,1.38879e-06,32,32,31,29471368,5.72205e-06,5.55341e-13,147.983
18,5.21,4.88,2.13,1.8e-06,1.40011e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
19,3.05,0.54,3.28,1.8e-06,1.40727e-06,32,28,32,29350037,6.67572e-06,8.4005e-13,146.186
20,5.27,2.71,4.37,1.8e-06,1.67906e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
21,1.59,3.76,0.84,1.8e-06,1.34408e-06,32,32,28,29266053,6.19888e-06,5.95674e-13,147.679
22,2.89,0.3,4.26,1.8e-06,1.57058e-06,32,27,32,29077153,9.53674e-06,1.76993e-12,142.949
23,3.49,5.18,1.46,1.8e-06,1.52171e-06,32,32,29,29455510,5.72205e-06,5.56559e-13,147.974
24,0.66,0.61,3.72,1.8e-06,1.42455e-06,32,28,32,29350037,6.67572e-06,8.4005e-13,146.186
25,4.57,2.39,4.21,1.8e-06,1.56105e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
26,2.42,0.51,4.11,1.8e-06,1.36197e-06,32,28,32,29350037,6.67572e-06,8.4005e-13,146.186
27,4.76,0.99,1,1.8e-06,1.35541e-06,32,32,28,29266053,6.19888e-06,5.95674e-13,147.679
28,4.82,2.62,3.09,1.8e-06,1.33634e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
29,1.5,0.03,1.72,1.8e-06,1.41501e-06,32,24,30,28268351,2.67029e-05,1.94786e-11,132.533
30,3.86,0.47,3.19,1.8e-06,1.31667e-06,32,28,32,29350037,6.67572e-06,8.4005e-13,146.186
31,5.13,5.35,2.08,1.8e-06,1.43945e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
32,2.22,5.3,4.49,1.8e-06,1.29938e-06,32,32,31,29471368,5.72205e-06,5.55341e-13,147.983
33,5.25,2.67,1.09,1.8e-06,1.67072e-06,32,32,28,29266053,6.19888e-06,5.95674e-13,147.679
34,4.15,4.1,2.84,1.8e-06,1.41323e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
35,1.26,0.02,1.31,1.8e-06,1.31011e-06,32,24,29,28252604,2.67029e-05,1.94791e-11,132.533
36,1.7,0.08,0.79,1.8e-06,1.46508e-06,32,26,28,28600217,1.00136e-05,2.43521e-12,141.564
37,1.66,2.44,1.01,1.8e-06,1.35303e-06,32,32,28,29266053,6.19888e-06,5.95674e-13,147.679
38,2.6,2.58,0.74,1.8e-06,1.16825e-06,32,32,28,29266053,6.19888e-06,5.95674e-13,147.679
39,1.52,1.9,0.6,1.8e-06,1.46151e-06,32,32,27,28613280,8.10623e-06,7.67065e-13,146.581
40,1.27,4.94,4.58,1.8e-06,1.75655e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
41,3.9,3.54,5.41,1.8e-06,1.29938e-06,32,32,31,29471368,5.72205e-06,5.55341e-13,147.983
42,0.18,2.75,0.48,1.8e-06,1.25408e-06,32,32,27,28613280,8.10623e-06,7.67065e-13,146.581
43,2.63,2.57,3.2,1.8e-06,1.22607e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
44,0.77,0.77,4.9,1.8e-06,1.07229e-06,32,29,32,29459226,5.72205e-06,5.65768e-13,147.903
45,1.81,3.96,3.59,1.8e-06,1.43588e-06,32,32,30,29471257,5.72205e-06,5.55341e-13,147.983
