,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,4.15,4.1,2.84,1.86831,1.74109,14,13,9,6075894,0.52384,0.00439569,48.9987
1,2.7,2.41,4.26,1.86831,1.45063,13,12,10,6720082,0.316281,0.00144307,53.8361
2,2.6,2.58,0.74,1.86831,1.84313,14,12,7,4268566,2.01101,0.0542692,38.0834
3,2.6,4.96,5.16,1.86831,1.68125,13,13,10,6969903,0.275345,0.00122843,54.5355
4,0.99,2.9,2.65,1.86831,1.74938,12,12,9,5749804,0.568343,0.0047497,48.6623
5,5.22,2.46,4.02,1.86831,1.39406,14,12,10,6758280,0.316281,0.00141592,53.9186
6,3.71,5.52,1.4,1.86831,1.80297,14,13,8,5226191,1.04523,0.015965,43.3973
7,2.42,0.51,4.11,1.86831,1.61313,13,9,10,5980538,0.886618,0.018852,42.6754
8,5.27,2.71,4.37,1.86831,1.51359,14,12,10,6758280,0.316281,0.00141592,53.9186
9,4.58,2.31,2.06,1.86831,1.67906,14,11,9,5577820,0.590766,0.00545786,48.0587
10,0.43,2.59,2.36,1.86831,1.5575,11,12,9,5712594,0.528267,0.00521605,48.2555
11,5.18,4.98,3.05,1.86831,1.11422,15,13,10,7046795,0.271465,0.00118623,54.6873
12,0.62,2.05,1.77,1.86831,1.475,11,11,9,5464341,0.574426,0.00606553,47.6003
13,1.26,0.02,1.31,1.86831,1.70875,12,5,8,3272689,14.2097,3.38325,20.1356
14,1.74,2.16,2.27,1.86831,1.72938,13,11,9,5539622,0.58686,0.00549133,48.0322
15,1.81,3.96,3.59,1.86831,1.20156,13,13,10,6969903,0.275345,0.00122843,54.5355
16,0.81,2.72,4.54,1.86831,1.52562,12,12,10,6682011,0.297543,0.00156332,53.4885
17,2.4,1.83,3.28,1.86831,1.08625,14,12,10,6758280,0.316281,0.00141592,53.9186
18,5.19,3.27,3.45,1.86831,1.3118,15,12,10,6796974,0.316281,0.00140089,53.9649
19,2.36,5.54,0.76,1.86831,1.18,13,13,8,5187993,1.04523,0.0159855,43.3917
20,1.66,2.44,1.01,1.86831,1.72375,12,11,8,4651848,1.08817,0.0171776,43.0793
21,3.76,1.36,3.21,1.86831,1.20125,14,11,10,6510027,0.372817,0.00226178,51.8845
22,4.17,3.38,2.62,1.86831,1.79766,14,12,9,5826073,0.551704,0.00460851,48.7934
23,2.22,5.3,4.49,1.86831,1.52312,13,13,10,6969903,0.275345,0.00122843,54.5355
24,4.82,2.62,3.09,1.86831,1.13766,15,12,10,6796974,0.316281,0.00140089,53.9649
25,2.63,2.57,3.2,1.86831,1.16234,14,12,10,6758280,0.316281,0.00141592,53.9186
26,5.21,4.88,2.13,1.86831,1.75641,14,12,9,5826073,0.551704,0.00460851,48.7934
27,5.4,2.71,1.7,1.86831,1.23094,15,12,9,5864767,0.551704,0.00459667,48.8045
28,2.21,2.52,4.76,1.86831,1.57406,13,12,10,6720082,0.316281,0.00144307,53.8361
29,0.89,2.98,2.87,1.86831,1.86312,12,12,9,5749804,0.568343,0.0047497,48.6623
30,2.89,0.3,4.26,1.86831,1.41016,14,9,10,6018736,0.886618,0.0188248,42.6816
31,4.76,0.99,1,1.86831,1.56938,14,10,8,4481606,1.20575,0.0203854,42.3358
