c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0.89,2.98,2.87,47.803,26.385,26,24,21,125501689,7.39551,4.46875,127.087
5.19,3.27,3.45,47.803,34.7888,28,23,21,124184881,7.47656,4.53688,127.022
2.6,4.96,5.16,47.803,47.54,26,24,21,125501689,7.39551,4.46875,127.087
2.4,1.83,3.28,47.803,30.5,27,23,21,123916541,7.41406,4.54098,127.018
2.22,5.3,4.49,47.803,42.33,26,24,21,125501689,7.39551,4.46875,127.087
2.35,0.66,3.75,47.803,35.8675,27,21,21,120209565,10.1855,6.12079,125.721
2.12,2.38,0.2,47.803,30.89,27,23,17,65304305,111.41,1062.62,103.325
3.41,3,0.7,47.803,25.8262,28,24,19,96727585,29.7593,70.9205,115.081
3.05,0.76,2.9,47.803,27.0025,27,22,21,122063053,8.39307,4.85561,126.727
2.42,0.51,4.11,47.803,41.645,27,20,21,118356077,16.3896,11.1689,123.109
3.05,0.54,3.28,47.803,31.3225,27,21,21,120209565,10.1855,6.12079,125.721
1.74,2.16,2.27,47.803,45.83,26,22,20,107139321,14.7822,18.1584,120.998
1.54,1.12,3.2,47.803,30.85,26,22,21,121794713,8.33203,4.86283,126.72
2.52,3.64,5.3,47.803,46.67,27,24,21,125770029,7.16895,4.46153,127.094
2.36,5.54,0.76,47.803,30.45,27,24,19,96459245,29.6968,70.9274,115.081
2,0.42,4.79,47.803,46.04,26,20,21,118087737,16.3896,11.1761,123.106
5.18,4.98,3.05,47.803,30.0275,28,24,21,126038369,7.20801,4.45742,127.098
5.22,2.46,4.02,47.803,37.7325,28,23,21,124184881,7.47656,4.53688,127.022
0.99,2.9,2.65,47.803,45.795,26,24,20,110846297,14.0063,17.7628,121.094
0.66,0.61,3.72,47.803,35.3,25,21,21,119672885,10.4355,6.17533,125.683
2.63,2.57,3.2,47.803,31.3975,27,23,21,123916541,7.41406,4.54098,127.018
2.21,2.52,4.76,47.803,44.225,26,23,21,123648201,7.66406,4.5482,127.011
4.57,2.39,4.21,47.803,39.6025,27,23,21,123916541,7.41406,4.54098,127.018
