,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,0.66,0.61,3.72,4780.3,4602.88,17,14,14,14420791,1356.16,40196.8,87.5472
1,0.43,2.59,2.36,4780.3,3962.88,16,15,14,15836089,1212.97,37738.2,87.8213
2,4.57,2.39,4.21,4780.3,2913.6,20,16,15,26221946,571.49,9879.37,93.6418
3,1.66,2.44,1.01,4780.3,4779.52,18,14,13,10236991,2095.58,53248.1,86.3261
4,5.19,3.27,3.45,4780.3,4536,20,16,14,18758111,970.255,18566.8,90.9017
5,3.05,0.54,3.28,4780.3,4659.84,19,13,14,13696102,1968.53,65006.8,85.4595
6,4.15,4.1,2.84,4780.3,4223.36,19,16,14,18489771,1002.25,18731,90.8635
7,3.71,5.52,1.4,4780.3,4517.76,19,16,13,14037631,1716.34,34482.6,88.2131
8,2.22,5.3,4.49,4780.3,3119.36,19,17,15,27807094,482.008,8777.15,94.1556
9,1.26,0.02,1.31,4780.3,3333.12,17,10,13,7034754,13012.8,390442,77.6735
10,1.06,2.22,1.48,4780.3,4439.04,17,15,13,11652289,1851.16,42664.3,87.2885
11,2.4,1.83,3.28,4780.3,4449.28,19,15,14,16641109,1064.25,23533.7,89.8722
12,1.7,0.08,0.79,4780.3,4761.6,16,11,12,4496304,7440.49,261885,79.408
13,2.86,5.03,5.19,4780.3,4128,19,16,15,25953606,555.49,10052.3,93.5664
14,2.8,3.5,2.57,4780.3,4602.88,19,15,14,16641109,1064.25,23533.7,89.8722
15,0.81,2.72,4.54,4780.3,3124.48,18,16,15,25685266,603.49,10718.4,93.2878
16,2.6,4.96,5.16,4780.3,4078.08,19,16,15,25953606,555.49,10052.3,93.5664
17,5.4,2.71,1.7,4780.3,3301.12,20,15,14,16909449,1048.25,23369.7,89.9026
18,5.22,2.46,4.02,4780.3,2771.52,21,16,15,26490286,563.49,9839.53,93.6594
19,1.27,4.94,4.58,4780.3,3139.84,18,17,15,27538754,530.008,9443.28,93.8379
20,4.76,0.99,1,4780.3,4380.16,19,13,13,9243962,2754.91,80689.9,84.5209
21,4.82,2.62,3.09,4780.3,4659.84,20,15,14,16909449,1048.25,23369.7,89.9026
22,1.81,3.96,3.59,4780.3,4298.88,19,17,14,20343259,938.178,17453.5,91.1703
23,2.89,0.3,4.26,4780.3,2888,20,13,15,21428277,1776.24,56259.2,86.0872
24,2.6,2.58,0.74,4780.3,4684.8,18,15,12,9374858,4050.71,68485.2,85.2331
