,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,0.62,2.05,1.77,0.47803,0.258125,32,30,27,226165009,0.5,0.00110871,163.141
1,3.05,0.54,3.28,0.47803,0.467578,32,28,27,222458033,0.5,0.00120476,162.78
2,2.12,2.38,0.2,0.47803,0.45375,32,30,23,167543441,1.75098,0.27697,139.165
3,2.36,5.54,0.76,0.47803,0.441719,32,31,25,198707713,0.625,0.0173416,151.198
4,1.59,3.76,0.84,0.47803,0.461797,32,31,25,198707713,0.625,0.0173416,151.198
5,1.27,4.94,4.58,0.47803,0.334766,32,31,28,242673889,0.5,0.000287591,169.001
6,4.58,2.31,2.06,0.47803,0.329375,32,30,27,226165009,0.5,0.00110871,163.141
7,1.81,3.96,3.59,0.47803,0.269453,32,31,28,242673889,0.5,0.000287591,169.001
8,5.27,2.71,4.37,0.47803,0.356641,32,30,28,240820401,0.5,0.000292289,168.931
9,0.89,2.98,2.87,0.47803,0.412266,32,30,27,226165009,0.5,0.00110871,163.141
10,1.54,1.12,3.2,0.47803,0.447031,32,29,27,224311521,0.5,0.00112846,163.064
11,2.7,2.41,4.26,0.47803,0.325,32,30,28,240820401,0.5,0.000292289,168.931
12,4.76,0.99,1,0.47803,0.349063,32,28,26,207802641,0.5,0.00444037,157.115
13,2.6,4.96,5.16,0.47803,0.420312,32,30,28,240820401,0.5,0.000292289,168.931
14,1.66,2.44,1.01,0.47803,0.303594,32,30,26,211509617,0.5,0.00434389,157.21
15,3.05,0.76,2.9,0.47803,0.433828,32,28,27,222458033,0.5,0.00120476,162.78
16,0.18,2.75,0.48,0.47803,0.288594,30,30,25,196317545,0.625,0.0173549,151.195
17,2.22,5.3,4.49,0.47803,0.339375,32,31,28,242673889,0.5,0.000287591,169.001
18,1.52,1.9,0.6,0.47803,0.37125,32,29,25,195000737,0.625,0.0173661,151.192
19,0.43,2.59,2.36,0.47803,0.342187,31,30,27,225896669,0.5,0.00115737,162.954
20,4.17,3.38,2.62,0.47803,0.412891,32,30,27,226165009,0.5,0.00110871,163.141
21,2.21,2.52,4.76,0.47803,0.354141,32,30,28,240820401,0.5,0.000292289,168.931
22,2.4,1.83,3.28,0.47803,0.457344,32,30,27,226165009,0.5,0.00110871,163.141
23,4.82,2.62,3.09,0.47803,0.464844,32,30,27,226165009,0.5,0.00110871,163.141
24,0.81,2.72,4.54,0.47803,0.332578,32,30,28,240820401,0.5,0.000292289,168.931
25,1.06,2.22,1.48,0.47803,0.447656,32,29,26,209656129,0.5,0.00436327,157.191
26,1.74,2.16,2.27,0.47803,0.364844,32,29,27,224311521,0.5,0.00112846,163.064
27,0.66,0.61,3.72,0.47803,0.275781,32,28,28,237113425,0.5,0.000388546,167.695
28,1.5,0.03,1.72,0.47803,0.471719,32,24,26,200388689,1,0.0306561,148.724
29,1.26,0.02,1.31,0.47803,0.417344,32,22,26,196681713,3.79346,0.425315,137.302
30,2.63,2.57,3.2,0.47803,0.460703,32,30,27,226165009,0.5,0.00110871,163.141
31,4.57,2.39,4.21,0.47803,0.336172,32,30,28,240820401,0.5,0.000292289,168.931
32,0.99,2.9,2.65,0.47803,0.384297,32,30,27,226165009,0.5,0.00110871,163.141
33,2.6,2.58,0.74,0.47803,0.470938,32,29,25,195000737,0.625,0.0173661,151.192
34,1.7,0.08,0.79,0.47803,0.448281,32,25,25,187586785,0.75,0.0239265,149.8
35,3.71,5.52,1.4,0.47803,0.465234,32,30,26,211509617,0.5,0.00434389,157.21
36,5.22,2.46,4.02,0.47803,0.330469,32,30,28,240820401,0.5,0.000292289,168.931
37,3.41,3,0.7,0.47803,0.423516,32,30,25,196854225,0.625,0.017346,151.197
38,1.92,3.19,2.62,0.47803,0.392344,32,30,27,226165009,0.5,0.00110871,163.141
39,2.52,3.64,5.3,0.47803,0.407813,32,30,28,240820401,0.5,0.000292289,168.931
40,5.19,3.27,3.45,0.47803,0.307266,32,30,28,240820401,0.5,0.000292289,168.931
41,4.15,4.1,2.84,0.47803,0.451484,32,30,27,226165009,0.5,0.00110871,163.141
42,5.21,4.88,2.13,0.47803,0.345078,32,31,27,228018497,0.5,0.00110411,163.159
43,5.18,4.98,3.05,0.47803,0.460625,32,31,27,228018497,0.5,0.00110411,163.159
44,5.4,2.71,1.7,0.47803,0.297031,32,30,27,226165009,0.5,0.00110871,163.141
