c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
1.5,3.81,2.55,822.836,786.72,25,22,19,159278577,231.25,4567.66,121.709
3.05,0.54,3.28,822.836,501.16,26,20,20,170495333,163,1567.03,126.355
5.21,4.88,2.13,822.836,633.78,27,23,19,161668745,232.375,4543.93,121.732
1.59,3.76,0.84,822.836,502.96,25,23,18,146476673,464.5,18156.9,115.716
2.7,2.41,4.26,822.836,633.2,26,22,20,174202309,122.5,1162.44,127.653
1.92,3.19,2.62,822.836,788.16,25,22,19,159278577,231.25,4567.66,121.709
1.66,2.44,1.01,822.836,608.48,25,22,18,144623185,474.5,18177.7,115.711
5.4,2.71,1.7,822.836,532.72,27,22,19,159815257,235.25,4563.88,121.713
2.6,4.96,5.16,822.836,760.64,25,23,20,175787457,119,1144.3,127.721
1.7,0.08,0.79,822.836,500,25,17,18,135355745,1097.25,45724.8,111.705
1.52,1.9,0.6,822.836,748.16,25,21,17,128114305,904,72704.4,109.691
3.76,1.36,3.21,822.836,512.96,26,21,20,172348821,136.5,1243.01,127.362
2.21,2.52,4.76,822.836,707.6,25,22,20,173933969,122.5,1164.65,127.644
4.37,4.26,1.78,822.836,532.58,27,23,19,161668745,232.375,4543.93,121.732
0.81,2.72,4.54,822.836,681.12,24,22,20,173665629,122.5,1176.03,127.602
3.05,0.76,2.9,822.836,803.24,26,21,19,157693429,247,4645.44,121.636
1.06,2.22,1.48,822.836,458.4,25,22,19,159278577,231.25,4567.66,121.709
3.51,3.19,4.82,822.836,733.08,26,22,20,174202309,122.5,1162.44,127.653
2.35,0.66,3.75,822.836,573.88,26,20,20,170495333,163,1567.03,126.355
4.82,2.62,3.09,822.836,489,27,22,20,174470649,123.5,1161.57,127.656
5.27,2.71,4.37,822.836,656.62,27,22,20,174470649,123.5,1161.57,127.656
5.18,4.98,3.05,822.836,480.44,27,23,20,176324137,120,1141.21,127.733
0.62,2.05,1.77,822.836,528.64,24,22,19,159010237,235.25,4576.21,121.701
2.6,2.58,0.74,822.836,471.84,26,22,18,144891525,470.5,18176.9,115.711
5.26,0.38,1.83,822.836,576.28,27,19,19,154254793,344,6262.75,120.339
2.52,3.64,5.3,822.836,815.04,25,22,20,173933969,122.5,1164.65,127.644
0.66,0.61,3.72,822.836,564.8,24,20,20,169958653,166.5,1580.62,126.318
5.35,1.15,4.08,822.836,606.54,27,21,20,172617161,137.5,1242.13,127.365
1.27,4.94,4.58,822.836,685.6,24,23,20,175519117,119,1155.67,127.678
4.76,0.99,1,822.836,648.24,27,20,18,141452889,514,18580.7,115.616
2.4,1.83,3.28,822.836,488,26,22,20,174202309,122.5,1162.44,127.653
2.22,5.3,4.49,822.836,677.28,25,23,20,175787457,119,1144.3,127.721
0.51,2.27,2.84,822.836,816,23,22,19,158741897,226,4622.42,121.658
4.58,2.31,2.06,822.836,619.6,26,22,19,159546917,235.25,4564.04,121.713
2.63,2.57,3.2,822.836,502.36,26,22,20,174202309,122.5,1162.44,127.653
0.43,2.59,2.36,822.836,700.8,23,22,19,158741897,226,4622.42,121.658
3.2,4.45,3.25,822.836,500,26,23,20,176055797,119,1142.09,127.729
4.17,3.38,2.62,822.836,795.56,26,22,19,159546917,235.25,4564.04,121.713
4.84,2.16,2.67,822.836,772,26,22,19,159546917,235.25,4564.04,121.713
1.26,0.02,1.31,822.836,772.8,24,15,18,131380429,3493.5,459291,101.685
5.13,5.35,2.08,822.836,628.34,27,23,19,161668745,232.375,4543.93,121.732
2.12,2.38,0.2,822.836,494.24,26,22,16,115580741,1863.5,290418,103.676
2.68,1.49,0.83,822.836,531.04,26,21,18,143038037,467,18256.6,115.692
0.99,2.9,2.65,822.836,787.04,24,22,19,159010237,235.25,4576.21,121.701
1.19,5,2.53,822.836,746.72,24,23,19,160863725,240.375,4556.27,121.72
2.36,5.54,0.76,822.836,487.2,26,23,18,146745013,460.5,18156.1,115.716
5.15,3.88,1.64,822.836,492.22,27,23,19,161668745,232.375,4543.93,121.732
2.42,0.51,4.11,822.836,666.32,26,19,20,168641845,255.188,2858.81,123.744
2.52,4.22,4.26,822.836,690.4,26,22,20,174202309,122.5,1162.44,127.653
1.5,2.1,0.48,822.836,570.72,25,22,17,129967793,924,72621.4,109.696
1.5,0.03,1.72,822.836,513.76,25,16,19,148157649,1770.5,114907,107.703
1.18,0.65,2.1,822.836,639.68,24,20,19,155303261,284.5,4979.98,121.334
1.72,3.6,3.39,822.836,505.28,25,23,20,175787457,119,1144.3,127.721
0.77,0.57,3.78,822.836,569.12,24,20,20,169958653,166.5,1580.62,126.318
3,0.36,2.36,822.836,708.32,26,19,19,153986453,344,6262.92,120.339
4.15,4.1,2.84,822.836,809.24,26,23,19,161400405,232.375,4544.09,121.732
3.86,0.47,3.19,822.836,476.2,27,20,20,170763673,164,1566.15,126.358
5,0.27,5.51,822.836,794.4,26,19,20,168641845,255.188,2858.81,123.744
3.01,2.23,1.43,822.836,815.56,26,22,18,144891525,470.5,18176.9,115.711
1.74,2.16,2.27,822.836,733.28,25,21,19,157425089,245,4649.06,121.633
4.33,4.49,3.85,822.836,581.96,26,23,20,176055797,119,1142.09,127.729
1.81,3.96,3.59,822.836,537.36,25,23,20,175787457,119,1144.3,127.721
5.24,4.6,4.38,822.836,644.72,27,23,20,176324137,120,1141.21,127.733
3.79,4.35,2.02,822.836,601.88,26,23,19,161400405,232.375,4544.09,121.732
4.57,2.39,4.21,822.836,633.64,26,22,20,174202309,122.5,1162.44,127.653
0.79,2.7,2.91,822.836,471.52,24,22,20,173665629,122.5,1176.03,127.602
0.81,0.9,0.23,822.836,599.2,24,20,16,111337085,1839.75,290847,103.67
4.02,2.76,2.92,822.836,470.12,27,22,20,174470649,123.5,1161.57,127.656
1.54,1.84,2.06,822.836,657.44,25,21,19,157425089,245,4649.06,121.633
0.79,3.69,4.04,822.836,647.84,24,22,20,173665629,122.5,1176.03,127.602
3.27,5.06,2.94,822.836,470.36,26,23,20,176055797,119,1142.09,127.729
5.08,3.34,2.71,822.836,820.96,26,22,19,159546917,235.25,4564.04,121.713
5.31,0.18,1.08,822.836,655.74,27,18,18,137745913,684,25051.3,114.318
3.49,1.6,5.02,822.836,758.92,26,21,20,172348821,136.5,1243.01,127.362
3.06,5.51,0.55,822.836,663.6,26,23,17,132089621,929,72595.9,109.697
0.89,2.98,2.87,822.836,789.52,25,23,19,161132065,232.375,4547.71,121.728
0.18,2.75,0.48,822.836,591.04,22,22,17,129162773,932,72819.8,109.684
5.19,3.27,3.45,822.836,556.62,27,22,20,174470649,123.5,1161.57,127.656
0.82,5.06,1,822.836,606.08,24,23,18,146208333,464.5,18171.1,115.712
1.39,2.47,3.76,822.836,571.44,25,22,20,173933969,122.5,1164.65,127.644
2.82,0.67,1.6,822.836,506.64,26,20,19,155839941,286.5,4967.8,121.345
2,0.42,4.79,822.836,736.64,25,19,20,168373505,257.188,2861.01,123.741
5.25,2.67,1.09,822.836,654.02,27,22,18,145159865,472.5,18175.3,115.711
0.46,0.31,5.53,822.836,801.92,23,19,20,167836825,269.188,2912.9,123.663
0.39,0.71,0.47,822.836,584.64,23,20,17,125724137,911.75,73083.8,109.668
1.86,4.68,0.9,822.836,550.56,25,23,18,146476673,464.5,18156.9,115.716
4.8,4.83,3.57,822.836,543.84,27,23,20,176324137,120,1141.21,127.733
5.09,1.02,0.05,822.836,485.06,27,21,14,84684809,7549,4.63592e+06,91.6449
2.19,0.41,4.26,822.836,667.76,25,19,20,168373505,257.188,2861.01,123.741
2.02,0.96,3.77,822.836,560.16,25,21,20,172080481,136.5,1245.21,127.354
3.07,3.28,1.68,822.836,547.32,26,22,19,159546917,235.25,4564.04,121.713
4.98,4.65,3.7,822.836,557.96,27,23,20,176324137,120,1141.21,127.733
1.84,2.76,3.61,822.836,565.12,25,22,20,173933969,122.5,1164.65,127.644
3.6,1.48,4.79,822.836,722.24,26,21,20,172348821,136.5,1243.01,127.362
0.19,2.73,5.53,822.836,819.52,21,22,20,172860609,187.25,2054,125.18
1.15,0.9,2.98,822.836,448.24,25,21,20,172080481,136.5,1245.21,127.354
0.39,1.72,4.71,822.836,725.44,23,21,20,171543801,144.5,1297.1,127.177
0.26,2.44,2.82,822.836,816.64,22,22,19,158473557,250,4782.96,121.509
3.9,3.54,5.41,822.836,821.36,26,22,20,174202309,122.5,1162.44,127.653
3.71,5.52,1.4,822.836,819.96,26,23,18,146745013,460.5,18156.1,115.716
4.03,2.59,1.9,822.836,585.4,26,22,19,159546917,235.25,4564.04,121.713
0.98,3.11,1.46,822.836,805.12,25,23,18,146476673,464.5,18156.9,115.716
4.98,3.36,3.43,822.836,556.52,27,22,20,174470649,123.5,1161.57,127.656
