,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,0.66,0.61,3.72,1377.89,1.32,1,0,0,38,13778.9,72.6143,64.1741
1,2.21,2.52,4.76,1377.89,4.42,1,0,0,38,13778.9,72.6143,64.1741
2,4.17,3.38,2.62,1377.89,8.34,1,0,0,38,13778.9,72.6143,64.1741
3,4.57,2.39,4.21,1377.89,9.14,1,0,0,38,13778.9,72.6143,64.1741
4,0.62,2.05,1.77,1377.89,1.24,1,0,0,38,13778.9,72.6143,64.1741
5,5.18,4.98,3.05,1377.89,10.36,1,0,0,38,13778.9,72.6143,64.1741
6,2.6,4.96,5.16,1377.89,5.2,1,0,0,38,13778.9,72.6143,64.1741
7,1.92,3.19,2.62,1377.89,3.84,1,0,0,38,13778.9,72.6143,64.1741
8,5.19,3.27,3.45,1377.89,10.38,1,0,0,38,13778.9,72.6143,64.1741
9,3.05,0.54,3.28,1377.89,6.1,1,0,0,38,13778.9,72.6143,64.1741
10,0.18,2.75,0.48,1377.89,0.36,1,0,0,38,13778.9,72.6143,64.1741
11,3.41,3,0.7,1377.89,6.82,1,0,0,38,13778.9,72.6143,64.1741
12,5.21,4.88,2.13,1377.89,10.42,1,0,0,38,13778.9,72.6143,64.1741
13,2.6,2.58,0.74,1377.89,5.2,1,0,0,38,13778.9,72.6143,64.1741
14,0.99,2.9,2.65,1377.89,1.98,1,0,0,38,13778.9,72.6143,64.1741
15,5.4,2.71,1.7,1377.89,10.8,1,0,0,38,13778.9,72.6143,64.1741
16,1.7,0.08,0.79,1377.89,3.4,1,0,0,38,13778.9,72.6143,64.1741
17,0.43,2.59,2.36,1377.89,0.86,1,0,0,38,13778.9,72.6143,64.1741
18,5.22,2.46,4.02,1377.89,10.44,1,0,0,38,13778.9,72.6143,64.1741
19,2.63,2.57,3.2,1377.89,5.26,1,0,0,38,13778.9,72.6143,64.1741
20,1.66,2.44,1.01,1377.89,3.32,1,0,0,38,13778.9,72.6143,64.1741
21,1.5,3.81,2.55,1377.89,3,1,0,0,38,13778.9,72.6143,64.1741
22,1.74,2.16,2.27,1377.89,3.48,1,0,0,38,13778.9,72.6143,64.1741
23,3.71,5.52,1.4,1377.89,7.42,1,0,0,38,13778.9,72.6143,64.1741
24,2.42,0.51,4.11,1377.89,4.84,1,0,0,38,13778.9,72.6143,64.1741
25,2.89,0.3,4.26,1377.89,5.78,1,0,0,38,13778.9,72.6143,64.1741
26,2.52,3.64,5.3,1377.89,5.04,1,0,0,38,13778.9,72.6143,64.1741
27,1.27,4.94,4.58,1377.89,2.54,1,0,0,38,13778.9,72.6143,64.1741
28,1.81,3.96,3.59,1377.89,3.62,1,0,0,38,13778.9,72.6143,64.1741
29,2.35,0.66,3.75,1377.89,4.7,1,0,0,38,13778.9,72.6143,64.1741
30,2.4,1.83,3.28,1377.89,4.8,1,0,0,38,13778.9,72.6143,64.1741
31,1.59,3.76,0.84,1377.89,3.18,1,0,0,38,13778.9,72.6143,64.1741
32,4.76,0.99,1,1377.89,9.52,1,0,0,38,13778.9,72.6143,64.1741
33,1.54,1.12,3.2,1377.89,3.08,1,0,0,38,13778.9,72.6143,64.1741
34,2.36,5.54,0.76,1377.89,4.72,1,0,0,38,13778.9,72.6143,64.1741
35,5.27,2.71,4.37,1377.89,10.54,1,0,0,38,13778.9,72.6143,64.1741
36,4.82,2.62,3.09,1377.89,9.64,1,0,0,38,13778.9,72.6143,64.1741
37,0.81,2.72,4.54,1377.89,1.62,1,0,0,38,13778.9,72.6143,64.1741
38,1.52,1.9,0.6,1377.89,3.04,1,0,0,38,13778.9,72.6143,64.1741
39,4.58,2.31,2.06,1377.89,9.16,1,0,0,38,13778.9,72.6143,64.1741
40,4.15,4.1,2.84,1377.89,8.3,1,0,0,38,13778.9,72.6143,64.1741
