,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,1.06,2.22,1.48,0.137789,0.1325,5,0,0,190,13778.9,72.6143,64.1741
1,5.21,4.88,2.13,0.137789,0.0814063,8,0,0,304,13778.9,72.6143,64.1741
2,5.4,2.71,1.7,0.137789,0.084375,8,0,0,304,13778.9,72.6143,64.1741
3,5.19,3.27,3.45,0.137789,0.0810938,8,0,0,304,13778.9,72.6143,64.1741
4,1.5,3.81,2.55,0.137789,0.09375,6,0,0,228,13778.9,72.6143,64.1741
5,0.18,2.75,0.48,0.137789,0.09,3,0,0,114,13778.9,72.6143,64.1741
6,2.12,2.38,0.2,0.137789,0.1325,6,0,0,228,13778.9,72.6143,64.1741
7,4.57,2.39,4.21,0.137789,0.0714063,8,0,0,304,13778.9,72.6143,64.1741
8,2.21,2.52,4.76,0.137789,0.0690625,7,0,0,266,13778.9,72.6143,64.1741
9,1.54,1.12,3.2,0.137789,0.09625,6,0,0,228,13778.9,72.6143,64.1741
10,0.81,2.72,4.54,0.137789,0.10125,5,0,0,190,13778.9,72.6143,64.1741
11,2.36,5.54,0.76,0.137789,0.07375,7,0,0,266,13778.9,72.6143,64.1741
12,2.89,0.3,4.26,0.137789,0.0903125,7,0,0,266,13778.9,72.6143,64.1741
13,4.76,0.99,1,0.137789,0.074375,8,0,0,304,13778.9,72.6143,64.1741
14,0.43,2.59,2.36,0.137789,0.1075,4,0,0,152,13778.9,72.6143,64.1741
15,3.71,5.52,1.4,0.137789,0.115938,7,0,0,266,13778.9,72.6143,64.1741
16,3.05,0.54,3.28,0.137789,0.0953125,7,0,0,266,13778.9,72.6143,64.1741
17,1.26,0.02,1.31,0.137789,0.07875,6,0,0,228,13778.9,72.6143,64.1741
18,5.22,2.46,4.02,0.137789,0.0815625,8,0,0,304,13778.9,72.6143,64.1741
19,2.6,4.96,5.16,0.137789,0.08125,7,0,0,266,13778.9,72.6143,64.1741
20,1.59,3.76,0.84,0.137789,0.099375,6,0,0,228,13778.9,72.6143,64.1741
21,2.35,0.66,3.75,0.137789,0.0734375,7,0,0,266,13778.9,72.6143,64.1741
22,4.17,3.38,2.62,0.137789,0.130313,7,0,0,266,13778.9,72.6143,64.1741
23,1.81,3.96,3.59,0.137789,0.113125,6,0,0,228,13778.9,72.6143,64.1741
24,3.01,2.23,1.43,0.137789,0.0940625,7,0,0,266,13778.9,72.6143,64.1741
25,2.52,3.64,5.3,0.137789,0.07875,7,0,0,266,13778.9,72.6143,64.1741
26,0.62,2.05,1.77,0.137789,0.0775,5,0,0,190,13778.9,72.6143,64.1741
27,1.7,0.08,0.79,0.137789,0.10625,6,0,0,228,13778.9,72.6143,64.1741
28,3.79,4.35,2.02,0.137789,0.118437,7,0,0,266,13778.9,72.6143,64.1741
29,0.66,0.61,3.72,0.137789,0.0825,5,0,0,190,13778.9,72.6143,64.1741
30,2.6,2.58,0.74,0.137789,0.08125,7,0,0,266,13778.9,72.6143,64.1741
31,5.07,0.45,3.22,0.137789,0.0792188,8,0,0,304,13778.9,72.6143,64.1741
32,2.22,5.3,4.49,0.137789,0.069375,7,0,0,266,13778.9,72.6143,64.1741
33,0.89,2.98,2.87,0.137789,0.11125,5,0,0,190,13778.9,72.6143,64.1741
34,2.4,1.83,3.28,0.137789,0.075,7,0,0,266,13778.9,72.6143,64.1741
