,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,2.22,5.3,4.49,0.035801,0.0346875,8,0,0,224,37.926,101.519,11.0125
1,5.18,4.98,3.05,0.035801,0.0202344,10,0,0,280,37.926,101.519,11.0125
2,2.6,2.58,0.74,0.035801,0.0203125,9,0,0,252,37.926,101.519,11.0125
3,0.89,2.98,2.87,0.035801,0.0278125,7,0,0,196,37.926,101.519,11.0125
4,2.21,2.52,4.76,0.035801,0.0345313,8,0,0,224,37.926,101.519,11.0125
5,2.35,0.66,3.75,0.035801,0.0183594,9,0,0,252,37.926,101.519,11.0125
6,4.15,4.1,2.84,0.035801,0.0324219,9,0,0,252,37.926,101.519,11.0125
7,3.27,5.06,2.94,0.035801,0.0255469,9,0,0,252,37.926,101.519,11.0125
8,1.92,3.19,2.62,0.035801,0.03,8,0,0,224,37.926,101.519,11.0125
9,4.76,0.99,1,0.035801,0.0185938,10,0,0,280,37.926,101.519,11.0125
10,0.99,2.9,2.65,0.035801,0.0309375,7,0,0,196,37.926,101.519,11.0125
11,5.22,2.46,4.02,0.035801,0.0203906,10,0,0,280,37.926,101.519,11.0125
12,5.21,4.88,2.13,0.035801,0.0203516,10,0,0,280,37.926,101.519,11.0125
13,4.58,2.31,2.06,0.035801,0.0357812,9,0,0,252,37.926,101.519,11.0125
14,4.82,2.62,3.09,0.035801,0.0188281,10,0,0,280,37.926,101.519,11.0125
15,1.27,4.94,4.58,0.035801,0.0198437,8,0,0,224,37.926,101.519,11.0125
16,4.17,3.38,2.62,0.035801,0.0325781,9,0,0,252,37.926,101.519,11.0125
17,1.06,2.22,1.48,0.035801,0.033125,7,0,0,196,37.926,101.519,11.0125
18,1.7,0.08,0.79,0.035801,0.0265625,8,0,0,224,37.926,101.519,11.0125
19,1.81,3.96,3.59,0.035801,0.0282812,8,0,0,224,37.926,101.519,11.0125
20,5.4,2.71,1.7,0.035801,0.0210938,10,0,0,280,37.926,101.519,11.0125
21,1.59,3.76,0.84,0.035801,0.0248438,8,0,0,224,37.926,101.519,11.0125
22,3.41,3,0.7,0.035801,0.0266406,9,0,0,252,37.926,101.519,11.0125
23,3,0.36,2.36,0.035801,0.0234375,9,0,0,252,37.926,101.519,11.0125
24,1.5,3.81,2.55,0.035801,0.0234375,8,0,0,224,37.926,101.519,11.0125
25,1.5,0.03,1.72,0.035801,0.0234375,8,0,0,224,37.926,101.519,11.0125
26,2.89,0.3,4.26,0.035801,0.0225781,9,0,0,252,37.926,101.519,11.0125
27,2.42,0.51,4.11,0.035801,0.0189063,9,0,0,252,37.926,101.519,11.0125
