,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,0.66,0.61,3.72,0.995347,0.66,2,0,0,76,101820,2.88723e+09,5.35468
1,3.05,0.54,3.28,0.995347,0.7625,4,0,0,152,101820,2.88723e+09,5.35468
2,1.59,3.76,0.84,0.995347,0.795,3,0,0,114,101820,2.88723e+09,5.35468
3,1.26,0.02,1.31,0.995347,0.63,3,0,0,114,101820,2.88723e+09,5.35468
4,2.6,2.58,0.74,0.995347,0.65,4,0,0,152,101820,2.88723e+09,5.35468
5,5.18,4.98,3.05,0.995347,0.6475,5,0,0,190,101820,2.88723e+09,5.35468
6,4.82,2.62,3.09,0.995347,0.6025,5,0,0,190,101820,2.88723e+09,5.35468
7,3.71,5.52,1.4,0.995347,0.9275,4,0,0,152,101820,2.88723e+09,5.35468
8,2.12,2.38,0.2,0.995347,0.53,4,0,0,152,101820,2.88723e+09,5.35468
9,1.81,3.96,3.59,0.995347,0.905,3,0,0,114,101820,2.88723e+09,5.35468
10,1.92,3.19,2.62,0.995347,0.96,3,0,0,114,101820,2.88723e+09,5.35468
11,2.52,3.64,5.3,0.995347,0.63,4,0,0,152,101820,2.88723e+09,5.35468
12,0.89,2.98,2.87,0.995347,0.89,2,0,0,76,101820,2.88723e+09,5.35468
13,1.74,2.16,2.27,0.995347,0.87,3,0,0,114,101820,2.88723e+09,5.35468
14,4.58,2.31,2.06,0.995347,0.5725,5,0,0,190,101820,2.88723e+09,5.35468
15,0.99,2.9,2.65,0.995347,0.99,2,0,0,76,101820,2.88723e+09,5.35468
16,0.43,2.59,2.36,0.995347,0.86,1,0,0,38,101820,2.88723e+09,5.35468
17,5.4,2.71,1.7,0.995347,0.675,5,0,0,190,101820,2.88723e+09,5.35468
18,5.21,4.88,2.13,0.995347,0.65125,5,0,0,190,101820,2.88723e+09,5.35468
19,2.63,2.57,3.2,0.995347,0.6575,4,0,0,152,101820,2.88723e+09,5.35468
20,1.5,0.03,1.72,0.995347,0.75,3,0,0,114,101820,2.88723e+09,5.35468
21,3.05,0.76,2.9,0.995347,0.7625,4,0,0,152,101820,2.88723e+09,5.35468
22,4.76,0.99,1,0.995347,0.595,5,0,0,190,101820,2.88723e+09,5.35468
23,2.22,5.3,4.49,0.995347,0.555,4,0,0,152,101820,2.88723e+09,5.35468
24,2.89,0.3,4.26,0.995347,0.7225,4,0,0,152,101820,2.88723e+09,5.35468
25,2.6,4.96,5.16,0.995347,0.65,4,0,0,152,101820,2.88723e+09,5.35468
