,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,0.19,2.73,5.53,708.463,708.39,2,6,32,1814,104517,1.0145e+10,-23.0562
1,1.47,3.76,5.52,708.463,707.765,4,5,32,1898,104517,1.0145e+10,-23.0562
2,4.78,4.94,5.53,708.463,708.448,7,6,32,2101,104517,1.0145e+10,-23.0562
3,5.51,3.91,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
4,5.11,3.14,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
5,2.08,1.38,5.53,708.463,708.445,6,4,32,1972,104517,1.0145e+10,-23.0562
6,0.73,2.27,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
7,4.95,4.48,5.51,708.463,707.637,5,4,32,1923,104517,1.0145e+10,-23.0562
8,3.97,0.45,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
9,1.57,3.84,5.5,708.463,708.1,2,4,32,1746,104517,1.0145e+10,-23.0562
10,2.23,3.02,5.52,708.463,708.43,4,4,32,1864,104517,1.0145e+10,-23.0562
11,0.58,2.31,5.52,708.463,708.297,2,4,32,1746,104517,1.0145e+10,-23.0562
12,1.28,1.89,5.53,708.463,708.396,5,5,32,1957,104517,1.0145e+10,-23.0562
13,4.06,0.61,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
14,4.33,5.4,5.53,708.463,708.279,7,7,32,2135,104517,1.0145e+10,-23.0562
15,1.62,1.66,5.53,708.463,708.452,5,5,32,1957,104517,1.0145e+10,-23.0562
16,3.15,4.43,5.53,708.463,708.372,6,7,32,2074,104517,1.0145e+10,-23.0562
17,1.1,3.53,5.52,708.463,708.101,3,5,32,1841,104517,1.0145e+10,-23.0562
18,4.09,4.22,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
19,0.2,5.35,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
20,4.2,1.38,5.53,708.463,708.275,7,5,32,2067,104517,1.0145e+10,-23.0562
21,2.31,2.89,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
22,2.5,4.98,5.53,708.463,708.308,6,7,32,2074,104517,1.0145e+10,-23.0562
23,4.14,2.42,5.51,708.463,707.955,4,4,32,1864,104517,1.0145e+10,-23.0562
24,4.61,1.61,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
25,0.1,3.93,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
26,2,4.79,5.5,708.463,707.198,3,4,32,1807,104517,1.0145e+10,-23.0562
27,1.43,3.35,5.5,708.463,707.698,2,4,32,1746,104517,1.0145e+10,-23.0562
28,0.2,3.77,5.53,708.463,708.358,2,7,32,1848,104517,1.0145e+10,-23.0562
29,0.91,3.45,5.51,708.463,707.963,2,4,32,1746,104517,1.0145e+10,-23.0562
30,1.29,4.78,5.53,708.463,708.461,5,6,32,1991,104517,1.0145e+10,-23.0562
31,4.4,4.34,5.52,708.463,708.203,5,5,32,1957,104517,1.0145e+10,-23.0562
32,3.22,1.53,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
33,2.19,0.95,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
34,2.56,4.21,5.52,708.463,708.366,4,5,32,1898,104517,1.0145e+10,-23.0562
35,0.56,3.92,5.52,708.463,708.17,2,5,32,1780,104517,1.0145e+10,-23.0562
36,2.32,1.73,5.52,708.463,708.152,4,4,32,1864,104517,1.0145e+10,-23.0562
37,3.32,1.89,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
38,3.01,4.19,5.53,708.463,708.347,6,7,32,2074,104517,1.0145e+10,-23.0562
39,3,0.79,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
40,4.21,1.84,5.52,708.463,708.073,5,4,32,1923,104517,1.0145e+10,-23.0562
41,4.85,3.38,5.51,708.463,707.337,5,4,32,1923,104517,1.0145e+10,-23.0562
42,2.14,2.92,5.51,708.463,708.15,3,4,32,1807,104517,1.0145e+10,-23.0562
43,0.39,5.01,5.51,708.463,708.093,1,4,32,1685,104517,1.0145e+10,-23.0562
44,3.13,2.34,5.53,708.463,708.378,6,6,32,2040,104517,1.0145e+10,-23.0562
45,3.99,4.3,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
46,3.83,0.57,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
47,1.58,3.27,5.52,708.463,708.167,4,4,32,1864,104517,1.0145e+10,-23.0562
48,0.34,2.76,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
49,0.5,4.6,5.51,708.463,708.43,1,4,32,1685,104517,1.0145e+10,-23.0562
50,2.36,4.54,5.52,708.463,708.308,4,5,32,1898,104517,1.0145e+10,-23.0562
51,0.99,5.11,5.49,708.463,707.958,1,4,32,1685,104517,1.0145e+10,-23.0562
52,3.27,2.68,5.52,708.463,708.047,5,4,32,1923,104517,1.0145e+10,-23.0562
53,4.56,1.95,5.52,708.463,708.188,5,4,32,1923,104517,1.0145e+10,-23.0562
54,0.39,4.4,5.51,708.463,707.94,1,4,32,1685,104517,1.0145e+10,-23.0562
55,1.14,5.48,5.49,708.463,706.37,2,4,32,1746,104517,1.0145e+10,-23.0562
56,3.4,4.74,5.51,708.463,708.165,4,4,32,1864,104517,1.0145e+10,-23.0562
57,1.33,3.71,5.5,708.463,707.587,2,4,32,1746,104517,1.0145e+10,-23.0562
58,5.47,3.38,5.52,708.463,708.088,6,4,32,1972,104517,1.0145e+10,-23.0562
59,1.8,4.6,5.49,708.463,707.47,2,4,32,1746,104517,1.0145e+10,-23.0562
60,0.75,2.81,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
61,4.96,1.73,5.52,708.463,708.232,5,4,32,1923,104517,1.0145e+10,-23.0562
62,4.42,3.86,5.51,708.463,708.455,4,4,32,1864,104517,1.0145e+10,-23.0562
63,5.36,2.79,5.52,708.463,707.928,6,4,32,1972,104517,1.0145e+10,-23.0562
64,4.75,0.74,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
65,2.24,3.9,5.51,708.463,707.375,4,4,32,1864,104517,1.0145e+10,-23.0562
66,0.1,3.77,5.52,708.463,707.902,1,4,32,1685,104517,1.0145e+10,-23.0562
67,1.83,2.48,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
68,0.29,3.97,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
69,5.2,1.56,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
70,2.82,5.02,5.5,708.463,708.075,3,4,32,1807,104517,1.0145e+10,-23.0562
71,0.32,4.6,5.51,708.463,707.71,1,4,32,1685,104517,1.0145e+10,-23.0562
72,4.96,2.97,5.53,708.463,708.335,7,6,32,2101,104517,1.0145e+10,-23.0562
73,1.43,4.87,5.5,708.463,708.078,2,4,32,1746,104517,1.0145e+10,-23.0562
74,5.4,3.14,5.52,708.463,708.02,6,4,32,1972,104517,1.0145e+10,-23.0562
75,4.13,1.71,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
76,1.38,2.05,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
77,4.77,3.58,5.53,708.463,708.362,7,6,32,2101,104517,1.0145e+10,-23.0562
78,5.52,2.25,5.52,708.463,707.813,6,4,32,1972,104517,1.0145e+10,-23.0562
79,0.25,0.74,5.53,708.463,708.275,3,4,32,1807,104517,1.0145e+10,-23.0562
80,0.94,3.45,5.53,708.463,708.29,5,6,32,1991,104517,1.0145e+10,-23.0562
81,1.53,1.03,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
82,4.68,0.72,5.53,708.463,708.313,7,4,32,2033,104517,1.0145e+10,-23.0562
83,0.57,2.59,5.53,708.463,708.449,4,5,32,1898,104517,1.0145e+10,-23.0562
84,2.19,2.06,5.52,708.463,708.17,4,4,32,1864,104517,1.0145e+10,-23.0562
85,4.1,5.14,5.5,708.463,707.335,4,4,32,1864,104517,1.0145e+10,-23.0562
86,0.41,1.81,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
87,1.49,2.66,5.53,708.463,708.379,5,6,32,1991,104517,1.0145e+10,-23.0562
88,0.59,2.13,5.52,708.463,708.272,2,4,32,1746,104517,1.0145e+10,-23.0562
89,2.38,4.2,5.5,708.463,707.43,3,4,32,1807,104517,1.0145e+10,-23.0562
90,2.48,2.55,5.52,708.463,708.438,4,4,32,1864,104517,1.0145e+10,-23.0562
91,3.03,1.28,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
92,1.46,2.65,5.53,708.463,708.37,5,6,32,1991,104517,1.0145e+10,-23.0562
93,1.52,4.43,5.5,708.463,708.147,2,4,32,1746,104517,1.0145e+10,-23.0562
94,1.21,4,5.52,708.463,708.27,3,5,32,1841,104517,1.0145e+10,-23.0562
95,1.84,1.49,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
96,4.37,4.36,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
97,2.92,2.22,5.52,708.463,707.845,5,4,32,1923,104517,1.0145e+10,-23.0562
98,5.18,3.82,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
99,4.68,0.71,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
100,1.07,3.81,5.53,708.463,708.346,5,6,32,1991,104517,1.0145e+10,-23.0562
101,0.14,2.33,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
102,4.35,5.44,5.49,708.463,708.43,3,4,32,1807,104517,1.0145e+10,-23.0562
103,1.75,3.43,5.52,708.463,708.292,4,4,32,1864,104517,1.0145e+10,-23.0562
104,1.52,4.06,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
105,0.38,1.76,5.52,708.463,707.76,2,4,32,1746,104517,1.0145e+10,-23.0562
106,4.13,4.85,5.51,708.463,707.951,4,5,32,1898,104517,1.0145e+10,-23.0562
107,0.59,5.29,5.5,708.463,707.682,1,4,32,1685,104517,1.0145e+10,-23.0562
108,0.33,0.78,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
109,0.12,2.78,5.53,708.463,708.254,2,6,32,1814,104517,1.0145e+10,-23.0562
110,2.38,2.5,5.52,708.463,708.375,4,4,32,1864,104517,1.0145e+10,-23.0562
111,1.34,2.91,5.53,708.463,708.357,5,6,32,1991,104517,1.0145e+10,-23.0562
112,4.86,2.98,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
113,3.78,4.71,5.49,708.463,707.678,3,4,32,1807,104517,1.0145e+10,-23.0562
114,1.84,2.18,5.53,708.463,708.342,6,5,32,2006,104517,1.0145e+10,-23.0562
115,4.76,2.39,5.53,708.463,708.436,7,5,32,2067,104517,1.0145e+10,-23.0562
116,4.19,4.92,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
117,1.3,3.72,5.53,708.463,708.398,5,6,32,1991,104517,1.0145e+10,-23.0562
118,5.46,2.32,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
119,0.58,5.51,5.53,708.463,708.302,4,7,32,1966,104517,1.0145e+10,-23.0562
120,2.59,0.91,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
121,2.15,5.33,5.51,708.463,708.097,3,5,32,1841,104517,1.0145e+10,-23.0562
122,0.62,5.11,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
123,3.53,0.64,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
124,2.22,2.91,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
125,2.48,3.47,5.52,708.463,708.234,4,5,32,1898,104517,1.0145e+10,-23.0562
126,3.78,4.75,5.5,708.463,707.078,4,4,32,1864,104517,1.0145e+10,-23.0562
127,1.42,3.03,5.53,708.463,708.385,5,6,32,1991,104517,1.0145e+10,-23.0562
128,2.43,5.49,5.49,708.463,706.523,3,4,32,1807,104517,1.0145e+10,-23.0562
129,2.92,3.85,5.52,708.463,707.772,5,5,32,1957,104517,1.0145e+10,-23.0562
130,5.02,5.21,5.52,708.463,707.839,6,5,32,2006,104517,1.0145e+10,-23.0562
131,4.59,4.44,5.52,708.463,708.262,5,5,32,1957,104517,1.0145e+10,-23.0562
132,3.35,2.01,5.53,708.463,708.384,6,6,32,2040,104517,1.0145e+10,-23.0562
133,2.22,4.16,5.52,708.463,708.19,4,5,32,1898,104517,1.0145e+10,-23.0562
134,3.63,3.83,5.51,708.463,708.053,4,4,32,1864,104517,1.0145e+10,-23.0562
135,2.64,4.57,5.51,708.463,707.743,4,4,32,1864,104517,1.0145e+10,-23.0562
136,5.32,4.25,5.5,708.463,707.722,4,4,32,1864,104517,1.0145e+10,-23.0562
137,1.64,4.86,5.52,708.463,707.988,4,5,32,1898,104517,1.0145e+10,-23.0562
138,4.32,2.09,5.52,708.463,708.162,5,4,32,1923,104517,1.0145e+10,-23.0562
139,4.57,4.43,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
140,1.63,3.21,5.52,708.463,708.177,4,4,32,1864,104517,1.0145e+10,-23.0562
141,2.08,3.27,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
142,1.53,4.81,5.5,708.463,708.263,2,4,32,1746,104517,1.0145e+10,-23.0562
143,5.12,4.93,5.52,708.463,708.456,5,5,32,1957,104517,1.0145e+10,-23.0562
144,1.01,1.1,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
145,0.7,3.72,5.5,708.463,707.73,1,4,32,1685,104517,1.0145e+10,-23.0562
146,4.26,5.25,5.49,708.463,708.293,3,4,32,1807,104517,1.0145e+10,-23.0562
147,1.39,4.97,5.51,708.463,707.913,3,4,32,1807,104517,1.0145e+10,-23.0562
148,0.52,4.94,5.5,708.463,707.315,1,4,32,1685,104517,1.0145e+10,-23.0562
149,0.58,4.14,5.51,708.463,707.475,2,4,32,1746,104517,1.0145e+10,-23.0562
150,1.08,3.61,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
151,2.31,2.84,5.52,708.463,708.425,4,4,32,1864,104517,1.0145e+10,-23.0562
152,3.92,1.46,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
153,0.63,5.06,5.5,708.463,707.785,1,4,32,1685,104517,1.0145e+10,-23.0562
154,2.15,4.18,5.52,708.463,708.157,4,5,32,1898,104517,1.0145e+10,-23.0562
156,2.84,1.08,5.53,708.463,708.33,6,5,32,2006,104517,1.0145e+10,-23.0562
157,4.27,3.49,5.51,708.463,708.288,4,4,32,1864,104517,1.0145e+10,-23.0562
158,5.21,0.65,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
159,4.84,2.54,5.53,708.463,708.46,7,5,32,2067,104517,1.0145e+10,-23.0562
160,0.48,4.33,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
161,3,2.31,5.52,708.463,707.888,5,4,32,1923,104517,1.0145e+10,-23.0562
162,1.43,1.77,5.52,708.463,708.433,3,4,32,1807,104517,1.0145e+10,-23.0562
163,2.15,4.47,5.52,708.463,708.194,4,5,32,1898,104517,1.0145e+10,-23.0562
164,1.52,4.71,5.5,708.463,708.217,2,4,32,1746,104517,1.0145e+10,-23.0562
165,3.09,2.48,5.52,708.463,707.952,5,4,32,1923,104517,1.0145e+10,-23.0562
166,2.73,3.7,5.5,708.463,707.655,3,4,32,1807,104517,1.0145e+10,-23.0562
167,0.64,3.15,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
168,1.48,4.15,5.51,708.463,707.797,3,4,32,1807,104517,1.0145e+10,-23.0562
169,3.07,3.55,5.51,708.463,707.702,4,4,32,1864,104517,1.0145e+10,-23.0562
170,1.93,5.4,5.53,708.463,708.25,6,7,32,2074,104517,1.0145e+10,-23.0562
171,4.7,2.56,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
172,2.8,3.92,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
173,1.17,1.35,5.53,708.463,708.302,5,5,32,1957,104517,1.0145e+10,-23.0562
174,5.08,3.17,5.51,708.463,707.342,5,4,32,1923,104517,1.0145e+10,-23.0562
175,1.76,5.12,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
176,5.37,0.71,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
177,2.58,4.94,5.52,708.463,707.822,5,5,32,1957,104517,1.0145e+10,-23.0562
178,1.16,4.99,5.5,708.463,707.568,2,4,32,1746,104517,1.0145e+10,-23.0562
179,1.72,0.2,5.54,708.463,709.12,32,32,32,4365,104517,1.0145e+10,-23.0562
180,2.35,5.32,5.51,708.463,707.785,4,4,32,1864,104517,1.0145e+10,-23.0562
181,4.68,2.78,5.51,708.463,708.315,4,4,32,1864,104517,1.0145e+10,-23.0562
182,2.23,2.74,5.53,708.463,708.461,6,5,32,2006,104517,1.0145e+10,-23.0562
