,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,1.81,3.96,3.59,3e-06,1.72615e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
1,4.58,2.31,2.06,3e-06,2.18391e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
2,2.63,2.57,3.2,3e-06,2.50816e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
3,1.5,0.03,1.72,3e-06,2.86102e-06,21,0,0,798,0.00301153,2.24852e-09,36.0568
4,5.21,4.88,2.13,3e-06,2.48432e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
5,2.7,2.41,4.26,3e-06,2.57492e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
6,4.82,2.62,3.09,3e-06,2.29836e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
7,2.12,2.38,0.2,3e-06,2.02179e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
8,0.99,2.9,2.65,3e-06,1.88828e-06,21,0,0,798,0.00301153,2.24852e-09,36.0568
9,3.41,3,0.7,3e-06,1.62601e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
10,4.57,2.39,4.21,3e-06,2.17915e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
11,2.89,0.3,4.26,3e-06,2.75612e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
12,1.74,2.16,2.27,3e-06,1.65939e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
13,3.05,0.54,3.28,3e-06,2.90871e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
14,2.21,2.52,4.76,3e-06,2.10762e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
15,0.43,2.59,2.36,3e-06,1.64032e-06,20,0,0,760,0.00301153,2.24852e-09,36.0568
16,5.4,2.71,1.7,3e-06,2.57492e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
17,2.22,5.3,4.49,3e-06,2.11716e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
18,0.66,0.61,3.72,3e-06,2.5177e-06,20,0,0,760,0.00301153,2.24852e-09,36.0568
19,3.05,0.76,2.9,3e-06,2.90871e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
20,3.76,1.36,3.21,3e-06,1.79291e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
21,5.27,2.71,4.37,3e-06,2.51293e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
22,2.35,0.66,3.75,3e-06,2.24113e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
23,4.15,4.1,2.84,3e-06,1.97887e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
24,4.17,3.38,2.62,3e-06,1.98841e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
25,1.26,0.02,1.31,3e-06,2.40326e-06,21,0,0,798,0.00301153,2.24852e-09,36.0568
26,1.66,2.44,1.01,3e-06,1.5831e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
27,1.52,1.9,0.6,3e-06,2.89917e-06,21,0,0,798,0.00301153,2.24852e-09,36.0568
28,0.18,2.75,0.48,3e-06,2.74658e-06,18,0,0,684,0.00301153,2.24852e-09,36.0568
29,2.6,2.58,0.74,3e-06,2.47955e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
30,2.36,5.54,0.76,3e-06,2.25067e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
31,1.5,3.81,2.55,3e-06,2.86102e-06,21,0,0,798,0.00301153,2.24852e-09,36.0568
32,1.54,1.12,3.2,3e-06,2.93732e-06,21,0,0,798,0.00301153,2.24852e-09,36.0568
33,1.06,2.22,1.48,3e-06,2.02179e-06,21,0,0,798,0.00301153,2.24852e-09,36.0568
34,0.81,2.72,4.54,3e-06,1.54495e-06,21,0,0,798,0.00301153,2.24852e-09,36.0568
35,1.59,3.76,0.84,3e-06,1.51634e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
36,5.19,3.27,3.45,3e-06,2.47478e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
37,1.7,0.08,0.79,3e-06,1.62125e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
38,3.76,5.4,4.98,3e-06,1.79291e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
39,2.42,0.51,4.11,3e-06,2.30789e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
40,3.9,3.54,5.41,3e-06,1.85966e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
41,2.08,2.24,0.44,3e-06,1.98364e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
42,3.07,3.28,1.68,3e-06,2.92778e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
43,5.35,1.15,4.08,3e-06,2.55108e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
44,3.71,5.52,1.4,3e-06,1.76907e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
45,1.27,4.94,4.58,3e-06,2.42233e-06,21,0,0,798,0.00301153,2.24852e-09,36.0568
46,5.22,2.46,4.02,3e-06,2.48909e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
47,5.18,4.98,3.05,3e-06,2.47002e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
48,1.97,2.4,0.52,3e-06,1.87874e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
49,0.62,2.05,1.77,3e-06,2.36511e-06,20,0,0,760,0.00301153,2.24852e-09,36.0568
50,5.15,3.88,1.64,3e-06,2.45571e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
51,4.76,0.99,1,3e-06,2.26974e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
52,2.4,1.83,3.28,3e-06,2.28882e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
53,0.19,2.73,5.53,3e-06,2.89917e-06,18,0,0,684,0.00301153,2.24852e-09,36.0568
54,1.84,2.76,3.61,3e-06,1.75476e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
55,2.52,3.64,5.3,3e-06,2.40326e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
56,2.6,4.96,5.16,3e-06,2.47955e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
57,3.6,1.48,4.79,3e-06,1.71661e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
58,1.92,3.19,2.62,3e-06,1.83105e-06,22,0,0,836,0.00301153,2.24852e-09,36.0568
59,4.84,2.16,2.67,3e-06,2.30789e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
60,1.15,0.9,2.98,3e-06,2.19345e-06,21,0,0,798,0.00301153,2.24852e-09,36.0568
61,0.89,2.98,2.87,3e-06,1.69754e-06,21,0,0,798,0.00301153,2.24852e-09,36.0568
62,5.25,2.67,1.09,3e-06,2.5034e-06,23,0,0,874,0.00301153,2.24852e-09,36.0568
