,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,4.76,0.99,1,0.001488,0.00116211,14,0,0,532,0.0148813,4.18231e-08,37.2387
1,2.52,3.64,5.3,0.001488,0.00123047,13,0,0,494,0.0148813,4.18231e-08,37.2387
2,1.81,3.96,3.59,0.001488,0.000883789,13,0,0,494,0.0148813,4.18231e-08,37.2387
3,3.71,5.52,1.4,0.001488,0.000905762,14,0,0,532,0.0148813,4.18231e-08,37.2387
4,5.4,2.71,1.7,0.001488,0.00131836,14,0,0,532,0.0148813,4.18231e-08,37.2387
5,0.18,2.75,0.48,0.001488,0.00140625,9,0,0,342,0.0148813,4.18231e-08,37.2387
6,1.59,3.76,0.84,0.001488,0.000776367,13,0,0,494,0.0148813,4.18231e-08,37.2387
7,3.41,3,0.7,0.001488,0.00083252,14,0,0,532,0.0148813,4.18231e-08,37.2387
8,2.12,2.38,0.2,0.001488,0.00103516,13,0,0,494,0.0148813,4.18231e-08,37.2387
9,1.66,2.44,1.01,0.001488,0.000810547,13,0,0,494,0.0148813,4.18231e-08,37.2387
10,0.62,2.05,1.77,0.001488,0.00121094,11,0,0,418,0.0148813,4.18231e-08,37.2387
11,1.26,0.02,1.31,0.001488,0.00123047,12,0,0,456,0.0148813,4.18231e-08,37.2387
12,2.36,5.54,0.76,0.001488,0.00115234,13,0,0,494,0.0148813,4.18231e-08,37.2387
13,2.42,0.51,4.11,0.001488,0.00118164,13,0,0,494,0.0148813,4.18231e-08,37.2387
14,0.81,2.72,4.54,0.001488,0.000791016,12,0,0,456,0.0148813,4.18231e-08,37.2387
15,1.06,2.22,1.48,0.001488,0.00103516,12,0,0,456,0.0148813,4.18231e-08,37.2387
16,4.58,2.31,2.06,0.001488,0.00111816,14,0,0,532,0.0148813,4.18231e-08,37.2387
17,2.7,2.41,4.26,0.001488,0.00131836,13,0,0,494,0.0148813,4.18231e-08,37.2387
18,2.35,0.66,3.75,0.001488,0.00114746,13,0,0,494,0.0148813,4.18231e-08,37.2387
19,2.6,4.96,5.16,0.001488,0.00126953,13,0,0,494,0.0148813,4.18231e-08,37.2387
