,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,1.74,2.16,2.27,0.000357,0.000212402,15,0,0,420,37.9026,186.992,8.35109
1,3.71,5.52,1.4,0.000357,0.00022644,16,0,0,448,37.9026,186.992,8.35109
2,1.54,1.12,3.2,0.000357,0.000187988,15,0,0,420,37.9026,186.992,8.35109
3,4.57,2.39,4.21,0.000357,0.000278931,16,0,0,448,37.9026,186.992,8.35109
4,4.58,2.31,2.06,0.000357,0.000279541,16,0,0,448,37.9026,186.992,8.35109
5,1.66,2.44,1.01,0.000357,0.000202637,15,0,0,420,37.9026,186.992,8.35109
6,0.81,2.72,4.54,0.000357,0.000197754,14,0,0,392,37.9026,186.992,8.35109
7,2.89,0.3,4.26,0.000357,0.000352783,15,0,0,420,37.9026,186.992,8.35109
8,3.05,0.54,3.28,0.000357,0.000186157,16,0,0,448,37.9026,186.992,8.35109
9,2.12,2.38,0.2,0.000357,0.000258789,15,0,0,420,37.9026,186.992,8.35109
10,0.99,2.9,2.65,0.000357,0.000241699,14,0,0,392,37.9026,186.992,8.35109
11,4.15,4.1,2.84,0.000357,0.000253296,16,0,0,448,37.9026,186.992,8.35109
12,1.81,3.96,3.59,0.000357,0.000220947,15,0,0,420,37.9026,186.992,8.35109
13,3.41,3,0.7,0.000357,0.00020813,16,0,0,448,37.9026,186.992,8.35109
14,5.35,1.15,4.08,0.000357,0.000326538,16,0,0,448,37.9026,186.992,8.35109
15,2.35,0.66,3.75,0.000357,0.000286865,15,0,0,420,37.9026,186.992,8.35109
16,1.7,0.08,0.79,0.000357,0.00020752,15,0,0,420,37.9026,186.992,8.35109
17,1.5,3.81,2.55,0.000357,0.000183105,15,0,0,420,37.9026,186.992,8.35109
18,2.36,5.54,0.76,0.000357,0.000288086,15,0,0,420,37.9026,186.992,8.35109
19,3.05,0.76,2.9,0.000357,0.000186157,16,0,0,448,37.9026,186.992,8.35109
20,2.52,3.64,5.3,0.000357,0.000307617,15,0,0,420,37.9026,186.992,8.35109
21,5.31,0.18,1.08,0.000357,0.000324097,16,0,0,448,37.9026,186.992,8.35109
22,0.18,2.75,0.48,0.000357,0.000351563,11,0,0,308,37.9026,186.992,8.35109
23,0.66,0.61,3.72,0.000357,0.000322266,13,0,0,364,37.9026,186.992,8.35109
24,1.5,0.03,1.72,0.000357,0.000183105,15,0,0,420,37.9026,186.992,8.35109
25,5.13,5.35,2.08,0.000357,0.00031311,16,0,0,448,37.9026,186.992,8.35109
26,3.51,3.19,4.82,0.000357,0.000214233,16,0,0,448,37.9026,186.992,8.35109
27,5.27,2.71,4.37,0.000357,0.000321655,16,0,0,448,37.9026,186.992,8.35109
28,2.21,2.52,4.76,0.000357,0.000269775,15,0,0,420,37.9026,186.992,8.35109
29,1.52,1.9,0.6,0.000357,0.000185547,15,0,0,420,37.9026,186.992,8.35109
30,5.4,2.71,1.7,0.000357,0.00032959,16,0,0,448,37.9026,186.992,8.35109
31,1.72,3.6,3.39,0.000357,0.000209961,15,0,0,420,37.9026,186.992,8.35109
32,3.76,1.36,3.21,0.000357,0.000229492,16,0,0,448,37.9026,186.992,8.35109
33,2.6,2.58,0.74,0.000357,0.000317383,15,0,0,420,37.9026,186.992,8.35109
34,1.26,0.02,1.31,0.000357,0.000307617,14,0,0,392,37.9026,186.992,8.35109
35,1.92,3.19,2.62,0.000357,0.000234375,15,0,0,420,37.9026,186.992,8.35109
36,2.4,1.83,3.28,0.000357,0.000292969,15,0,0,420,37.9026,186.992,8.35109
37,5.19,3.27,3.45,0.000357,0.000316772,16,0,0,448,37.9026,186.992,8.35109
38,1.47,3.76,5.52,0.000357,0.000179443,15,0,0,420,37.9026,186.992,8.35109
39,5.18,4.98,3.05,0.000357,0.000316162,16,0,0,448,37.9026,186.992,8.35109
40,1.27,4.94,4.58,0.000357,0.000310059,14,0,0,392,37.9026,186.992,8.35109
41,3.07,3.28,1.68,0.000357,0.000187378,16,0,0,448,37.9026,186.992,8.35109
42,3.49,5.18,1.46,0.000357,0.000213013,16,0,0,448,37.9026,186.992,8.35109
