,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,2.63,2.57,3.2,0,7.82311e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
1,2.7,2.41,4.26,0,8.72649e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
2,0.89,2.98,2.87,0,6.27711e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
3,4.17,3.38,2.62,0,9.47155e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
4,1.66,2.44,1.01,0,4.75906e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
5,1.81,3.96,3.59,0,8.71718e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
6,2.52,3.64,5.3,0,1.0673e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
7,2.35,0.66,3.75,0,6.29574e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
8,2.42,0.51,4.11,0,6.55651e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
9,5.21,4.88,2.13,0,1.13808e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
10,3.05,0.76,2.9,0,6.24917e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
11,2.89,0.3,4.26,0,6.93835e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
12,3.76,1.36,3.21,0,7.75792e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
13,1.74,2.16,2.27,0,5.74626e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
14,1.5,3.81,2.55,0,7.3202e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
15,4.58,2.31,2.06,0,8.33534e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
16,5.18,4.98,3.05,0,1.23028e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
17,3.05,0.54,3.28,0,6.39819e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
18,2.4,1.83,3.28,0,6.99423e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
19,1.5,0.03,1.72,0,3.0268e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
20,1.59,3.76,0.84,0,5.76489e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
21,4.57,2.39,4.21,0,1.04029e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
22,5.4,2.71,1.7,0,9.13627e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
23,0.18,2.75,0.48,0,3.17581e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
24,0.81,2.72,4.54,0,7.51577e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
25,3.71,5.52,1.4,0,9.89996e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
26,4.15,4.1,2.84,0,1.03284e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
27,2.6,4.96,5.16,0,1.18464e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
28,0.99,2.9,2.65,0,6.09085e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
29,0.66,0.61,3.72,0,4.6473e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
30,4.84,2.16,2.67,0,9.00589e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
31,5.19,3.27,3.45,0,1.10921e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
32,1.26,0.02,1.31,0,2.41213e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
33,2.21,2.52,4.76,0,8.83825e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
34,1.52,1.9,0.6,0,3.74392e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
35,4.82,2.62,3.09,0,9.80683e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
36,4.76,0.99,1,0,6.28643e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
37,1.97,2.4,0.52,0,4.55417e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
38,1.19,5,2.53,0,8.12113e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
39,5.27,2.71,4.37,0,1.15018e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
40,3.51,3.19,4.82,0,1.07288e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
41,1.27,4.94,4.58,0,1.0049e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
42,3.07,3.28,1.68,0,7.47852e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
43,2.6,2.58,0.74,0,5.51343e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
44,2.12,2.38,0.2,0,4.37722e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
45,1.54,1.12,3.2,0,5.45755e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
46,5.07,0.45,3.22,0,8.13976e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
47,3.79,4.35,2.02,0,9.46224e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
48,0.81,0.9,0.23,0,1.80677e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
49,1.7,0.08,0.79,0,2.3935e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
50,3.27,5.06,2.94,0,1.0496e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
51,2.8,3.5,2.57,0,8.26083e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
52,2.36,5.54,0.76,0,8.06525e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
53,3.86,0.47,3.19,0,7.00355e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
54,0.46,0.31,5.53,0,5.86733e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
55,1.54,1.84,2.06,0,5.06639e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
56,5.26,0.38,1.83,0,6.95698e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
57,3.96,0.17,1.2,0,4.96395e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
58,1.84,2.76,3.61,0,7.64616e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
59,3.76,5.4,4.98,0,1.31689e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
60,2.52,4.22,4.26,0,1.02445e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
61,2.4,0.24,1.32,0,3.68804e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
62,3.41,3,0.7,0,6.6217e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
63,1.15,0.9,2.98,0,4.68455e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
64,3.06,5.51,0.55,0,8.49366e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
65,2.08,2.24,0.44,0,4.4331e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
66,0.43,2.59,2.36,0,5.01052e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
67,5.13,5.35,2.08,0,1.16974e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
68,3.49,5.18,1.46,0,9.4343e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
69,4.37,4.26,1.78,0,9.69507e-09,32,32,32,19936,0.0016005,6.95936e-10,35.6594
70,4.98,4.65,3.7,0,1.24145e-08,32,32,32,19936,0.0016005,6.95936e-10,35.6594
