,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,1.59,3.76,0.84,0.00016,9.70459e-05,16,0,0,608,0.0016005,6.95936e-10,35.6594
1,3.76,1.36,3.21,0.00016,0.000114746,17,0,0,646,0.0016005,6.95936e-10,35.6594
2,1.74,2.16,2.27,0.00016,0.000106201,16,0,0,608,0.0016005,6.95936e-10,35.6594
3,1.5,3.81,2.55,0.00016,9.15527e-05,16,0,0,608,0.0016005,6.95936e-10,35.6594
4,4.57,2.39,4.21,0.00016,0.000139465,17,0,0,646,0.0016005,6.95936e-10,35.6594
5,2.4,1.83,3.28,0.00016,0.000146484,16,0,0,608,0.0016005,6.95936e-10,35.6594
6,0.18,2.75,0.48,0.00016,8.78906e-05,13,0,0,494,0.0016005,6.95936e-10,35.6594
7,2.35,0.66,3.75,0.00016,0.000143433,16,0,0,608,0.0016005,6.95936e-10,35.6594
8,3.41,3,0.7,0.00016,0.000104065,17,0,0,646,0.0016005,6.95936e-10,35.6594
9,2.63,2.57,3.2,0.00016,8.02612e-05,17,0,0,646,0.0016005,6.95936e-10,35.6594
10,5.21,4.88,2.13,0.00016,0.000158997,17,0,0,646,0.0016005,6.95936e-10,35.6594
11,2.21,2.52,4.76,0.00016,0.000134888,16,0,0,608,0.0016005,6.95936e-10,35.6594
12,2.42,0.51,4.11,0.00016,0.000147705,16,0,0,608,0.0016005,6.95936e-10,35.6594
13,3.05,0.76,2.9,0.00016,9.30786e-05,17,0,0,646,0.0016005,6.95936e-10,35.6594
14,4.82,2.62,3.09,0.00016,0.000147095,17,0,0,646,0.0016005,6.95936e-10,35.6594
15,0.99,2.9,2.65,0.00016,0.00012085,15,0,0,570,0.0016005,6.95936e-10,35.6594
16,4.58,2.31,2.06,0.00016,0.000139771,17,0,0,646,0.0016005,6.95936e-10,35.6594
17,5.19,3.27,3.45,0.00016,0.000158386,17,0,0,646,0.0016005,6.95936e-10,35.6594
18,2.12,2.38,0.2,0.00016,0.000129395,16,0,0,608,0.0016005,6.95936e-10,35.6594
19,4.15,4.1,2.84,0.00016,0.000126648,17,0,0,646,0.0016005,6.95936e-10,35.6594
20,1.27,4.94,4.58,0.00016,0.000155029,15,0,0,570,0.0016005,6.95936e-10,35.6594
21,1.06,2.22,1.48,0.00016,0.000129395,15,0,0,570,0.0016005,6.95936e-10,35.6594
22,3.05,0.54,3.28,0.00016,9.30786e-05,17,0,0,646,0.0016005,6.95936e-10,35.6594
23,2.6,2.58,0.74,0.00016,0.000158691,16,0,0,608,0.0016005,6.95936e-10,35.6594
24,0.43,2.59,2.36,0.00016,0.00010498,14,0,0,532,0.0016005,6.95936e-10,35.6594
25,5.18,4.98,3.05,0.00016,0.000158081,17,0,0,646,0.0016005,6.95936e-10,35.6594
26,0.81,2.72,4.54,0.00016,9.8877e-05,15,0,0,570,0.0016005,6.95936e-10,35.6594
27,2.89,0.3,4.26,0.00016,8.81958e-05,17,0,0,646,0.0016005,6.95936e-10,35.6594
28,0.66,0.61,3.72,0.00016,8.05664e-05,15,0,0,570,0.0016005,6.95936e-10,35.6594
29,5.27,2.71,4.37,0.00016,8.04138e-05,18,0,0,684,0.0016005,6.95936e-10,35.6594
30,2.36,5.54,0.76,0.00016,0.000144043,16,0,0,608,0.0016005,6.95936e-10,35.6594
31,1.5,0.03,1.72,0.00016,9.15527e-05,16,0,0,608,0.0016005,6.95936e-10,35.6594
32,5.4,2.71,1.7,0.00016,8.23975e-05,18,0,0,684,0.0016005,6.95936e-10,35.6594
33,1.66,2.44,1.01,0.00016,0.000101318,16,0,0,608,0.0016005,6.95936e-10,35.6594
34,1.54,1.12,3.2,0.00016,9.39941e-05,16,0,0,608,0.0016005,6.95936e-10,35.6594
35,1.7,0.08,0.79,0.00016,0.00010376,16,0,0,608,0.0016005,6.95936e-10,35.6594
36,1.81,3.96,3.59,0.00016,0.000110474,16,0,0,608,0.0016005,6.95936e-10,35.6594
37,2.7,2.41,4.26,0.00016,8.23975e-05,17,0,0,646,0.0016005,6.95936e-10,35.6594
38,1.26,0.02,1.31,0.00016,0.000153809,15,0,0,570,0.0016005,6.95936e-10,35.6594
39,4.76,0.99,1,0.00016,0.000145264,17,0,0,646,0.0016005,6.95936e-10,35.6594
40,0.62,2.05,1.77,0.00016,0.000151367,14,0,0,532,0.0016005,6.95936e-10,35.6594
41,4.17,3.38,2.62,0.00016,0.000127258,17,0,0,646,0.0016005,6.95936e-10,35.6594
42,3.71,5.52,1.4,0.00016,0.00011322,17,0,0,646,0.0016005,6.95936e-10,35.6594
43,5.22,2.46,4.02,0.00016,0.000159302,17,0,0,646,0.0016005,6.95936e-10,35.6594
44,0.89,2.98,2.87,0.00016,0.000108643,15,0,0,570,0.0016005,6.95936e-10,35.6594
45,2.52,3.64,5.3,0.00016,0.000153809,16,0,0,608,0.0016005,6.95936e-10,35.6594
46,1.52,1.9,0.6,0.00016,9.27734e-05,16,0,0,608,0.0016005,6.95936e-10,35.6594
47,1.92,3.19,2.62,0.00016,0.000117187,16,0,0,608,0.0016005,6.95936e-10,35.6594
48,2.22,5.3,4.49,0.00016,0.000135498,16,0,0,608,0.0016005,6.95936e-10,35.6594
49,2.6,4.96,5.16,0.00016,0.000158691,16,0,0,608,0.0016005,6.95936e-10,35.6594
50,3.9,3.54,5.41,0.00016,0.000119019,17,0,0,646,0.0016005,6.95936e-10,35.6594
51,3.86,0.47,3.19,0.00016,0.000117798,17,0,0,646,0.0016005,6.95936e-10,35.6594
52,0.79,2.7,2.91,0.00016,9.64355e-05,15,0,0,570,0.0016005,6.95936e-10,35.6594
53,2.8,3.5,2.57,0.00016,8.54492e-05,17,0,0,646,0.0016005,6.95936e-10,35.6594
54,2.02,0.96,3.77,0.00016,0.000123291,16,0,0,608,0.0016005,6.95936e-10,35.6594
