,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,5.21,4.88,2.13,47.803,10.42,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
1,1.5,3.81,2.55,47.803,3,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
2,5.4,2.71,1.7,47.803,10.8,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
3,1.26,0.02,1.31,47.803,2.52,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
4,2.6,4.96,5.16,47.803,5.2,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
5,2.89,0.3,4.26,47.803,5.78,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
6,2.63,2.57,3.2,47.803,5.26,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
7,0.81,2.72,4.54,47.803,1.62,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
8,2.42,0.51,4.11,47.803,4.84,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
9,5.27,2.71,4.37,47.803,10.54,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
10,5.22,2.46,4.02,47.803,10.44,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
11,0.62,2.05,1.77,47.803,1.24,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
12,4.57,2.39,4.21,47.803,9.14,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
13,0.18,2.75,0.48,47.803,0.36,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
14,1.27,4.94,4.58,47.803,2.54,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
15,1.7,0.08,0.79,47.803,3.4,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
16,1.5,0.03,1.72,47.803,3,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
17,2.52,3.64,5.3,47.803,5.04,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
18,4.15,4.1,2.84,47.803,8.3,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
19,2.7,2.41,4.26,47.803,5.4,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
20,1.66,2.44,1.01,47.803,3.32,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
21,0.66,0.61,3.72,47.803,1.32,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
22,3.71,5.52,1.4,47.803,7.42,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
23,4.58,2.31,2.06,47.803,9.16,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
24,4.76,0.99,1,47.803,9.52,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
25,2.35,0.66,3.75,47.803,4.7,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
26,3.05,0.54,3.28,47.803,6.1,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
27,0.89,2.98,2.87,47.803,1.78,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
28,0.43,2.59,2.36,47.803,0.86,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
29,2.12,2.38,0.2,47.803,4.24,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
30,1.74,2.16,2.27,47.803,3.48,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
31,4.37,4.26,1.78,47.803,8.74,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
32,0.99,2.9,2.65,47.803,1.98,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
33,5.18,4.98,3.05,47.803,10.36,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
34,1.52,1.9,0.6,47.803,3.04,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
35,1.59,3.76,0.84,47.803,3.18,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
36,2.02,0.96,3.77,47.803,4.04,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
37,2.6,2.58,0.74,47.803,5.2,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
38,1.92,3.19,2.62,47.803,3.84,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
39,1.18,0.65,2.1,47.803,2.36,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
40,4.82,2.62,3.09,47.803,9.64,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
41,3.41,3,0.7,47.803,6.82,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
42,1.81,3.96,3.59,47.803,3.62,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
43,2.36,5.54,0.76,47.803,4.72,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
44,2.22,5.3,4.49,47.803,4.44,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
45,4.84,2.16,2.67,47.803,9.68,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
46,1.54,1.12,3.2,47.803,3.08,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
47,1.54,1.84,2.06,47.803,3.08,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
48,3.79,4.35,2.02,47.803,7.58,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
49,2.68,1.49,0.83,47.803,5.36,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
50,1.19,5,2.53,47.803,2.38,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
51,0.77,0.77,4.9,47.803,1.54,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
52,1.06,2.22,1.48,47.803,2.12,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
53,3.6,1.48,4.79,47.803,7.2,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
54,1.15,0.9,2.98,47.803,2.3,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
55,2.4,0.24,1.32,47.803,4.8,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
56,2.8,3.5,2.57,47.803,5.6,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
57,5.15,3.88,1.64,47.803,10.3,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
58,0.46,0.31,5.53,47.803,0.92,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
59,5.07,0.45,3.22,47.803,10.14,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
60,5.35,1.15,4.08,47.803,10.7,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
61,5.13,5.35,2.08,47.803,10.26,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
62,1.97,2.4,0.52,47.803,3.94,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
63,2.21,2.52,4.76,47.803,4.42,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
64,4.17,3.38,2.62,47.803,8.34,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
65,0.19,2.73,5.53,47.803,0.38,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
66,5.08,3.34,2.71,47.803,10.16,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
67,0.77,0.57,3.78,47.803,1.54,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
68,5,0.27,5.51,47.803,10,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
69,3.47,3.02,0.05,47.803,6.94,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
70,3.07,3.28,1.68,47.803,6.14,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
71,0.51,2.27,2.84,47.803,1.02,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
72,1.72,3.6,3.39,47.803,3.44,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
73,3.2,4.45,3.25,47.803,6.4,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
74,3.76,1.36,3.21,47.803,7.52,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
75,2.4,1.83,3.28,47.803,4.8,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
76,2.52,4.22,4.26,47.803,5.04,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
77,2.08,2.24,0.44,47.803,4.16,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
78,4.02,2.76,2.92,47.803,8.04,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
79,3.51,3.19,4.82,47.803,7.02,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
80,1.97,0.46,0.49,47.803,3.94,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
81,3.05,0.76,2.9,47.803,6.1,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
82,3.27,5.06,2.94,47.803,6.54,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
83,3,0.36,2.36,47.803,6,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
84,1.57,4.84,1.19,47.803,3.14,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
85,5.19,3.27,3.45,47.803,10.38,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
86,3.96,0.17,1.2,47.803,7.92,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
87,0.13,1.76,4.11,47.803,0.26,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
88,3.19,3.27,0.14,47.803,6.38,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
89,3.09,2.15,2.24,47.803,6.18,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
90,4.23,4.07,1.2,47.803,8.46,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
91,3.17,0.9,1.03,47.803,6.34,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
92,1.39,2.47,3.76,47.803,2.78,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
93,1.15,1.96,3.65,47.803,2.3,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
94,4.98,4.65,3.7,47.803,9.96,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
95,5.25,2.67,1.09,47.803,10.5,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
96,3.76,5.4,4.98,47.803,7.52,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
97,0.39,0.71,0.47,47.803,0.78,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
98,2,0.42,4.79,47.803,4,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
99,0.81,0.9,0.23,47.803,1.62,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
100,0.39,1.72,4.71,47.803,0.78,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
101,3.65,0.21,3.97,47.803,7.3,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
102,3.74,2.69,5.01,47.803,7.48,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
103,5.35,4.9,1.16,47.803,10.7,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
104,4.33,4.49,3.85,47.803,8.66,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
105,1.86,4.68,0.9,47.803,3.72,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
106,2.69,1.13,2.66,47.803,5.38,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
107,1.5,2.1,0.48,47.803,3,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
108,3.49,5.18,1.46,47.803,6.98,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
109,0.79,2.7,2.91,47.803,1.58,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
110,0.79,3.69,4.04,47.803,1.58,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
111,5.06,1.83,0.4,47.803,10.12,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
112,3.9,3.54,5.41,47.803,7.8,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
113,4.51,3.05,0.67,47.803,9.02,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
114,5.26,0.38,1.83,47.803,10.52,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
115,1.17,1.02,5.49,47.803,2.34,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
116,2.57,1.08,4.35,47.803,5.14,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
117,2.86,5.03,5.19,47.803,5.72,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
118,5.53,0.85,2.08,47.803,11.06,1,0,0,38,4.78258e+06,3.17866e+08,48.5667
