,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
0,2.21,2.52,4.76,822.836,4.42,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
1,5.18,4.98,3.05,822.836,10.36,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
2,4.15,4.1,2.84,822.836,8.3,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
3,2.36,5.54,0.76,822.836,4.72,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
4,0.99,2.9,2.65,822.836,1.98,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
5,1.06,2.22,1.48,822.836,2.12,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
6,1.81,3.96,3.59,822.836,3.62,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
7,1.54,1.12,3.2,822.836,3.08,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
8,0.18,2.75,0.48,822.836,0.36,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
9,1.26,0.02,1.31,822.836,2.52,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
10,2.6,2.58,0.74,822.836,5.2,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
11,1.92,3.19,2.62,822.836,3.84,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
12,1.5,3.81,2.55,822.836,3,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
13,2.63,2.57,3.2,822.836,5.26,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
14,5.21,4.88,2.13,822.836,10.42,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
15,4.58,2.31,2.06,822.836,9.16,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
16,3.76,1.36,3.21,822.836,7.52,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
17,4.57,2.39,4.21,822.836,9.14,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
18,3.05,0.76,2.9,822.836,6.1,1,0,0,38,5.04169e+07,4.1572e+13,22.1183
