dname,abserr,seconds,reqerr,threshold,c0,c1,c2,Total_retrieve_size,Compression_error,baseline_io,baseline_maxerr
cloudf48_log_,1.01E-04,0.0071,1.00E-05,0.01,4.96,4.40E-01,1.13E+00,27850203,8.99E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.0158,1.00E-05,0.02,4.56,5.10E-01,1.05E+00,27850203,8.99E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.0243,1.00E-05,0.03,4.56,5.10E-01,1.05E+00,27850203,8.99E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.0314,1.00E-05,0.04,4.56,5.10E-01,1.05E+00,27850203,8.99E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.0416,1.00E-05,0.05,4.56,5.10E-01,1.05E+00,27850203,8.99E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.0534,1.00E-05,0.06,4.56,5.10E-01,1.05E+00,27850203,8.99E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.0683,1.00E-05,0.07,4.56,5.10E-01,1.05E+00,27850203,8.99E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.0839,1.00E-05,0.08,4.56,5.10E-01,1.05E+00,27850203,8.99E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.101,1.00E-05,0.09,4.56,5.10E-01,1.05E+00,27850203,8.99E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.1302,1.00E-05,0.1,4.56,5.10E-01,1.05E+00,27850203,8.99E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.1524,1.00E-05,0.11,0.85,4.50E-01,9.70E-01,27747003,8.89E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.171,1.00E-05,0.12,0.85,4.50E-01,9.70E-01,27747003,8.89E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.2019,1.00E-05,0.13,0.85,4.50E-01,9.70E-01,27747003,8.89E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.2091,1.00E-05,0.14,3.24,4.20E-01,9.60E-01,27850203,8.99E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.226,1.00E-05,0.15,1.08,4.10E-01,9.30E-01,27747003,8.89E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.2396,1.00E-05,0.16,1.08,4.10E-01,9.30E-01,27747003,8.89E-05,33106785,1.62E-05
cloudf48_log_,1.01E-04,0.2494,1.00E-05,0.17,1.08,4.10E-01,9.30E-01,27747003,8.89E-05,33106785,1.62E-05
