c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
5.54,5.54,1.37,11586.2,11284.5,7,10,7,25019,2938.34,33.9611,85.969
5.54,5.54,3.68,11586.2,9441.28,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,1.66,11586.2,9072.64,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,0.91,11586.2,9400.32,7,10,7,25019,2938.34,33.9611,85.969
5.54,5.54,1.82,11586.2,9400.32,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,0.48,11586.2,10475.5,7,9,7,20651,2998.88,38.3794,85.4379
5.54,5.54,1.88,11586.2,9523.2,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,4.91,11586.2,10700.8,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,2.48,11586.2,10752,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,1.61,11586.2,8970.24,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,3.15,11586.2,10705.9,8,10,8,32242,1437.52,20.5616,88.1483
5.54,5.54,4.55,11586.2,10332.2,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,4.93,11586.2,10721.3,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,2.86,11586.2,11530.2,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,2.88,11586.2,11571.2,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,0.89,11586.2,9318.4,7,10,7,25019,2938.34,33.9611,85.969
5.54,5.54,1.85,11586.2,9461.76,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,2.72,11586.2,11243.5,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,3.96,11586.2,9728,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,2.09,11586.2,9953.28,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,3.66,11586.2,9420.8,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,0.55,11586.2,10762.2,7,9,7,20651,2998.88,38.3794,85.4379
5.54,5.54,2.38,11586.2,10547.2,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,5.03,11586.2,10823.7,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,1.05,11586.2,9973.76,7,10,7,25019,2938.34,33.9611,85.969
5.54,5.54,4.67,11586.2,10455,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,4.55,11586.2,10332.2,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,3.49,11586.2,9246.72,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,4.88,11586.2,10670.1,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,2.25,11586.2,10281,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,2.58,11586.2,10956.8,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,3.79,11586.2,9553.92,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,2.55,11586.2,10895.4,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,3.86,11586.2,9625.6,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,1.53,11586.2,8806.4,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,4.22,11586.2,9994.24,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,4.35,11586.2,10127.4,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,2.62,11586.2,11038.7,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,4.65,11586.2,10434.6,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,5.28,11586.2,11079.7,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,2.35,11586.2,10485.8,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,3.42,11586.2,9175.04,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,1.87,11586.2,9502.72,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,1.15,11586.2,10383.4,7,10,7,25019,2938.34,33.9611,85.969
5.54,5.54,4.97,11586.2,10762.2,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,1.65,11586.2,9052.16,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,3.44,11586.2,9195.52,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,0.66,11586.2,11212.8,7,9,7,20651,2998.88,38.3794,85.4379
5.54,5.54,1.03,11586.2,9891.84,7,10,7,25019,2938.34,33.9611,85.969
5.54,5.54,0.37,11586.2,11540.5,7,9,6,18101,5436.75,54.6248,83.9049
5.54,5.54,1.9,11586.2,9564.16,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,0.52,11586.2,10639.4,7,9,7,20651,2998.88,38.3794,85.4379
5.54,5.54,1.86,11586.2,9482.24,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,5.34,11586.2,11141.1,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,0.73,11586.2,11499.5,7,9,7,20651,2998.88,38.3794,85.4379
5.54,5.54,1.92,11586.2,9605.12,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,0.46,11586.2,10393.6,7,9,7,20651,2998.88,38.3794,85.4379
5.54,5.54,3.64,11586.2,9400.32,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,0.08,11586.2,11130.9,7,9,4,14375,19762.7,120.492,80.4693
5.54,5.54,4.37,11586.2,10147.8,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,3.29,11586.2,10992.6,8,10,8,32242,1437.52,20.5616,88.1483
5.54,5.54,0.04,11586.2,11130.9,7,9,3,12864,27610.2,128.375,80.194
5.54,5.54,3.58,11586.2,9338.88,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,5.47,11586.2,11274.2,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,0.92,11586.2,9441.28,7,10,7,25019,2938.34,33.9611,85.969
5.54,5.54,1.41,11586.2,11448.3,7,10,7,25019,2938.34,33.9611,85.969
5.54,5.54,5.27,11586.2,11069.4,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,4.65,11586.2,10434.6,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,5.34,11586.2,11141.1,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,0.94,11586.2,9523.2,7,10,7,25019,2938.34,33.9611,85.969
5.54,5.54,0.65,11586.2,11171.8,7,9,7,20651,2998.88,38.3794,85.4379
5.54,5.54,3.22,11586.2,10849.3,8,10,8,32242,1437.52,20.5616,88.1483
5.54,5.54,2.44,11586.2,10670.1,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,1.46,11586.2,8663.04,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,5.22,11586.2,11018.2,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,1.79,11586.2,9338.88,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,3.39,11586.2,11197.4,8,10,8,32242,1437.52,20.5616,88.1483
5.54,5.54,4.45,11586.2,10229.8,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,0.54,11586.2,10721.3,7,9,7,20651,2998.88,38.3794,85.4379
5.54,5.54,2.55,11586.2,10895.4,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,2.52,11586.2,10833.9,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,2.7,11586.2,11202.6,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,3.1,11586.2,10603.5,8,10,8,32242,1437.52,20.5616,88.1483
5.54,5.54,2.4,11586.2,10588.2,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,2.61,11586.2,11018.2,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,4.71,11586.2,10496,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,3.08,11586.2,10562.6,8,10,8,32242,1437.52,20.5616,88.1483
5.54,5.54,2.66,11586.2,11120.6,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,2.36,11586.2,10506.2,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,0.92,11586.2,9441.28,7,10,7,25019,2938.34,33.9611,85.969
5.54,5.54,1.44,11586.2,11571.2,7,10,7,25019,2938.34,33.9611,85.969
5.54,5.54,3.1,11586.2,10603.5,8,10,8,32242,1437.52,20.5616,88.1483
5.54,5.54,3.83,11586.2,9594.88,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,3.03,11586.2,10460.2,8,10,8,32242,1437.52,20.5616,88.1483
5.54,5.54,1.49,11586.2,8724.48,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,3.35,11586.2,11115.5,8,10,8,32242,1437.52,20.5616,88.1483
5.54,5.54,5.01,11586.2,10803.2,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,1.67,11586.2,9093.12,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,2.73,11586.2,11264,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,3.53,11586.2,9287.68,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,2.58,11586.2,10956.8,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,1.85,11586.2,9461.76,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,1.15,11586.2,10383.4,7,10,7,25019,2938.34,33.9611,85.969
5.54,5.54,4.23,11586.2,10004.5,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,4.07,11586.2,9840.64,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,3.61,11586.2,9369.6,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,1.02,11586.2,9850.88,7,10,7,25019,2938.34,33.9611,85.969
5.54,5.54,2.32,11586.2,10424.3,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,5.1,11586.2,10895.4,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,4.84,11586.2,10629.1,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,2.2,11586.2,10178.6,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,0.42,11586.2,10229.8,7,9,7,20651,2998.88,38.3794,85.4379
5.54,5.54,4.32,11586.2,10096.6,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,2.02,11586.2,9809.92,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,2.92,11586.2,10234.9,8,10,8,32242,1437.52,20.5616,88.1483
5.54,5.54,5.17,11586.2,10967,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,2.74,11586.2,11284.5,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,1.49,11586.2,8724.48,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,1.8,11586.2,9359.36,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,4.03,11586.2,9799.68,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,2.26,11586.2,10301.4,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,4.69,11586.2,10475.5,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,4.56,11586.2,10342.4,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,3.7,11586.2,9461.76,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,3.45,11586.2,9205.76,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,1.36,11586.2,11243.5,7,10,7,25019,2938.34,33.9611,85.969
5.54,5.54,2.29,11586.2,10362.9,7,10,8,29739,1452.89,25.5915,87.1979
5.54,5.54,3.94,11586.2,9707.52,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,4.1,11586.2,9871.36,7,10,9,35902,965.299,21.9129,87.8718
5.54,5.54,3,11586.2,10398.7,8,10,8,32242,1437.52,20.5616,88.1483
5.54,5.54,0.79,11586.2,8908.8,7,10,7,25019,2938.34,33.9611,85.969
