c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
2.85,2.06,3.1,11586,9917.44,7,9,8,19115,1573.66,30.0478,86.5007
2.27,4.83,1.94,11586,10081.3,7,9,8,19115,1573.66,30.0478,86.5007
2.5,0.16,2.82,11586,8366.08,7,6,8,14117,5485.37,65.7973,83.0968
4.03,3.83,5.44,11586,11555.8,7,9,9,25111,1238.07,26.353,87.0705
3.95,3.48,5.21,11586,10921,7,9,9,25111,1238.07,26.353,87.0705
5.54,3.55,1.42,11586,9379.84,7,9,8,19115,1573.66,30.0478,86.5007
3.94,2.47,2.36,11586,9379.84,7,9,8,19115,1573.66,30.0478,86.5007
0.22,5.15,1.78,11586,9369.6,5,9,8,17593,2150.84,49.406,84.341
4.29,2.2,4.77,11586,9333.76,7,9,9,25111,1238.07,26.353,87.0705
0.83,5.29,4.11,11586,10475.5,6,9,9,24272,1622.07,35.842,85.7349
4.19,1.38,0.03,11586,11051.5,9,9,0,13812,62264,239.951,77.4776
2.37,2.58,5.36,11586,9344,7,9,9,25111,1238.07,26.353,87.0705
4.54,1.67,0.02,11586,10102.6,7,9,0,8136,62288,247.787,77.3381
3.22,4.77,4.98,11586,9190.4,7,10,9,29480,965.299,21.9129,87.8718
5.34,4.88,0.02,11586,11300.7,7,10,0,12505,62350.4,243.541,77.4131
5.21,4.95,1.78,11586,11381.8,7,9,8,19115,1573.66,30.0478,86.5007
1.36,1.29,0.6,11586,8949.76,6,8,6,9208,5780.2,70.0889,82.8223
2.78,3.2,4.84,11586,9656.32,7,9,9,25111,1238.07,26.353,87.0705
1.12,1.46,0.38,11586,11386.9,5,7,6,6907,6108.9,93.5415,81.5688
1.46,3.41,5.44,11586,10557.4,6,9,9,24272,1622.07,35.842,85.7349
2.22,5.33,2.33,11586,11366.4,7,9,8,19115,1573.66,30.0478,86.5007
4.87,4.39,1.68,11586,10429.4,7,9,8,19115,1573.66,30.0478,86.5007
3.06,4.29,3.43,11586,9472,7,9,9,25111,1238.07,26.353,87.0705
2.13,3.91,1.69,11586,8555.52,7,9,8,19115,1573.66,30.0478,86.5007
0.84,0.77,1.74,11586,11141.1,6,7,7,9556,4092.53,67.0351,83.0158
1.36,1.61,5.44,11586,10260.5,6,8,9,21570,1902.79,41.7819,85.069
3.81,1.4,4.3,11586,9221.12,7,8,9,22409,1596.82,32.3682,86.1776
5.45,3.54,1.84,11586,10183.7,7,9,8,19115,1573.66,30.0478,86.5007
2.87,0.7,3.91,11586,10910.7,7,8,8,16413,2178.38,36.0526,85.7095
2.32,0.88,3.34,11586,9830.4,7,8,8,16413,2178.38,36.0526,85.7095
0.31,1.85,5.3,11586,9850.88,5,8,9,20887,2324.19,51.8011,84.1354
1.71,2.99,3.5,11586,11105.3,7,9,8,19115,1573.66,30.0478,86.5007
3.81,2.51,1.22,11586,9518.08,7,9,7,14715,2998.88,38.3794,85.4379
3.17,3.3,2.05,11586,9200.64,7,9,8,19115,1573.66,30.0478,86.5007
1.73,1.14,0.83,11586,9840.64,6,7,7,9556,4092.53,67.0351,83.0158
5.41,1.67,2.93,11586,10480.6,7,9,8,19115,1573.66,30.0478,86.5007
1.79,3.83,4.28,11586,9221.12,7,9,9,25111,1238.07,26.353,87.0705
3.58,5.41,0.68,11586,10158.1,7,9,7,14715,2998.88,38.3794,85.4379
0.06,0.08,5.18,11586,11509.8,4,6,8,12359,5986.54,110.692,80.8377
0.57,2.2,0.46,11586,9441.28,5,8,6,8525,5492.2,80.1206,82.2414
3.72,0.28,1.5,11586,10342.4,7,6,7,9717,6447.21,73.6001,82.6101
2.39,0.44,2.18,11586,7490.56,7,7,8,14795,3426.34,50.0531,84.2845
4.51,4.93,4.51,11586,9451.52,7,10,9,29480,965.299,21.9129,87.8718
4.95,5.46,0.37,11586,11156.5,7,9,6,12749,5436.75,54.6248,83.9049
5.03,0.22,4.92,11586,8514.56,7,7,9,20791,2952.31,46.0767,84.644
4.98,0.68,4.91,11586,8970.24,7,8,9,22409,1596.82,32.3682,86.1776
1.88,5.45,4.01,11586,10649.6,7,9,9,25111,1238.07,26.353,87.0705
1.64,5.08,1.95,11586,10035.2,7,9,8,19115,1573.66,30.0478,86.5007
3.01,4.86,5.19,11586,9344,7,10,9,29480,965.299,21.9129,87.8718
3.91,5.51,2.77,11586,10496,7,10,8,23484,1452.89,25.5915,87.1979
1.57,5.26,1.34,11586,8934.4,7,9,8,19115,1573.66,30.0478,86.5007
3.19,2.94,2.22,11586,9190.4,7,9,8,19115,1573.66,30.0478,86.5007
2.94,0.81,2,11586,11356.2,7,8,7,12013,3582.82,44.2246,84.8222
2.32,5.17,2.02,11586,10618.9,7,9,8,19115,1573.66,30.0478,86.5007
3.38,0.22,0.47,11586,9113.6,6,6,6,6912,8091.25,99.517,81.2999
0.14,3.12,3.68,11586,11018.2,5,9,8,17593,2150.84,49.406,84.341
2.72,4.41,3.21,11586,9195.52,7,9,9,25111,1238.07,26.353,87.0705
4.24,2.96,3.79,11586,9082.88,7,9,9,25111,1238.07,26.353,87.0705
5.46,1.52,1.83,11586,9656.32,7,8,8,16413,2178.38,36.0526,85.7095
3.15,2.25,3.05,11586,10163.2,7,9,8,19115,1573.66,30.0478,86.5007
5.35,4.19,5.44,11586,11230.7,8,9,9,27634,1238.07,21.4137,87.9719
0.72,1.23,5.35,11586,8734.72,6,8,9,21570,1902.79,41.7819,85.069
3.85,0.2,3.16,11586,10081.3,7,6,8,14117,5485.37,65.7973,83.0968
1.81,2.89,4.73,11586,8729.6,7,9,9,25111,1238.07,26.353,87.0705
1.98,4.03,1.5,11586,11284.5,7,9,7,14715,2998.88,38.3794,85.4379
0.02,4.96,4.65,11586,10004.5,3,9,9,23174,4437.91,72.5274,82.6738
3.1,2.29,2.23,11586,10844.2,7,8,8,16413,2178.38,36.0526,85.7095
0.66,5.05,2.21,11586,11049,5,9,8,17593,2150.84,49.406,84.341
1.42,0.69,5.27,11586,9676.8,6,7,9,19952,2810.39,55.491,83.8366
3.67,3.15,3.85,11586,9047.04,7,9,9,25111,1238.07,26.353,87.0705
4.46,1.67,5.49,11586,11325.4,7,8,9,22409,1596.82,32.3682,86.1776
2.8,5.28,3.42,11586,11141.1,7,10,8,23484,1452.89,25.5915,87.1979
1.13,2.62,1.31,11586,9205.76,6,9,7,13876,3109.62,47.8989,84.4756
1.17,4.55,1.83,11586,9605.12,6,9,8,18276,1764.58,39.5291,85.3097
5.07,2.64,3.95,11586,9344,7,9,9,25111,1238.07,26.353,87.0705
5.31,1.11,4.43,11586,9528.32,7,8,9,22409,1596.82,32.3682,86.1776
4.02,0.28,1.38,11586,10004.5,7,6,7,9717,6447.21,73.6001,82.6101
4.68,1.01,5.4,11586,9994.24,7,8,9,22409,1596.82,32.3682,86.1776
3.81,0.34,2.8,11586,9077.76,7,7,8,14795,3426.34,50.0531,84.2845
2.49,2.71,1.47,11586,10071,7,9,7,14715,2998.88,38.3794,85.4379
1.87,4.62,2.3,11586,10398.7,7,9,8,19115,1573.66,30.0478,86.5007
1.5,1.59,3.69,11586,11581.4,7,8,8,16413,2178.38,36.0526,85.7095
3.01,0.85,3.59,11586,10634.2,7,8,8,16413,2178.38,36.0526,85.7095
4.09,1.94,1.36,11586,9651.2,7,9,7,14715,2998.88,38.3794,85.4379
3.61,3.87,4.41,11586,10327,7,9,9,25111,1238.07,26.353,87.0705
1.24,2.68,4.66,11586,8785.92,6,9,9,24272,1622.07,35.842,85.7349
3.38,1.77,0.74,11586,11417.6,7,8,6,10047,5636.2,60.6405,83.4512
4.59,4.07,4.13,11586,10746.9,7,9,9,25111,1238.07,26.353,87.0705
0.35,1.96,0.08,11586,11366.4,5,7,4,4560,19478.4,158.207,79.2866
0.13,4.68,3.93,11586,9082.88,5,9,9,23589,1622.07,45.591,84.69
5.53,2.9,3.72,11586,9610.24,7,9,9,25111,1238.07,26.353,87.0705
2.16,2.47,1.98,11586,7690.24,7,9,8,19115,1573.66,30.0478,86.5007
5.49,3.02,0.37,11586,8934.4,7,9,6,12749,5436.75,54.6248,83.9049
5.36,4.22,0.92,11586,10833.9,7,9,7,14715,2998.88,38.3794,85.4379
1.83,4.74,5.14,11586,11054.1,7,9,9,25111,1238.07,26.353,87.0705
0.04,1.6,2.71,11586,9154.56,3,8,8,14476,5900.21,82.9643,82.0899
2.94,0.19,0.1,11586,9400.32,6,5,4,4100,23339.3,189.336,78.5065
0.87,2.6,3.37,11586,10455,6,9,8,18276,1764.58,39.5291,85.3097
0.62,4.63,2.73,11586,10967,6,9,8,18276,1764.58,39.5291,85.3097
2.95,4.51,5.21,11586,11463.7,7,9,9,25111,1238.07,26.353,87.0705
2.4,5.46,3.15,11586,10475.5,7,10,8,23484,1452.89,25.5915,87.1979
5.03,3.25,0.97,11586,9876.48,7,9,7,14715,2998.88,38.3794,85.4379
4.15,1.94,2.63,11586,11484.2,7,8,8,16413,2178.38,36.0526,85.7095
2.04,2.14,2.62,11586,10793,7,8,8,16413,2178.38,36.0526,85.7095
4.57,2.47,2.6,11586,10193.9,7,9,8,19115,1573.66,30.0478,86.5007
