c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
5.34,4.88,0.02,8.23E+06,6.92E+06,9,8,0,1554647,1.58E+07,2.06E+10,55.1765
4.54,1.67,0.02,8.23E+06,7.44E+06,9,6,0,918223,1.58E+07,2.36E+10,54.5685
4.19,1.38,0.03,8.23E+06,7.43E+06,9,6,0,918223,1.58E+07,2.36E+10,54.5685
3.58,5.41,0.68,8.23E+06,6.14E+06,9,8,6,1727531,1.94E+06,1.97E+10,55.363
0.57,2.2,0.46,8.23E+06,6.63E+06,6,7,5,578069,5.56E+06,1.58E+12,36.331
4.98,0.68,4.91,8.23E+06,7.88E+06,10,6,7,1735489,1.94E+06,9.94E+09,58.3343
3.91,5.51,2.77,8.23E+06,7.84E+06,9,8,7,2105924,1.17E+06,1.89E+10,55.5449
5.03,0.22,4.92,8.23E+06,6.94E+06,10,6,7,1735489,1.94E+06,9.94E+09,58.3343
0.84,0.77,1.74,8.23E+06,7.03E+06,7,6,6,653657,3.38E+06,3.45E+11,42.927
2.5,0.16,2.82,8.23E+06,6.25E+06,8,5,7,1144011,3.61E+06,7.79E+10,49.3906
3.19,2.94,2.22,8.23E+06,7.08E+06,9,7,7,1673307,1.40E+06,2.01E+10,55.2771
5.21,4.95,1.78,8.23E+06,7.69E+06,10,8,6,1993520,1.84E+06,7.62E+09,59.4851
1.71,2.99,3.5,8.23E+06,7.70E+06,9,7,7,1673307,1.40E+06,2.01E+10,55.2771
2.39,0.44,2.18,8.23E+06,8.00E+06,8,6,6,849895,2.81E+06,7.60E+10,49.5005
3.95,3.48,5.21,8.23E+06,5.59E+06,10,8,8,3301444,702023,6.24E+09,60.3547
3.17,3.3,2.05,8.23E+06,7.27E+06,9,7,7,1673307,1.40E+06,2.01E+10,55.2771
4.95,5.46,0.37,8.23E+06,7.01E+06,9,8,5,1596060,3.44E+06,2.04E+10,55.2187
5.41,1.67,2.93,8.23E+06,7.66E+06,9,7,7,1673307,1.40E+06,2.01E+10,55.2771
1.36,1.61,5.44,8.23E+06,5.97E+06,8,7,8,2361626,1.40E+06,7.27E+10,49.6912
2.85,2.06,3.1,8.23E+06,6.90E+06,9,7,7,1673307,1.40E+06,2.01E+10,55.2771
3.72,0.28,1.5,8.23E+06,8.22E+06,8,5,6,765618,3.83E+06,7.87E+10,49.3484
5.54,3.55,1.42,8.23E+06,8.15E+06,10,7,6,1560903,2.00E+06,8.82E+09,58.8505
0.31,1.85,5.3,8.23E+06,8.15E+06,7,7,7,1235857,2.27E+06,3.42E+11,42.9611
2.13,3.91,1.69,8.23E+06,7.83E+06,8,8,6,1486319,2.23E+06,7.29E+10,49.6813
0.83,5.29,4.11,8.23E+06,7.95E+06,8,8,7,1864712,1.52E+06,7.20E+10,49.73
4.51,4.93,4.51,8.23E+06,6.13E+06,10,8,8,3301444,702023,6.24E+09,60.3547
2.87,0.7,3.91,8.23E+06,7.07E+06,9,6,7,1469500,1.92E+06,2.20E+10,54.8803
3.22,4.77,4.98,8.23E+06,5.96E+06,10,8,8,3301444,702023,6.24E+09,60.3547
2.37,2.58,5.36,8.23E+06,8.22E+06,9,8,7,2105924,1.17E+06,1.89E+10,55.5449
2.32,0.88,3.34,8.23E+06,7.78E+06,8,6,7,1228288,2.23E+06,7.52E+10,49.5456
3.06,4.29,3.43,8.23E+06,7.45E+06,9,8,7,2105924,1.17E+06,1.89E+10,55.5449
5.45,3.54,1.84,8.23E+06,7.07E+06,10,7,7,1939296,1.35E+06,8.01E+09,59.2673
0.22,5.15,1.78,8.23E+06,7.36E+06,6,8,6,1142157,3.97E+06,1.57E+12,36.3362
1.36,1.29,0.6,8.23E+06,8.07E+06,7,6,5,522186,4.37E+06,3.46E+11,42.9186
1.12,1.46,0.38,8.23E+06,7.00E+06,7,6,5,522186,4.37E+06,3.46E+11,42.9186
1.73,1.14,0.83,8.23E+06,7.76E+06,7,6,6,653657,3.38E+06,3.45E+11,42.927
3.94,2.47,2.36,8.23E+06,7.13E+06,9,7,7,1673307,1.40E+06,2.01E+10,55.2771
1.64,5.08,1.95,8.23E+06,6.43E+06,8,8,7,1864712,1.52E+06,7.20E+10,49.73
4.03,3.83,5.44,8.23E+06,5.92E+06,10,8,8,3301444,702023,6.24E+09,60.3547
3.81,2.51,1.22,8.23E+06,7.19E+06,9,7,6,1294914,1.99E+06,2.09E+10,55.1065
4.87,4.39,1.68,8.23E+06,7.10E+06,10,8,6,1993520,1.84E+06,7.62E+09,59.4851
0.06,0.08,5.18,8.23E+06,7.11E+06,4,4,7,608474,1.53E+07,2.94E+13,23.6239
1.79,3.83,4.28,8.23E+06,7.43E+06,9,8,7,2105924,1.17E+06,1.89E+10,55.5449
1.57,5.26,1.34,8.23E+06,7.21E+06,8,8,6,1486319,2.23E+06,7.29E+10,49.6813
2.22,5.33,2.33,8.23E+06,7.57E+06,8,8,7,1864712,1.52E+06,7.20E+10,49.73
4.29,2.2,4.77,8.23E+06,5.93E+06,10,7,8,2868827,968596,7.45E+09,59.5833
2.78,3.2,4.84,8.23E+06,8.21E+06,9,8,7,2105924,1.17E+06,1.89E+10,55.5449
3.01,4.86,5.19,8.23E+06,6.06E+06,10,8,8,3301444,702023,6.24E+09,60.3547
1.46,3.41,5.44,8.23E+06,5.41E+06,9,8,8,3035455,861317,1.83E+10,55.6797
2.27,4.83,1.94,8.23E+06,6.95E+06,8,8,7,1864712,1.52E+06,7.20E+10,49.73
4.63,1.92,1.98,8.23E+06,6.52E+06,9,7,7,1673307,1.40E+06,2.01E+10,55.2771
4.59,4.07,4.13,8.23E+06,7.67E+06,10,8,7,2371913,1.05E+06,6.81E+09,59.9732
0.72,1.23,5.35,8.23E+06,7.65E+06,8,7,7,1432095,1.80E+06,7.33E+10,49.658
2.94,0.19,0.1,8.23E+06,8.19E+06,12,7,0,1924699,1.58E+07,6.12E+09,60.4391
2.4,5.46,3.15,8.23E+06,7.42E+06,9,8,7,2105924,1.17E+06,1.89E+10,55.5449
1.98,4.03,1.5,8.23E+06,7.33E+06,8,8,6,1486319,2.23E+06,7.29E+10,49.6813
5.03,3.25,0.97,8.23E+06,8.08E+06,9,7,6,1294914,1.99E+06,2.09E+10,55.1065
5.31,1.11,4.43,8.23E+06,7.20E+06,10,7,7,1939296,1.35E+06,8.01E+09,59.2673
0.87,2.6,3.37,8.23E+06,8.08E+06,7,7,7,1235857,2.27E+06,3.42E+11,42.9611
1.83,4.74,5.14,8.23E+06,6.14E+06,9,8,8,3035455,861317,1.83E+10,55.6797
1.5,1.59,3.69,8.23E+06,7.11E+06,8,7,7,1432095,1.80E+06,7.33E+10,49.658
0.13,4.68,3.93,8.23E+06,7.67E+06,5,8,7,1419323,6.14E+06,7.29E+12,29.6775
1.24,2.68,4.66,8.23E+06,7.59E+06,8,8,7,1864712,1.52E+06,7.20E+10,49.73
2.49,2.71,1.47,8.23E+06,7.23E+06,9,7,6,1294914,1.99E+06,2.09E+10,55.1065
4.09,1.94,1.36,8.23E+06,7.03E+06,9,7,6,1294914,1.99E+06,2.09E+10,55.1065
1.42,0.69,5.27,8.23E+06,7.74E+06,8,7,7,1432095,1.80E+06,7.33E+10,49.658
5.46,1.52,1.83,8.23E+06,6.86E+06,10,7,6,1560903,2.00E+06,8.82E+09,58.8505
2.72,4.41,3.21,8.23E+06,7.10E+06,9,8,7,2105924,1.17E+06,1.89E+10,55.5449
5.49,3.02,0.37,8.23E+06,7.60E+06,9,7,5,1163443,3.52E+06,2.16E+10,54.9705
1.81,2.89,4.73,8.23E+06,7.42E+06,9,8,7,2105924,1.17E+06,1.89E+10,55.5449
0.04,1.6,2.71,8.23E+06,8.03E+06,4,7,6,547731,1.22E+07,2.94E+13,23.6248
0.62,4.63,2.73,8.23E+06,6.59E+06,7,8,7,1668474,2.08E+06,3.41E+11,42.9764
0.35,1.96,0.08,8.23E+06,8.00E+06,7,8,0,1117197,1.54E+07,3.43E+11,42.9552
0.14,3.12,3.68,8.23E+06,7.72E+06,6,7,7,1087933,3.79E+06,1.57E+12,36.3351
