c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
1.22,5.54,5.54,8.38E-07,7.61E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
4.67,5.54,5.54,8.38E-07,7.78E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.02,5.54,5.54,8.38E-07,7.80E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.44,5.54,5.54,8.38E-07,7.84E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
1.31,5.54,5.54,8.38E-07,7.62E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
5.08,5.54,5.54,8.38E-07,7.81E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
0.11,5.54,5.54,8.38E-07,7.56E-07,28,31,27,4967626,1.56E-07,1.72E-15,166.115
1.89,5.54,5.54,8.38E-07,7.57E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.42,5.54,5.54,8.38E-07,7.83E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.4,5.54,5.54,8.38E-07,7.83E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
2.98,5.54,5.54,8.38E-07,7.65E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.36,5.54,5.54,8.38E-07,7.83E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
4.15,5.54,5.54,8.38E-07,7.74E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
2.01,5.54,5.54,8.38E-07,7.58E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
3.11,5.54,5.54,8.38E-07,7.66E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
2.7,5.54,5.54,8.38E-07,7.63E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
0.05,5.54,5.54,8.38E-07,7.67E-07,26,31,27,4958634,3.87E-07,1.34E-14,157.204
0.4,5.54,5.54,8.38E-07,7.67E-07,29,31,27,4972122,1.27E-07,1.23E-15,167.558
2.01,5.54,5.54,8.38E-07,7.58E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
4.91,5.54,5.54,8.38E-07,7.80E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.48,5.54,5.54,8.38E-07,7.84E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
1.76,5.54,5.54,8.38E-07,7.56E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
0.66,5.54,5.54,8.38E-07,7.63E-07,30,31,27,4976618,1.05E-07,1.04E-15,168.314
4.18,5.54,5.54,8.38E-07,7.74E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
0.92,5.54,5.54,8.38E-07,7.57E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
4.16,5.54,5.54,8.38E-07,7.74E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
2.04,5.54,5.54,8.38E-07,7.58E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.19,5.54,5.54,8.38E-07,7.82E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
3.85,5.54,5.54,8.38E-07,7.72E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
1.47,5.54,5.54,8.38E-07,7.65E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
0.39,5.54,5.54,8.38E-07,7.66E-07,29,31,27,4972122,1.27E-07,1.23E-15,167.558
1.37,5.54,5.54,8.38E-07,7.63E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
2.83,5.54,5.54,8.38E-07,7.64E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.24,5.54,5.54,8.38E-07,7.82E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
3.92,5.54,5.54,8.38E-07,7.72E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
4.79,5.54,5.54,8.38E-07,7.79E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.03,5.54,5.54,8.38E-07,7.80E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.02,5.54,5.54,8.38E-07,7.80E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
1.61,5.54,5.54,8.38E-07,7.67E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
2.17,5.54,5.54,8.38E-07,7.59E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
4.94,5.54,5.54,8.38E-07,7.80E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
2.72,5.54,5.54,8.38E-07,7.63E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
0.86,5.54,5.54,8.38E-07,7.56E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
1.31,5.54,5.54,8.38E-07,7.62E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
0.99,5.54,5.54,8.38E-07,7.58E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
3.65,5.54,5.54,8.38E-07,7.70E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
2.44,5.54,5.54,8.38E-07,7.61E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
4.33,5.54,5.54,8.38E-07,7.75E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.43,5.54,5.54,8.38E-07,7.83E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
1.42,5.54,5.54,8.38E-07,7.64E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
1.17,5.54,5.54,8.38E-07,7.60E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
1.28,5.54,5.54,8.38E-07,7.62E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
4.03,5.54,5.54,8.38E-07,7.73E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
4.06,5.54,5.54,8.38E-07,7.73E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.54,5.54,5.54,8.38E-07,7.84E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
3.02,5.54,5.54,8.38E-07,7.65E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
0.85,5.54,5.54,8.38E-07,7.56E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
3.33,5.54,5.54,8.38E-07,7.68E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.24,5.54,5.54,8.38E-07,7.82E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
2.99,5.54,5.54,8.38E-07,7.65E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
0.97,5.54,5.54,8.38E-07,7.57E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
3.13,5.54,5.54,8.38E-07,7.66E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
3.5,5.54,5.54,8.38E-07,7.69E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.43,5.54,5.54,8.38E-07,7.83E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
2.25,5.54,5.54,8.38E-07,7.60E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
3.96,5.54,5.54,8.38E-07,7.72E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
0.49,5.54,5.54,8.38E-07,7.58E-07,30,31,27,4976618,1.05E-07,1.04E-15,168.314
2.33,5.54,5.54,8.38E-07,7.60E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
0.87,5.54,5.54,8.38E-07,7.56E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
0.85,5.54,5.54,8.38E-07,7.56E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
2.68,5.54,5.54,8.38E-07,7.63E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
3.67,5.54,5.54,8.38E-07,7.70E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
4.56,5.54,5.54,8.38E-07,7.77E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
1.13,5.54,5.54,8.38E-07,7.60E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
1.95,5.54,5.54,8.38E-07,7.58E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
5.09,5.54,5.54,8.38E-07,7.81E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
0.6,5.54,5.54,8.38E-07,7.61E-07,30,31,27,4976618,1.05E-07,1.04E-15,168.314
3.53,5.54,5.54,8.38E-07,7.69E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
1.27,5.54,5.54,8.38E-07,7.62E-07,31,31,27,4981114,1.08E-07,1.03E-15,168.356
4.03,5.54,5.54,8.38E-07,7.73E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
4.13,5.54,5.54,8.38E-07,7.74E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
3.84,5.54,5.54,8.38E-07,7.72E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
0.72,5.54,5.54,8.38E-07,7.64E-07,30,31,27,4976618,1.05E-07,1.04E-15,168.314
1.82,5.54,5.54,8.38E-07,7.57E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
3.52,5.54,5.54,8.38E-07,7.69E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
3.25,5.54,5.54,8.38E-07,7.67E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
4.76,5.54,5.54,8.38E-07,7.78E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
