c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
4.7,0.09,0.68,8.38E-07,7.69E-07,32,25,24,4123146,1.18E-06,8.62E-14,149.11
1.29,4.62,5.44,8.38E-07,8.05E-07,31,30,27,4951278,1.17E-07,1.04E-15,168.288
2.44,4.55,5.17,8.38E-07,7.70E-07,32,30,27,4955774,1.10E-07,1.02E-15,168.381
2.02,4.46,3.65,8.38E-07,5.17E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
3.28,0.75,0.41,8.38E-07,5.05E-07,32,28,24,4212654,8.04E-07,6.29E-14,150.476
3.53,3.52,4.43,8.38E-07,6.59E-07,32,30,27,4955774,1.10E-07,1.02E-15,168.381
5.34,1.11,4.56,8.38E-07,7.16E-07,32,28,27,4896102,1.42E-07,1.37E-15,167.112
0.29,0.08,1.46,8.38E-07,7.90E-07,29,25,25,4337474,8.57E-07,3.97E-14,152.475
1.29,0.35,3.07,8.38E-07,8.35E-07,31,27,26,4633954,3.03E-07,5.41E-15,161.13
4.88,2.61,1.91,8.38E-07,5.70E-07,32,30,26,4727958,2.10E-07,3.94E-15,162.508
3.57,2.44,2.31,8.38E-07,6.50E-07,32,30,26,4727958,2.10E-07,3.94E-15,162.508
1.26,5.13,1.43,8.38E-07,7.77E-07,31,31,25,4525482,3.90E-07,1.57E-14,156.504
1.42,2.27,0.07,8.38E-07,6.80E-07,32,29,21,3559042,6.21E-06,4.01E-12,132.436
5.26,4.34,2.18,8.38E-07,6.88E-07,32,30,26,4727958,2.10E-07,3.94E-15,162.508
5.5,2.72,4.94,8.38E-07,7.11E-07,32,30,27,4955774,1.10E-07,1.02E-15,168.381
1.51,2.35,1.85,8.38E-07,5.22E-07,32,30,26,4727958,2.10E-07,3.94E-15,162.508
5.17,0.69,0.48,8.38E-07,5.79E-07,32,28,24,4212654,8.04E-07,6.29E-14,150.476
4.4,1.16,5.09,8.38E-07,7.78E-07,32,28,27,4896102,1.42E-07,1.37E-15,167.112
2.6,5.04,1.14,8.38E-07,6.38E-07,32,31,25,4529978,3.90E-07,1.57E-14,156.512
0.18,1.7,3.58,8.38E-07,5.39E-07,29,29,27,4912450,1.41E-07,1.32E-15,167.257
4.15,1.96,0.9,8.38E-07,5.18E-07,32,30,25,4500142,3.83E-07,1.57E-14,156.508
2.29,5.32,4.96,8.38E-07,6.88E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
2.45,3.53,3.04,8.38E-07,7.96E-07,32,31,26,4757794,2.15E-07,3.92E-15,162.528
4.35,2.86,1.44,8.38E-07,8.04E-07,32,30,25,4500142,3.83E-07,1.57E-14,156.508
3.21,0.45,2.5,8.38E-07,7.27E-07,32,27,26,4638450,2.99E-07,5.40E-15,161.14
1.52,3.69,3.12,8.38E-07,8.10E-07,32,31,26,4757794,2.15E-07,3.92E-15,162.528
1.16,0.06,1.05,8.38E-07,6.32E-07,31,24,25,4316630,1.64E-06,1.11E-13,148.019
4.92,0.13,4.74,8.38E-07,7.26E-07,32,25,27,4806594,7.13E-07,2.47E-14,154.53
1.16,4.97,2.94,8.38E-07,7.92E-07,31,31,26,4753298,2.11E-07,3.94E-15,162.514
1.86,4.55,2.95,8.38E-07,7.85E-07,32,31,26,4757794,2.15E-07,3.92E-15,162.528
5.17,2.48,3.74,8.38E-07,5.58E-07,32,30,27,4955774,1.10E-07,1.02E-15,168.381
0.73,0.96,0.36,8.38E-07,8.23E-07,30,28,23,3975846,1.50E-06,2.51E-13,144.471
2.87,3.69,0.44,8.38E-07,4.96E-07,32,31,24,4302162,8.14E-07,6.25E-14,150.502
4.7,5.23,2.08,8.38E-07,6.09E-07,32,31,26,4757794,2.15E-07,3.92E-15,162.528
4.17,1.98,1.88,8.38E-07,5.38E-07,32,30,26,4727958,2.10E-07,3.94E-15,162.508
1.32,5.5,0.81,8.38E-07,4.78E-07,32,31,25,4529978,3.90E-07,1.57E-14,156.512
0.62,5.18,0.1,8.38E-07,4.68E-07,31,31,22,3842034,3.20E-06,1.00E-12,138.464
1.64,1.43,3.95,8.38E-07,5.68E-07,32,29,27,4925938,1.15E-07,1.09E-15,168.085
5.15,3.73,5.54,8.38E-07,8.10E-07,32,30,27,4955774,1.10E-07,1.02E-15,168.381
0.98,4.82,2.65,8.38E-07,7.90E-07,31,30,26,4723462,2.06E-07,3.95E-15,162.494
1.72,0.08,4.51,8.38E-07,6.27E-07,32,25,27,4806594,7.13E-07,2.47E-14,154.53
2.19,3.45,3.25,8.38E-07,4.55E-07,32,31,27,4985610,1.01E-07,1.00E-15,168.452
0.09,3.22,2.61,8.38E-07,7.40E-07,27,30,26,4705478,3.20E-07,7.08E-15,159.962
1.88,2.73,3.23,8.38E-07,4.80E-07,32,30,27,4955774,1.10E-07,1.02E-15,168.381
4.56,3.05,4.09,8.38E-07,6.12E-07,32,30,27,4955774,1.10E-07,1.02E-15,168.381
1.96,3.11,4.38,8.38E-07,6.29E-07,32,30,27,4955774,1.10E-07,1.02E-15,168.381
3.43,2.3,4.88,8.38E-07,7.44E-07,32,29,27,4925938,1.15E-07,1.09E-15,168.085
0.66,3.19,5.29,8.38E-07,7.45E-07,30,30,27,4946782,1.13E-07,1.05E-15,168.246
5.48,4.06,4.81,8.38E-07,7.35E-07,32,30,27,4955774,1.10E-07,1.02E-15,168.381
4.16,0.96,4.29,8.38E-07,6.57E-07,32,28,27,4896102,1.42E-07,1.37E-15,167.112
4.78,3.67,5.22,8.38E-07,7.67E-07,32,30,27,4955774,1.10E-07,1.02E-15,168.381
3.64,5.51,2.18,8.38E-07,6.29E-07,32,31,26,4757794,2.15E-07,3.92E-15,162.528
2.55,3.26,3.13,8.38E-07,4.89E-07,32,30,27,4955774,1.10E-07,1.02E-15,168.381
3.63,0.25,3.27,8.38E-07,4.76E-07,32,27,27,4866266,2.38E-07,2.49E-15,164.508
