c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
5.21,4.88,2.13,115.862,114.8,13,16,15,756873,17.0247,0.974404,101.391
1.81,3.96,3.59,115.862,103.6,13,16,15,756873,17.0247,0.974404,101.391
3.05,0.76,2.9,115.862,95.12,13,14,15,543403,29.7538,1.16215,100.626
1.92,3.19,2.62,115.862,108.32,13,15,15,615800,21.3138,1.05057,101.065
1.26,0.02,1.31,115.862,87.36,11,11,14,239416,195.568,4.51197,94.7352
2.89,0.3,4.26,115.862,110.48,13,13,15,498314,48.0559,1.46216,99.6289
1.5,3.81,2.55,115.862,113.76,13,15,15,615800,21.3138,1.05057,101.065
2.36,5.54,0.76,115.862,111.84,13,16,13,545603,49.6704,1.18313,100.549
2.52,3.64,5.3,115.862,91.68,13,16,16,1023792,12.8026,0.938759,101.553
2.6,4.96,5.16,115.862,101.76,13,16,16,1023792,12.8026,0.938759,101.553
0.89,2.98,2.87,115.862,107.84,12,15,15,569958,24.819,1.40928,99.7889
2.42,0.51,4.11,115.862,101.44,13,14,15,543403,29.7538,1.16215,100.626
0.62,2.05,1.77,115.862,109.28,11,15,14,393847,40.3492,2.46186,97.3662
2.4,1.83,3.28,115.862,100.96,13,15,15,615800,21.3138,1.05057,101.065
1.74,2.16,2.27,115.862,84.8,13,15,15,615800,21.3138,1.05057,101.065
4.82,2.62,3.09,115.862,108.96,13,16,15,756873,17.0247,0.974404,101.391
0.81,2.72,4.54,115.862,107.36,12,16,15,711031,22.0809,1.33037,100.039
3.2,4.45,3.25,115.862,113.2,13,16,15,756873,17.0247,0.974404,101.391
1.7,0.08,0.79,115.862,115.2,11,12,13,173986,106.096,3.47068,95.8747
3.76,5.4,4.98,115.862,113.12,13,16,16,1023792,12.8026,0.938759,101.553
2.7,2.41,4.26,115.862,109.04,13,16,15,756873,17.0247,0.974404,101.391
2.22,5.3,4.49,115.862,96.08,13,16,16,1023792,12.8026,0.938759,101.553
3.71,5.52,1.4,115.862,96.24,13,16,15,756873,17.0247,0.974404,101.391
2.6,2.58,0.74,115.862,109.44,13,15,13,404530,53.757,1.25985,100.276
4.57,2.39,4.21,115.862,104.76,14,16,15,888171,16.4125,0.531126,104.027
2.35,0.66,3.75,115.862,99.92,13,14,15,543403,29.7538,1.16215,100.626
2.63,2.57,3.2,115.862,113.36,13,15,15,615800,21.3138,1.05057,101.065
1.27,4.94,4.58,115.862,86.32,13,16,16,1023792,12.8026,0.938759,101.553
4.17,3.38,2.62,115.862,102.32,13,16,15,756873,17.0247,0.974404,101.391
5.4,2.71,1.7,115.862,113.76,13,15,15,615800,21.3138,1.05057,101.065
0.43,2.59,2.36,115.862,92.96,11,15,15,525612,33.5679,2.40094,97.475
2.21,2.52,4.76,115.862,114,13,16,15,756873,17.0247,0.974404,101.391
0.66,0.61,3.72,115.862,100.16,11,14,15,453215,43.0794,2.51342,97.2762
2,0.42,4.79,115.862,106.08,13,14,15,543403,29.7538,1.16215,100.626
0.18,2.75,0.48,115.862,86.24,10,15,13,302307,78.8837,3.54373,95.7842
1.18,0.65,2.1,115.862,106.88,12,14,14,365796,40.0002,1.5805,99.2909
4.15,4.1,2.84,115.862,111.44,13,16,15,756873,17.0247,0.974404,101.391
5.19,3.27,3.45,115.862,102.12,14,16,15,888171,16.4125,0.531126,104.027
1.66,2.44,1.01,115.862,97.92,12,15,14,438193,33.118,1.47041,99.6045
3.47,3.02,0.05,115.862,88.88,13,15,11,336544,193.605,2.15972,97.9349
1.52,1.9,0.6,115.862,93.12,12,15,13,358688,58.757,1.61858,99.1875
4.37,4.26,1.78,115.862,97.52,13,16,15,756873,17.0247,0.974404,101.391
4.58,2.31,2.06,115.862,106.56,13,15,15,615800,21.3138,1.05057,101.065
3.05,0.54,3.28,115.862,111.44,13,13,15,498314,48.0559,1.46216,99.6289
3.86,0.47,3.19,115.862,112,13,13,15,498314,48.0559,1.46216,99.6289
3.41,3,0.7,115.862,97.68,13,15,14,484035,30.219,1.11142,100.82
1.72,3.6,3.39,115.862,96.8,13,16,15,756873,17.0247,0.974404,101.391
5.18,4.98,3.05,115.862,109.36,14,16,15,888171,16.4125,0.531126,104.027
0.82,5.06,1,115.862,85.6,12,16,14,579266,31.179,1.39157,99.8438
0.35,4.11,4.21,115.862,111.44,11,16,15,666685,30.953,2.32873,97.6076
0.79,2.7,2.91,115.862,115.04,11,15,15,525612,33.5679,2.40094,97.475
5.26,0.38,1.83,115.862,112.8,13,14,14,411638,39.9183,1.22248,100.406
1.59,3.76,0.84,115.862,112.48,12,15,14,438193,33.118,1.47041,99.6045
1.5,0.03,1.72,115.862,110.72,11,11,14,239416,195.568,4.51197,94.7352
5.08,3.34,2.71,115.862,110.72,13,16,15,756873,17.0247,0.974404,101.391
4.76,0.99,1,115.862,101.76,13,14,14,411638,39.9183,1.22248,100.406
5.27,2.71,4.37,115.862,112.68,14,16,15,888171,16.4125,0.531126,104.027
2.4,0.24,1.32,115.862,96,12,13,14,320707,57.7878,1.88263,98.5312
3.19,3.27,0.14,115.862,95.76,13,15,12,364128,92.4453,1.50506,99.5033
2.8,3.5,2.57,115.862,91.52,13,16,15,756873,17.0247,0.974404,101.391
1.54,1.84,2.06,115.862,107.68,13,15,14,484035,30.219,1.11142,100.82
3.76,1.36,3.21,115.862,103.2,13,15,15,615800,21.3138,1.05057,101.065
1.06,2.22,1.48,115.862,99.84,12,15,14,438193,33.118,1.47041,99.6045
5,0.27,5.51,115.862,92.72,13,14,16,810322,27.2194,1.12737,100.758
3.51,3.19,4.82,115.862,92.16,13,16,16,1023792,12.8026,0.938759,101.553
0.51,2.27,2.84,115.862,98.08,11,15,15,525612,33.5679,2.40094,97.475
1.14,1.24,2.05,115.862,103.68,12,15,14,438193,33.118,1.47041,99.6045
1.97,2.4,0.52,115.862,103.2,12,15,13,358688,58.757,1.61858,99.1875
5.07,0.45,3.22,115.862,106.48,13,14,15,543403,29.7538,1.16215,100.626
0.46,0.31,5.53,115.862,113.12,11,14,15,453215,43.0794,2.51342,97.2762
5.22,2.46,4.02,115.862,104.88,14,16,15,888171,16.4125,0.531126,104.027
1.3,1.8,4.22,115.862,106.72,13,15,15,615800,21.3138,1.05057,101.065
3.17,0.9,1.03,115.862,87.12,13,14,14,411638,39.9183,1.22248,100.406
3.6,1.48,4.79,115.862,90.8,13,15,16,882719,17.9151,1.01486,101.215
3.49,1.6,5.02,115.862,93.68,13,15,16,882719,17.9151,1.01486,101.215
0.98,3.11,1.46,115.862,112.16,12,15,14,438193,33.118,1.47041,99.6045
2.52,4.22,4.26,115.862,88,13,16,16,1023792,12.8026,0.938759,101.553
3,0.36,2.36,115.862,84.8,13,13,15,498314,48.0559,1.46216,99.6289
0.26,2.44,2.82,115.862,92.48,11,15,15,525612,33.5679,2.40094,97.475
5.13,5.35,2.08,115.862,96.6,14,16,15,888171,16.4125,0.531126,104.027
4.84,2.16,2.67,115.862,96.64,14,15,15,747098,19.4829,0.607985,103.44
1.54,1.12,3.2,115.862,111.68,12,14,15,497561,33.54,1.51988,99.4607
