c0,c1,Requested_tolerance,estimated_error,l0,l1,Total_retrieve_size,MaxErr,MSE,PSNR
0.18,0.4,11586.2,9502.72,5,5,3635,14645,153.098,79.4291
1.24,0.56,11586.2,9666.56,7,6,6207,6060.43,76.992,82.4144
2.36,0.05,11586.2,8110.08,8,3,4833,26912.6,133.671,80.0185
3.3,0.14,11586.2,11345.9,8,4,5568,20265.2,126.102,80.2716
0.39,0.54,11586.2,10444.8,7,5,4600,10037.1,88.2151,81.8234
1.32,0.62,11586.2,10485.8,7,6,6207,6060.43,76.992,82.4144
2.35,0.51,11586.2,8990.72,8,6,7915,6161.85,60.2045,83.4825
1.83,1.94,11586.2,9820.16,9,7,11839,3015.83,32.5649,86.1513
0.57,0.74,11586.2,8396.8,7,6,6207,6060.43,76.992,82.4144
0.71,2.37,11586.2,7761.92,7,8,12573,3520.19,52.7312,84.0582
2.4,0.47,11586.2,8765.44,8,6,7915,6161.85,60.2045,83.4825
3.61,0.54,11586.2,8120.32,9,6,9873,5368.98,48.8649,84.3889
1.51,1.09,11586.2,10649.6,7,7,8173,3984.33,59.9906,83.498
1.09,4.37,11586.2,11182.1,8,8,14281,2416.77,35.4238,85.7859
5.5,2.01,11586.2,9748.48,9,8,16239,1613.53,24.4072,87.4037
5.11,2.08,11586.2,9492.48,9,8,16239,1613.53,24.4072,87.4037
0.01,3.16,11586.2,6799.36,4,8,11443,22137.6,206.218,78.1356
1.39,0.63,11586.2,10854.4,7,6,6207,6060.43,76.992,82.4144
4.82,0.57,11586.2,9605.12,9,6,9873,5368.98,48.8649,84.3889
5.14,0.64,11586.2,10506.2,9,6,9873,5368.98,48.8649,84.3889
1,0.96,11586.2,8028.16,7,7,8173,3984.33,59.9906,83.498
0.33,2.85,11586.2,7188.48,7,8,12573,3520.19,52.7312,84.0582
5.14,2.12,11586.2,9605.12,9,8,16239,1613.53,24.4072,87.4037
3.14,0.85,11586.2,9912.32,8,7,9881,3630.74,43.9802,84.8463
4.54,0.43,11586.2,8171.52,9,6,9873,5368.98,48.8649,84.3889
5.29,2.31,11586.2,10147.8,9,8,16239,1613.53,24.4072,87.4037
2.64,1.48,11586.2,11468.8,8,7,9881,3630.74,43.9802,84.8463
0.86,0.69,11586.2,9175.04,7,6,6207,6060.43,76.992,82.4144
1.61,3.2,11586.2,9850.88,8,8,14281,2416.77,35.4238,85.7859
4.27,1.58,11586.2,10844.2,9,7,11839,3015.83,32.5649,86.1513
4.21,0.15,11586.2,11079.7,8,5,6308,9472.11,73.0466,82.6428
2.04,3.56,11586.2,11468.8,8,8,14281,2416.77,35.4238,85.7859
0.1,3.75,11586.2,9318.4,5,8,11608,11379.5,120.569,80.4665
4.75,2.72,11586.2,10434.6,9,8,16239,1613.53,24.4072,87.4037
2.05,2.39,11586.2,9093.12,8,8,14281,2416.77,35.4238,85.7859
0.94,3.23,11586.2,10465.3,7,8,12573,3520.19,52.7312,84.0582
1.18,0.44,11586.2,8437.76,7,6,6207,6060.43,76.992,82.4144
2.38,4.37,11586.2,11386.9,9,8,16239,1613.53,24.4072,87.4037
2.45,3.05,11586.2,11264,8,8,14281,2416.77,35.4238,85.7859
2.93,3.88,11586.2,10946.6,9,8,16239,1613.53,24.4072,87.4037
0.16,2.06,11586.2,11059.2,5,7,7208,11566.1,126.99,80.2411
1.71,4.09,11586.2,10127.4,9,8,16239,1613.53,24.4072,87.4037
1.23,5.34,11586.2,7987.2,8,9,20277,1807.6,31.9312,86.2367
1.78,1.34,11586.2,9134.08,8,7,9881,3630.74,43.9802,84.8463
0.52,5.15,11586.2,7403.52,7,9,18569,2800.28,48.7127,84.4024
3.64,1.12,11586.2,8314.88,9,7,11839,3015.83,32.5649,86.1513
